steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,65930
76561198081786584,60076
76561198030769891,54998
76561198004311251,43701
76561198064692010,41843
76561198035202077,36088
76561198062737330,35349
76561198087466439,33312
76561198057982190,32426
76561198082325305,29518
76561198066892282,29475
76561198057998681,28942
76561198044738808,28054
76561198081026741,25892
76561198026308363,23316
76561198057220133,23108
76561198067674227,20604
76561198083375450,20499
76561198072653652,19864
76561198043909770,19610
76561198047821082,17619
76561198048526408,16985
76561198017140286,16510
76561197995850655,16196
76561197990451246,15370
76561198066968708,14977
76561198048708552,14739
76561198029681660,14588
76561198009846599,14508
76561197995725436,14099
76561198031840883,13439
76561198042649425,13038
76561198001368533,12682
76561197963549028,12445
76561198000345791,12314
76561198070335606,12250
76561198064395261,12193
76561198046864121,11972
76561198000740110,11805
76561198060601367,11466
76561198066272265,11403
76561198046118971,11388
76561197992280471,11180
76561198025536901,11046
76561198043028094,10893
76561198003772075,10833
76561198047470321,10559
76561198068156317,10340
76561198032794297,10112
76561198081340023,9845
76561197989691928,9788
76561198006267245,9709
76561198072029747,9595
76561198048313808,9449
76561198106878606,9350
76561198040091426,9342
76561198052029872,9321
76561197962929275,9204
76561198044652825,9077
76561198006994190,8973
76561198083084460,8971
76561198037521552,8918
76561198058124455,8906
76561198043530022,8761
76561198047701821,8742
76561198070005881,8738
76561198059318735,8544
76561198052737632,8477
76561198050613769,8465
76561197960798335,8446
76561198089123722,8396
76561198067997800,7935
76561197960888883,7934
76561198055373462,7625
76561198074505576,7606
76561198043909573,7409
76561198040150405,7350
76561198039119848,7259
76561198086298637,7151
76561198046186008,7129
76561198037810633,7018
76561198046664381,7008
76561198080696168,6912
76561198042022376,6908
76561198077370213,6899
76561198081715961,6892
76561198325096636,6597
76561197989192658,6447
76561198059424139,6422
76561197969418604,6337
76561197972880792,6320
76561198007150650,6202
76561198069840992,6192
76561198035814564,6133
76561197967174031,5979
76561198003428090,5975
76561197981448997,5970
76561198143334950,5851
76561197967527221,5847
76561197989113830,5833
76561198054209156,5569
76561197990880154,5386
76561198044425019,5298
76561198063421739,5236
76561198041784529,5223
76561198042802930,5172
76561198032474845,5104
76561198048427519,5041
76561198067276330,5020
76561197960568744,4954
76561198073069438,4950
76561197996403460,4923
76561198064117191,4894
76561197995207074,4887
76561198041059722,4876
76561197965127789,4856
76561198005620116,4840
76561198068431036,4824
76561198070484410,4677
76561198097574493,4642
76561198051718942,4641
76561198066312344,4616
76561198076542620,4563
76561198057747700,4525
76561198052415115,4520
76561197994608614,4434
76561198073837578,4365
76561198066797821,4353
76561198053336377,4308
76561198026012025,4288
76561198062566313,4273
76561198042065834,4258
76561198064979196,4172
76561198038477932,4140
76561198156591174,4122
76561197970564661,4102
76561197992223080,4057
76561198062539832,4047
76561198033628583,4028
76561198083947153,4019
76561197966878140,3977
76561198043001767,3972
76561198048588318,3971
76561198040657197,3937
76561198078317972,3877
76561198041229846,3855
76561197970735456,3773
76561198000587831,3743
76561198062225911,3733
76561198053567652,3674
76561198030768353,3660
76561198041676366,3651
76561198037009387,3651
76561198044143080,3597
76561197970660574,3578
76561198084686700,3577
76561198048934899,3547
76561197972261430,3519
76561198008608656,3477
76561198055609345,3448
76561198042148642,3441
76561197972956204,3434
76561198088679461,3416
76561198060777210,3368
76561198000529676,3360
76561197981240840,3319
76561198041473324,3315
76561198041669674,3292
76561198091646383,3244
76561198007060849,3243
76561198059707959,3230
76561198004791440,3224
76561198031628859,3180
76561198025720387,3168
76561198063051079,3151
76561197993871194,3142
76561197962028169,3140
76561198050543795,3067
76561198050551794,3065
76561198031692988,2962
76561198070062057,2943
76561198060546521,2935
76561198034567618,2877
76561198049812647,2875
76561198066671326,2871
76561197992790030,2843
76561197975513866,2834
76561198034839917,2818
76561198012683653,2816
76561198049531240,2808
76561198093768306,2799
76561198033807790,2790
76561198127849339,2774
76561198044634932,2768
76561197970758033,2765
76561198038487063,2757
76561198041134186,2740
76561198045266254,2721
76561198091912327,2681
76561198038995719,2664
76561197973942698,2649
76561198065446618,2649
76561198058507679,2643
76561198051159072,2641
76561198070647134,2636
76561198074912402,2632
76561198047524368,2600
76561198038837191,2589
76561198065278114,2575
76561198042019784,2550
76561197961465709,2550
76561198041993231,2549
76561198046710527,2545
76561198072862795,2521
76561198011920971,2511
76561198075300723,2504
76561198117186114,2494
76561197991572011,2485
76561198069351753,2482
76561198044600700,2447
76561198055372831,2444
76561198044939256,2441
76561198118965684,2424
76561198006735420,2413
76561198077583455,2412
76561198067452383,2402
76561198029207370,2389
76561198041881075,2348
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561198057970266,2287
76561197971128924,2284
76561198005778772,2283
76561198037745745,2231
76561198091758520,2231
76561198100782616,2230
76561198059017416,2229
76561198106866138,2226
76561198052031282,2193
76561198036736458,2190
76561198053858460,2186
76561198078245798,2181
76561197985576649,2158
76561198039050385,2156
76561198100668404,2154
76561198072831321,2148
76561198006206678,2139
76561198020233399,2130
76561197994831363,2125
76561197999005757,2111
76561198027110664,2102
76561197999240770,2102
76561198040694818,2097
76561198095005075,2073
76561198054206617,2060
76561198027553209,2057
76561197992364773,2053
76561198035067790,2045
76561198056277856,2036
76561197960870264,2035
76561198015460867,2028
76561197963894168,2024
76561198060068927,2017
76561198027306821,2003
76561198048007930,1986
76561198026057283,1982
76561198051518356,1974
76561198061177795,1972
76561198029280817,1970
76561198069552266,1956
76561198048053827,1950
76561198021712879,1949
76561197961524262,1935
76561198024633064,1913
76561198074227021,1899
76561198088423297,1874
76561198057105415,1871
76561198068231737,1871
76561198065273523,1863
76561198018539675,1852
76561197995409603,1839
76561198020583823,1833
76561197989725385,1830
76561197966648936,1820
76561198004584008,1811
76561198010271990,1805
76561198069616193,1792
76561198064899111,1783
76561198063642035,1765
76561198013254835,1763
76561198074056771,1763
76561198058624929,1757
76561198041445527,1757
76561198033143089,1757
76561198064622894,1749
76561198050509386,1748
76561198067972716,1738
76561198012517047,1731
76561198021923374,1728
76561198035515676,1721
76561198035363871,1716
76561198020745022,1695
76561198056314722,1694
76561198071635721,1690
76561198021358289,1679
76561198043497735,1674
76561198018986283,1672
76561198009177886,1654
76561198043505113,1654
76561198049213764,1644
76561197970937211,1624
76561198049223407,1621
76561198110608348,1616
76561198023314106,1606
76561198034277356,1600
76561198045291703,1598
76561198054543661,1594
76561198073197778,1592
76561198068442781,1583
76561198094946197,1566
76561198040099619,1561
76561198044594262,1555
76561198062552749,1550
76561198065431100,1548
76561198062908030,1533
76561198054281670,1532
76561198026497579,1527
76561198045506687,1525
76561198050191704,1516
76561198044508924,1512
76561198029571120,1499
76561198052503456,1497
76561198043898721,1494
76561198043415920,1486
76561198069089946,1480
76561198042163355,1468
76561198041647183,1443
76561197992618958,1438
76561198051093996,1433
76561198072004384,1421
76561198093076356,1417
76561198027254626,1413
76561198037334070,1406
76561198039229372,1401
76561198018872195,1397
76561198021997782,1396
76561197966298550,1388
76561198033277907,1387
76561197966713982,1386
76561198056194879,1381
76561198021307778,1369
76561198080354888,1357
76561198085878301,1355
76561198033467946,1341
76561198056211827,1335
76561198006310538,1328
76561198076219556,1317
76561198044948113,1298
76561198063591717,1298
76561197992074352,1296
76561198060082680,1296
76561198073147535,1278
76561198070205647,1260
76561197992014675,1259
76561198081599215,1252
76561198071000902,1247
76561197967272400,1241
76561198044345823,1240
76561198047628185,1238
76561198081409914,1233
76561198067329668,1231
76561198060804779,1218
76561198040914182,1209
76561197977767389,1204
76561198103535483,1203
76561198103242453,1188
76561197975296603,1188
76561198043176272,1183
76561198020847525,1183
76561198020061745,1183
76561198045656221,1175
76561198000149660,1157
76561198027585180,1151
76561198045638432,1139
76561198079621961,1129
76561198008026450,1125
76561198143242417,1114
76561197992991719,1107
76561197996055003,1105
76561198045972083,1103
76561198075951018,1102
76561198128120590,1092
76561197986308220,1092
76561197962775018,1079
76561198059167447,1079
76561197963219999,1077
76561197985239253,1075
76561198040252070,1074
76561198027330526,1073
76561198029825981,1072
76561198064148060,1048
76561198063805008,1028
76561198051844298,1021
76561198025496754,1004
76561198064426384,1000
76561198006845828,999
76561197993305750,996
76561198059873852,992
76561197979552509,989
76561198068133128,988
76561198058807373,980
76561198061458070,980
76561198081168026,979
76561198077287548,974
76561198065691714,970
76561198035809740,966
76561198034471935,963
76561198074736789,960
76561198068004298,959
76561197974412558,953
76561198065654752,937
76561198064949993,934
76561198036637508,931
76561198009605382,924
76561198055775481,923
76561198026264851,919
76561198088661531,918
76561197982647299,917
76561197992532442,913
76561197995249951,909
76561198070358347,908
76561197966936422,906
76561198075600018,905
76561198028365433,902
76561198068028853,899
76561198050462352,896
76561198041680861,890
76561197970550128,886
76561198038944479,883
76561198264406978,883
76561198059976332,875
76561197982421447,873
76561198035728786,863
76561198055372490,850
76561198044117893,850
76561198084234757,843
76561198048163741,834
76561197977547936,832
76561198071440599,826
76561198048003765,825
76561198042544702,814
76561198016152495,812
76561198095773062,809
76561197970535618,796
76561198096597324,794
76561198075549707,792
76561198059101075,792
76561198044411107,791
76561198034575361,787
76561198011621166,786
76561198042220053,780
76561198064253920,774
76561198041241096,774
76561198035871783,768
76561198043504885,765
76561198078694125,760
76561198062866193,759
76561198025038617,757
76561198086175509,753
76561198072230888,748
76561197997277886,748
76561197988978706,747
76561198056765750,741
76561197963429707,734
76561198063082317,730
76561198062652310,728
76561198017345674,727
76561198025072353,726
76561198018596082,722
76561198077343810,714
76561198028395652,714
76561197969455548,702
76561197973156896,697
76561198065670025,694
76561198002193575,692
76561198066969630,681
76561197993255329,679
76561198079332919,677
76561198050762093,672
76561198030079998,671
76561198079211507,667
76561198034034727,661
76561198085956877,660
76561198087332017,657
76561198071382842,654
76561198027185480,652
76561198066371178,651
76561197998610301,650
76561198053334053,647
76561198066504313,634
