steam_id,playtime_forever
76561198025107925,13227
76561197961124706,2504
76561198042178595,1947
76561197960889906,1098
76561198093624679,855
76561197998219184,798
76561198046173663,789
76561197963590175,768
76561198044023897,555
76561198092151965,517
76561197982612630,464
76561197971128924,457
76561198062232099,414
76561197993705230,355
76561198009435652,337
76561198014999832,325
76561198011218089,247
76561198053964143,224
76561197989723505,222
76561198087000746,218
76561198034215738,218
76561198050465176,199
76561198001296435,183
76561198036745107,175
76561198039694296,149
76561198041582030,146
76561198067309171,132
76561197993263354,123
76561198065431100,122
76561198000190288,114
76561198030021498,101
76561198003868600,98
76561198070714959,93
76561198061531823,90
76561198073586132,89
76561197983563655,74
76561198079237760,73
76561197975317114,70
76561198032092401,65
76561198084528686,62
76561198001518866,60
76561197961633679,55
76561198015164767,53
76561197968531038,52
76561198156882880,51
76561198031245536,50
76561198042148866,46
76561198089300025,40
76561198003078133,34
76561198040858050,32
76561198038644750,31
76561198075300723,28
76561198056610859,28
76561198085542265,26
76561198028123455,26
76561197964135693,24
76561197970535618,23
76561198049320489,22
76561198006798951,21
76561198043662245,21
76561198003594084,21
76561198066909163,19
76561197971859273,19
76561198096809563,19
76561198063661942,18
76561198019295365,17
76561197982203533,16
76561198094359049,15
76561198011303167,15
76561198068225066,15
76561198069524210,14
76561198054263529,14
76561197966764681,13
76561198048933509,12
76561198067940560,12
76561198014231189,12
76561198033606790,11
76561198016270907,11
76561197989411794,11
76561198050351308,10
76561198087589643,9
76561198072533733,9
76561198047297459,9
76561198035066628,9
76561197967272400,8
76561198069988348,7
76561198035859601,7
76561198072822539,7
76561198068153798,6
76561198038152917,6
76561198077038456,5
76561197966492391,4
76561198065322037,4
76561197992204503,3
76561198080887424,2
76561198032586231,2
76561198047624325,2
76561198045126877,2
76561198024806514,2
76561198057382928,1
76561198089251966,1
76561197966465521,1
76561198057146794,1
76561198043070022,1
76561198067136187,1
76561198087170428,1
76561198107233010,1
76561198070585472,0
76561198192831475,0
76561198067219635,0
76561198239611018,0
76561198082166693,0
76561198087066156,0
76561198081963796,0
76561198101406637,0
76561198102767019,0
76561198118965684,0
76561198119472780,0
76561198078264061,0
76561198157726267,0
76561198068494833,0
76561198069173024,0
76561198119803063,0
76561198120364067,0
76561198069487110,0
76561198157996443,0
76561198122883605,0
76561198091853107,0
76561198071455907,0
76561198095049646,0
76561198071413959,0
76561198071430243,0
76561198043157604,0
76561198066608801,0
76561198028008677,0
76561198024918862,0
76561198023381231,0
76561198022304269,0
76561198019442590,0
76561198019434222,0
76561198019137995,0
76561198012050762,0
76561198007521657,0
76561198006841208,0
76561198003167470,0
76561198002327925,0
76561198000537256,0
76561197995207074,0
76561197995042414,0
76561197994102398,0
76561197991699268,0
76561197989616184,0
76561197983367658,0
76561197974266367,0
76561197971732403,0
76561197967469174,0
76561197967174031,0
76561197964743311,0
76561198027455053,0
76561198028206815,0
76561198064621980,0
76561198029280817,0
76561198064473140,0
76561198059440920,0
76561198055707524,0
76561198055555174,0
76561198054678069,0
76561198053083323,0
76561198049438209,0
76561198048151962,0
76561198046563007,0
76561198045950134,0
76561198045814607,0
76561198044920564,0
76561198044653745,0
76561197964334210,0
76561198041992677,0
76561198041310702,0
76561198040886693,0
76561198040196672,0
76561198039834830,0
76561198037968477,0
76561198035240166,0
76561198034169751,0
76561198029942789,0
76561198283431927,0
