steam_id,playtime_forever
76561198036063257,1184
76561198075055875,758
76561198011218089,753
76561197995207074,530
76561198051715280,521
76561198018556361,425
76561198041823841,321
76561198041417698,286
76561198100129112,226
76561197998873955,213
76561198055770245,211
76561198093624679,166
76561198035893080,164
76561198061375313,131
76561198007539695,108
76561198061531823,107
76561198042237966,107
76561198025198217,104
76561198071430243,94
76561198044783305,89
76561198095226109,88
76561198035860222,85
76561198060787863,82
76561198087786125,72
76561198057921996,65
76561198044508924,59
76561198190794628,56
76561198000554821,48
76561197970580235,43
76561198024276651,39
76561197972482791,32
76561198023093635,25
76561198030021498,17
76561198002644780,17
76561197983066077,15
76561198044383266,14
76561198034305479,13
76561197971857001,13
76561198042966858,8
76561198079128940,6
76561197974522156,5
76561198040144918,4
76561197970723780,0
76561198080506389,0
76561198087883181,0
76561198102767019,0
76561198006944554,0
76561197985797191,0
76561198055830349,0
76561198026055531,0
76561198048123785,0
76561198046016445,0
76561198042410388,0
76561197960304530,0
