steam_id,playtime_forever
76561197995207074,2195886
76561198034699157,846072
76561198007282725,738753
76561198061797577,662602
76561198013828918,642703
76561198062232099,587844
76561198034392454,572431
76561198028206815,394491
76561198032466454,386681
76561198006944554,375096
76561198015984056,355266
76561198102767019,355031
76561198025107925,353948
76561198008335925,342323
76561198054840158,337453
76561198118965684,329336
76561198044588815,326241
76561198050414588,321454
76561197963293081,317043
76561198072533733,313765
76561198001518866,305460
76561198047208452,305319
76561197978756659,302831
76561198062580329,290411
76561198011104822,290288
76561198013600577,288261
76561198046914681,285485
76561198000537256,282555
76561198088687428,280516
76561197965966319,277204
76561198011533373,270680
76561198098426469,269846
76561198086698451,265762
76561198061477939,264776
76561198058230663,263669
76561198072541900,263508
76561198044920564,262285
76561198096678177,259854
76561198041669718,258756
76561198065322400,255165
76561198048151962,251769
76561197998632922,251295
76561198057253097,250886
76561198058539753,249023
76561198032289648,246326
76561198043711805,245909
76561197968788420,241921
76561198036460233,241916
76561197964218274,237605
76561198064100890,237529
76561198025281122,236635
76561198070198955,235914
76561198025647301,235620
76561198074736789,234274
76561198081845576,233513
76561198064134436,232740
76561198057685527,232580
76561198024616768,231320
76561198105430566,231211
76561198020974455,230628
76561198087066156,230426
76561198060797110,230417
76561198098821681,229701
76561198063076399,226245
76561198028458466,225791
76561197994136663,225507
76561198056359647,225396
76561198069839491,224437
76561197998612669,224128
76561197994367028,222811
76561198074971185,220866
76561198010776633,220688
76561198025198217,219181
76561198054680543,218544
76561198019019838,218372
76561197972452208,216387
76561198048136230,215180
76561198072850898,212948
76561198045475636,211750
76561197987397827,211697
76561198077285385,207651
76561198049315551,207239
76561198013858002,206345
76561198065545068,205558
76561198079518488,205315
76561198056997935,202903
76561198067219635,201355
76561198034213146,200325
76561198017237313,200014
76561198062906945,198823
76561198027032240,198770
76561198045068310,197259
76561198044184931,197101
76561198039817744,195198
76561198054678115,194202
76561197994102398,193530
76561198106868220,191708
76561198033995949,191538
76561198049972308,190760
76561198045767673,190008
76561198061230129,189916
76561198026008283,189440
76561198065784635,189163
76561198070585472,187878
76561198031248956,187479
76561198062044298,185962
76561198109551324,185472
76561198078381993,185408
76561198067570770,182761
76561198075471492,182684
76561198044323532,182174
76561197966979423,181807
76561198030091459,181056
76561198098418019,179406
76561198057083118,178476
76561197977767929,178452
76561197995195311,178315
76561197981203305,177900
76561198030622101,177487
76561198025210935,177438
76561197988411069,177265
76561198045475428,177234
76561198079254609,177096
76561198010803705,176686
76561198123168383,176598
76561198059622971,175039
76561198053346631,174553
76561197991055234,174119
76561198086575203,173811
76561198054793721,173673
76561198080943919,173243
76561198003167470,172498
76561198001612399,171814
76561198072644714,171809
76561198060486675,171354
76561198006845828,171333
76561198045216135,170994
76561198092185400,170684
76561198032454585,169920
76561198052393035,169876
76561198036455045,169443
76561198007059171,169263
76561197972797551,168955
76561198039821585,168953
76561198043105320,168893
76561198146840693,168614
76561198051911068,168407
76561198035102791,167768
76561198020133414,167229
76561198050871860,166880
76561198063916425,166773
76561197965929122,166567
76561198044469428,166545
76561198073740972,166146
76561198052200252,166110
76561198064197054,165670
76561198081938549,165650
76561198063067690,165485
76561197961702279,165152
76561197996907635,164972
76561198025711760,164767
76561197993725260,164741
76561197999429998,164607
76561198006894551,163862
76561198017606662,163495
76561198023634778,162824
76561198038218194,162592
76561198037212970,162211
76561198077663677,162000
76561197988832165,161308
76561198139551265,161131
76561198023381231,160950
76561198045852928,160626
76561197960572371,160511
76561198012742919,160313
76561198033387354,160029
76561198036480620,159612
76561198046386934,159346
76561198042170355,159344
76561198054114739,159323
76561198025874160,159279
76561197966014818,158600
76561198053183010,158220
76561198052479552,157832
76561198048808239,157657
76561198050762093,157281
76561198025883153,157117
76561198084544554,156514
76561198008848530,156408
76561197999723750,156200
76561198043766755,155526
76561198097730477,155370
76561198033145513,155170
76561198045479668,155130
76561197998873955,154839
76561198025342248,154752
76561198062471632,154547
76561198071116663,154023
76561198060969570,153544
76561198064149420,153385
76561198017664218,153378
76561198069683484,153317
76561198061245815,153074
76561198090978944,152941
76561198043026264,152146
76561198046851241,152087
76561198068397506,151836
76561198042571202,151776
76561198052900715,151546
76561198011743390,151536
76561198049491579,151314
76561198043917204,151049
76561198090327032,150864
76561198097167311,150530
76561198050447337,150390
76561198043191126,150023
76561198068463342,149881
76561198041472164,149827
76561198084310292,149814
76561198034742298,149731
76561198075749223,149457
76561198009002691,149434
76561198052779668,149287
76561198104882368,148866
76561198010348540,148473
76561197992236665,148427
76561198061097219,147964
76561198076094895,147762
76561198018872195,147284
76561198063606127,147168
76561197967272400,146850
76561198041472663,146835
76561198039365853,146809
76561198006735420,146760
76561198027961830,146134
76561198052929892,146002
76561198067257274,145746
76561198044613254,145641
76561198053805031,144993
76561198029596731,144360
76561198015160594,144194
76561198062009893,143969
76561198057860256,143965
76561198068614009,143892
76561198045516933,143745
76561197967370851,143528
76561197971857001,143518
76561198035685392,143484
76561198064619260,143098
76561198060469849,143094
76561198076478927,143030
76561198073331366,143013
76561198084066563,142830
76561198039236799,142670
76561197971268422,142628
76561197999088637,142514
76561198085167128,142431
76561198094074209,142293
76561198119803063,141957
76561198077923530,141867
