steam_id,playtime_forever
76561197995146150,15942
76561197995207074,7497
76561198018151820,6907
76561198086370065,4861
76561198047756081,4693
76561198040188061,4525
76561198080601475,3802
76561198089967981,3523
76561198046783368,3491
76561198009318462,3404
76561198065327741,2787
76561198040530624,2742
76561198056536128,2657
76561198051957930,2656
76561198058887844,1944
76561198068614009,1932
76561198058217502,1930
76561198045591068,1772
76561198030735508,1733
76561198097169936,1709
76561198037720383,1703
76561198089939629,1692
76561198069410187,1662
76561198000537256,1657
76561198078381993,1640
76561198052723604,1636
76561198025500916,1609
76561198122105426,1597
76561198054606902,1584
76561198081298968,1559
76561198116062531,1549
76561198047241493,1519
76561198069603322,1497
76561198055491845,1494
76561198078751822,1465
76561198016215456,1461
76561198081509282,1435
76561198077531443,1424
76561197995042414,1410
76561198072533733,1407
76561198064339602,1397
76561198064572589,1368
76561198075012648,1353
76561198091080817,1338
76561198039606950,1337
76561198059685697,1336
76561197999140519,1295
76561198049447026,1283
76561198042376148,1281
76561198050557204,1279
76561198078743346,1262
76561198075968863,1146
76561198066203201,1141
76561198062180678,1139
76561198022879865,1133
76561198044617836,1131
76561198074113907,1131
76561198069402461,1117
76561198084703989,1100
76561198057591023,1070
76561198049502185,1016
76561198084667711,1012
76561198063527700,1010
76561198064261294,1009
76561198084429053,1001
76561198027286230,991
76561198064161333,990
76561198047711462,981
76561198067106876,975
76561197975369524,958
76561198064959799,935
76561198098840056,931
76561198018589800,929
76561198015673544,926
76561198042839144,921
76561198086045190,916
76561198098157284,903
76561198080619885,896
76561198048123629,890
76561198077557008,884
76561198080609032,879
76561198072061907,864
76561198099088084,843
76561198083518792,837
76561198032455402,835
76561198085049871,831
76561198063267577,827
76561198078212818,822
76561198074625457,811
76561198029968002,797
76561198030937737,791
76561198027343237,789
76561198050764330,751
76561198025394685,739
76561198059307733,720
76561198051336934,713
76561198034711455,705
76561198044011957,700
76561197999719746,691
76561198028509438,687
76561198045786618,677
76561197991677902,671
76561198050296173,662
76561198041163483,649
76561198073559978,648
76561198010375099,648
76561198048236823,642
76561198034263992,625
76561197993009150,606
76561198069036644,591
76561198047584892,577
76561198046135457,574
76561198071951119,573
76561198052903951,572
76561197992729547,571
76561198027868963,565
76561198068831727,565
76561198063986589,551
76561198062907993,548
76561197998943704,537
76561198057553528,534
76561198069905942,532
76561198046227105,520
76561197995176045,518
76561198112027349,513
76561198085336202,512
76561198026336033,505
76561198203947177,501
76561198076469340,498
76561198079335081,497
76561197995169107,495
76561198063629285,485
76561198021019289,484
76561198000611049,480
76561198080021911,480
76561198071059521,478
76561197972230407,473
76561198000079749,468
76561198047115335,465
76561198041281813,464
76561198070805372,445
76561198088311927,442
76561198089719383,440
76561198001486369,439
76561198062182044,431
76561198089629607,430
76561198042987313,425
76561197972473057,422
76561198074156090,422
76561198080886952,418
76561198065725333,416
76561198050658154,412
76561198077961592,411
76561198005517355,405
76561198099111544,398
76561198047188446,397
76561198042070956,396
76561198011433474,393
76561198041243029,390
76561198023625312,390
76561198039047817,390
76561197987065774,389
76561197993030272,387
76561198107602070,372
76561198002560047,372
76561198064199288,369
76561198070268080,366
76561198042225887,365
76561198077629133,365
76561198072382036,365
76561198051748820,361
76561198045161688,359
76561198065160232,356
76561197968287469,350
76561198063468532,349
76561198091758520,348
76561198073055451,347
76561198069561067,345
76561197961008672,345
76561198053812972,344
76561198074482800,342
76561198016439867,341
76561198103087541,339
76561198059752724,337
76561198069896675,336
76561198106068056,335
76561198074295635,333
76561198060196910,331
76561198049752182,331
76561198028300167,328
76561198045633630,327
76561198078659638,326
76561198056720698,325
76561198078381948,322
76561198027156162,321
76561198003693532,321
76561198018743551,320
76561198076860706,318
76561198062039624,313
76561198082096463,312
76561198050006497,311
76561198039477603,308
76561198025198217,305
76561198041203356,292
76561198071716213,281
76561198093180280,279
76561198048936292,277
76561198068907374,277
76561198092098534,277
76561198102767019,272
76561198069237515,265
76561198048437384,262
76561198044880177,261
76561198097017517,260
76561198090296825,258
76561198094044284,255
76561198068133128,254
76561198067123853,254
76561198065137041,249
76561198025614826,247
76561197971399999,247
76561198098219771,244
76561198074254609,242
76561198027828967,240
76561198044721977,240
76561198012683653,239
76561198072020622,239
76561198045316032,237
76561198070697304,236
76561197973055702,235
76561198071847566,233
76561198023009163,231
76561198083612270,231
76561197984986342,229
76561198045712111,229
76561198035447600,227
76561198056269279,227
76561197996524718,227
76561198059904339,224
76561198086135793,222
76561198007480891,220
76561198045884541,219
76561198011705037,219
76561198047167487,216
76561198055750463,215
76561198028206815,215
76561198063468866,215
76561197995142448,212
76561198038572397,212
76561198081172646,210
76561198043008761,208
76561198034699157,208
76561198013828918,207
76561198048892382,204
76561198065756613,203
76561198076698338,203
76561197991707709,203
76561198029584773,202
76561198052845748,201
76561198055786387,200
76561198278508095,195
76561198046357713,193
76561198069835803,193
76561198036245133,192
76561197986325120,192
76561198033807790,190
76561198010030574,186
76561198043948093,184
76561198044920971,183
76561198017487896,179
76561198068472094,175
76561198105147781,174
76561198053949702,173
76561198052517002,171
76561198080305599,170
76561198067662002,165
76561198039225440,165
76561198042872735,164
76561198063195970,162
76561198051685199,160
76561198013199787,159
76561198060263985,156
76561198043070022,155
76561198070938718,155
76561198001277825,154
76561198041019706,152
76561198104404617,152
76561197972904421,152
76561198008181611,150
76561198075458182,148
76561197969324150,148
76561198058138411,145
76561198068691029,144
76561198031308903,136
76561198011831269,134
76561198072531173,132
76561198040968956,131
76561198031949798,129
76561198097808235,129
76561198069746520,129
76561198045389453,124
76561198037535717,123
76561198076228553,122
76561198078077688,121
76561198094666642,120
76561198062651694,119
76561198058230663,119
76561198090768760,118
76561198071216195,118
76561198023172776,117
76561198028950490,116
76561198025075751,115
76561198071919859,114
76561198057735047,113
76561198077269470,110
76561198090047074,109
76561198049136740,108
76561198026584251,106
76561198052928427,106
76561198010095846,106
76561198060095580,104
76561198071705626,103
76561198096922815,101
76561198046511631,101
76561198051716372,101
76561198054501521,101
76561198041599441,101
76561198046863519,101
76561198068106044,100
76561198045394882,100
76561198065321014,100
76561198012139879,99
76561198028290577,99
76561197964056548,98
76561198052268731,97
76561198055559566,97
76561197982911077,96
76561198028549775,94
76561198064223823,93
76561198095226109,92
76561198070932015,92
76561197991699268,91
76561198062544523,91
76561198066178108,90
76561198025647301,90
76561198061803718,89
76561198044454118,89
76561198005959944,89
76561198043457895,88
76561198089378846,88
76561198046767905,87
76561198042335298,85
76561198032012843,84
76561198077803106,84
76561198073039037,83
76561197991921051,81
76561198049338296,80
76561198080624228,80
76561198062556071,80
76561198044767296,80
76561198067651530,80
76561198069920369,78
76561198090668943,78
76561198035893080,77
76561198053685392,77
76561198038743512,77
76561198160640899,77
76561198047269494,77
76561198002196490,75
76561197985198230,75
76561198061419665,75
76561198048412445,75
76561198046429956,74
76561198071880212,73
76561198056355484,73
76561198079870460,73
76561198078112264,72
76561198055872472,71
76561198092262100,71
76561198038734710,70
76561198071858763,70
76561198047630149,70
76561198063044402,70
76561198010443610,70
76561198045875719,69
76561198087539604,69
76561198041572513,69
76561198069521282,69
76561198047022087,68
76561198072242930,68
76561198026389006,67
76561198076880315,66
76561198080712125,66
76561198069753628,65
76561197970347433,65
76561198085640669,64
76561198103395655,62
76561198039573677,61
76561198018195772,61
76561197962736283,59
76561198073787527,59
76561198039871901,59
76561197972143548,58
76561198049268659,58
76561197965385429,57
76561197986617937,57
76561198063709432,57
76561198043194046,57
76561197970652384,57
76561198045767673,57
76561198069076906,56
76561198154995501,56
76561198047268909,54
76561198087312804,54
76561198021307778,54
76561198081926985,54
76561198063044778,54
76561198068269852,54
76561198039366011,53
76561198096915543,53
76561198025235145,52
76561198058160828,51
76561197989728414,50
76561198045266254,50
76561198062234260,50
76561198067142133,50
76561198062580329,49
76561198056405237,48
76561198101632964,48
76561198031212089,48
76561198083241484,48
76561198080291652,47
76561198097012821,47
76561198079003268,47
76561198035313379,46
76561198082547731,46
76561198025544153,46
76561198044436113,45
76561197997118766,44
76561198062695303,44
76561197993676441,44
76561198055405859,44
76561198061245815,44
76561198061991363,44
76561197999638720,44
76561198083364711,43
76561198031109038,43
76561198053985682,42
76561198044920564,42
76561198018217670,42
76561198049623970,41
76561198072885880,41
76561198013395705,41
76561198078286935,41
76561198125093887,41
76561198044198059,41
76561198043345531,41
76561198004434645,41
76561197964135693,40
76561198075580315,40
76561197982271689,40
76561198064343153,40
76561198070751282,40
76561198044346263,40
76561197970323756,40
76561198009310459,40
76561198052983526,39
76561197970535832,39
76561198066399360,39
76561198063091321,38
76561198045536474,37
76561198007748111,37
76561198043458582,37
76561198066832504,37
76561198015200365,37
76561198093538845,37
76561198046977788,37
76561198054219214,36
76561198083327416,36
76561198047301777,36
76561198073759523,35
76561198034081853,35
76561198058365176,35
76561198047538714,34
76561198043238523,34
76561198045061169,34
76561197978985706,33
76561198137356550,33
76561198036463977,33
76561198041791679,32
76561198024261626,32
76561198029769289,32
76561198016190004,32
76561197986144369,32
76561198049667897,32
76561197995041992,31
76561198077457990,31
76561198010211852,31
76561198040704593,30
76561198066306064,30
76561198021349016,30
76561198065283566,30
76561198018535066,30
76561198071219403,30
76561198062042286,29
76561198045014162,29
76561198037481626,29
76561198076711798,29
76561198068164387,29
76561198151645088,28
76561198049438209,28
76561198073661531,28
76561198057005890,28
76561198068038328,28
76561198045580670,28
76561198059248338,28
76561198000529676,27
76561198028469244,27
76561198027588552,27
