steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,63277
76561198081786584,60076
76561198030769891,51502
76561198004311251,43390
76561198064692010,39152
76561198035202077,36088
76561198087466439,33271
76561198082325305,29518
76561198066892282,29475
76561198057982190,29221
76561198057998681,28942
76561198062737330,28114
76561198044738808,28054
76561198081026741,23605
76561198057220133,23108
76561198067674227,20604
76561198072653652,19864
76561198043909770,19610
76561198017140286,16510
76561197990451246,15370
76561198066968708,14977
76561197995850655,14828
76561198047821082,14768
76561198029681660,14588
76561198048708552,14285
76561198048526408,14157
76561198009846599,13979
76561198031840883,13439
76561197963549028,12385
76561198000345791,12314
76561198064395261,12193
76561198046864121,11972
76561198000740110,11805
76561198060601367,11454
76561198046118971,11388
76561197992280471,11180
76561198025536901,11046
76561198043028094,10893
76561198047470321,10559
76561198068156317,10340
76561198032794297,10112
76561198081340023,9845
76561197989691928,9788
76561198072029747,9595
76561198048313808,9449
76561198106878606,9350
76561198040091426,9342
76561197962929275,9204
76561198044652825,9077
76561198006994190,8973
76561198083084460,8971
76561198037521552,8918
76561198047701821,8742
76561198003772075,8613
76561198043530022,8558
76561198059318735,8544
76561198052737632,8477
76561198089123722,8396
76561198066272265,8317
76561197960798335,8115
76561198042649425,8042
76561197960888883,7769
76561198067997800,7616
76561198043909573,7409
76561198040150405,7315
76561198070005881,7302
76561198050613769,7278
76561198039119848,7259
76561198046186008,7129
76561198046664381,7008
76561198042022376,6908
76561198077370213,6899
76561198081715961,6892
76561198037810633,6745
76561198070335606,6641
76561198325096636,6597
76561197972880792,6320
76561198069840992,6192
76561198003428090,5975
76561198143334950,5851
76561197989113830,5827
76561198054209156,5569
76561197967174031,5551
76561198063421739,5236
76561198041784529,5223
76561198032474845,5104
76561198048427519,5041
76561198058124455,5024
76561197960568744,4954
76561198073069438,4950
76561197996403460,4923
76561198007150650,4897
76561198064117191,4894
76561198005620116,4840
76561198068431036,4824
76561198074505576,4737
76561198070484410,4677
76561198097574493,4642
76561198051718942,4641
76561198052415115,4520
76561197994608614,4434
76561198035814564,4434
76561198083375450,4366
76561198066797821,4353
76561198067276330,4317
76561198026012025,4288
76561198062566313,4273
76561198064979196,4143
76561198038477932,4140
76561198156591174,4122
76561197970564661,4102
76561198062539832,4047
76561198083947153,4019
76561198043001767,3972
76561197990880154,3939
76561198040657197,3937
76561198041229846,3855
76561198033628583,3773
76561198000587831,3743
76561198062225911,3733
76561198006267245,3633
76561197970660574,3578
76561197966878140,3542
76561198008608656,3477
76561198088679461,3416
76561197981240840,3319
76561198041473324,3315
76561198041669674,3292
76561198037009387,3274
76561198091646383,3244
76561198004791440,3224
76561198031628859,3180
76561198063051079,3151
76561198044143080,3105
76561198050551794,3065
76561198030768353,3012
76561198057747700,2974
76561197962028169,2971
76561198031692988,2962
76561198070062057,2943
76561198066671326,2871
76561198034839917,2818
76561198012683653,2816
76561198049531240,2808
76561198044634932,2768
76561198038487063,2757
76561198059707959,2752
76561198041134186,2740
76561198045266254,2721
76561198038995719,2664
76561198065446618,2649
76561198058507679,2643
76561198074912402,2632
76561198047524368,2600
76561198065278114,2575
76561198093768306,2557
76561198042019784,2550
76561198033807790,2542
76561198011920971,2511
76561198075300723,2500
76561198052029872,2485
76561198069351753,2482
76561198007060849,2461
76561198044600700,2447
76561198055372831,2444
76561198044939256,2441
76561198067452383,2402
76561198077583455,2396
76561198041881075,2348
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561198037745745,2231
76561198036736458,2190
76561197985576649,2158
76561198100668404,2154
76561198006206678,2139
76561198020233399,2130
76561198042065834,2127
76561197961465709,2119
76561198025720387,2111
76561198027110664,2102
76561198040694818,2097
76561198005778772,2076
76561198095005075,2073
76561198073837578,2070
76561198054206617,2060
76561198027553209,2048
76561198035067790,2045
76561198015460867,2028
76561197963894168,2024
76561197991572011,2020
76561198052031282,2015
76561197970735456,2005
76561198027306821,2003
76561198048007930,1986
76561198061177795,1972
76561198029280817,1970
76561198069552266,1956
76561198021712879,1949
76561198048934899,1908
76561198057970266,1897
76561198088423297,1874
76561198068231737,1871
76561197995409603,1839
76561198020583823,1833
76561198053858460,1830
76561197989725385,1830
76561198064899111,1783
76561198013254835,1763
76561198050509386,1748
76561198067972716,1738
76561198012517047,1731
76561198091912327,1701
76561197966648936,1688
76561198033143089,1670
76561198106866138,1614
76561198023314106,1606
76561198024633064,1603
76561198034277356,1600
76561198054543661,1594
76561198073197778,1592
76561198068442781,1583
76561198094946197,1566
76561198021923374,1557
76561198044594262,1555
76561198062552749,1550
76561198054281670,1532
76561198026497579,1527
76561198050191704,1516
76561198029571120,1499
76561198043415920,1486
76561198069089946,1480
76561198041647183,1443
76561198051093996,1433
76561198041676366,1428
76561198072004384,1421
76561198093076356,1417
76561198027254626,1413
76561198021997782,1396
76561197966713982,1386
76561198041445527,1370
76561197999240770,1360
76561198085878301,1355
76561198076219556,1317
76561198056314722,1301
76561198063591717,1298
76561198060082680,1296
76561198021358289,1283
76561198073147535,1278
76561198042802930,1270
76561197992014675,1259
76561198081599215,1252
76561198100782616,1251
76561198044345823,1240
76561198081409914,1233
76561197999005757,1225
76561198060804779,1218
76561198040914182,1209
76561198103535483,1203
76561197970758033,1196
76561198103242453,1188
76561198020061745,1183
76561198020847525,1183
76561198049223407,1164
76561198000149660,1157
76561198027585180,1151
76561198008026450,1125
76561198056211827,1117
76561198043176272,1108
76561197992991719,1107
76561198065273523,1097
76561198037334070,1096
76561198072862795,1084
76561198027330526,1073
76561198127849339,1049
76561198064148060,1048
76561198063805008,1028
76561197992223080,1011
76561198059873852,992
76561198068133128,988
76561198061458070,980
76561198081168026,979
76561198035809740,966
76561198074736789,960
76561197974412558,953
76561198064949993,934
76561198088661531,918
76561198018986283,911
76561197995249951,909
76561198070358347,908
76561198075600018,905
76561198068028853,899
76561198050462352,896
76561198041680861,890
76561198038944479,883
76561198264406978,883
76561197993871194,880
76561197982421447,873
76561198021307778,869
76561197966298550,856
76561198010271990,851
76561198044117893,850
76561198055372490,850
76561198084234757,843
76561198128120590,839
76561198048163741,834
76561198042544702,813
76561198016152495,812
76561198043898721,812
76561198095773062,809
76561198055775481,794
76561198059101075,792
76561198034575361,787
76561198011621166,786
76561198042220053,780
76561198042148642,779
76561197963219999,775
76561198062908030,774
76561198064253920,774
76561198035871783,768
76561198078694125,760
76561198062866193,759
76561198025038617,757
76561198086175509,753
76561197997277886,748
76561198072230888,748
76561198056765750,741
76561197963429707,734
76561198062652310,728
76561198017345674,727
76561197970550128,712
76561197969455548,702
76561198039050385,696
76561198066969630,681
76561198079332919,677
76561198079211507,667
76561198039229372,666
76561198034034727,661
76561198085956877,660
76561198087332017,657
76561198066371178,651
76561198066504313,634
76561198050681039,629
76561197974964665,621
76561198071000902,621
76561198049666822,618
76561198026324076,616
76561198059891232,603
76561198024782225,600
76561198040099619,594
76561198028365433,593
76561198033500987,592
76561198025034607,592
76561198059443157,589
76561198034523826,586
76561197991380208,585
76561198163904000,584
76561198063210054,584
76561198065676099,584
76561198060901683,576
76561198071461686,572
76561198067453859,568
76561198008342497,565
76561197979491932,560
76561198041128585,560
76561198074138314,557
76561198030322804,543
76561198016614575,539
76561198047628185,535
76561198076227203,535
76561197988978706,535
76561197989549832,532
76561198031911370,531
76561198051366414,513
76561197974077859,510
76561198009391982,509
76561197965932870,509
76561198006845828,505
76561198069917494,504
76561197971116715,503
76561198053334053,501
76561197996935989,501
76561197972734322,491
76561198044286788,488
76561198084586078,481
76561198031757101,476
76561198006735420,470
76561198075549707,468
76561198014874639,464
76561198084878949,462
76561198026239418,462
76561198027137736,458
76561198060068927,455
76561198053123140,450
76561198070939406,449
76561198095363586,445
76561198034713617,438
76561198052287288,438
76561197973131198,428
76561198081260674,427
76561198048515776,420
76561198021625925,405
76561198056335973,402
76561198040255872,396
76561198035057757,393
76561198048168493,390
76561198029207370,389
76561198063853354,386
76561198050762093,383
76561198056347746,371
76561198063847316,371
76561198080691602,370
76561198070647134,367
76561198014951202,362
76561197972261430,360
76561198076248461,358
76561198075003490,356
76561198025496754,351
76561198014931225,349
76561197967184620,345
76561198040264010,341
76561198043248019,336
76561198040097386,336
76561198046140558,335
76561198056937366,333
76561198048997063,333
76561198074141366,330
76561198066514560,326
76561198049752484,323
76561198045319744,319
76561198053944542,314
76561198024265118,314
76561198081916650,314
76561198090666299,311
76561197993052264,310
76561197984302007,309
76561197972179823,304
76561198071591082,302
76561198071468553,301
76561197970496656,296
76561197997778679,284
76561198056215117,284
76561198063492383,283
76561198040132688,282
76561198047861593,282
76561198046046184,277
76561198017341667,275
76561198060519211,272
76561198102933145,269
76561197983947440,266
76561198017154363,266
76561197977470635,266
76561197993255329,264
76561198042457659,263
76561198038837191,262
76561198082150235,262
76561198027855774,258
76561198077917075,255
76561197970266668,253
76561198024130388,253
76561198061172661,253
76561198025341154,251
76561198024889385,246
76561198095669389,245
76561198070674750,240
76561198072831321,238
76561198084826918,237
76561198035477739,237
76561198022404680,234
76561198033663796,234
76561198056194879,230
76561198016006846,229
76561198077343810,229
76561198029940124,228
76561197976404225,227
76561197960367945,223
76561198065326032,222
76561198044526397,221
76561198009569147,216
76561198056088280,216
76561197982612630,216
76561198026201219,215
76561198023226082,213
76561197973436231,210
76561198043504885,209
76561197998557988,206
76561198060853767,205
76561197976563378,205
76561197973156896,205
76561198034567618,200
76561198043191126,197
76561198050232885,192
76561198025236485,191
76561198004774469,190
76561198018257543,189
76561198088314309,186
76561198058117223,184
76561198076805632,183
76561198012135937,182
76561197970535618,177
76561197994831363,175
76561197995207074,171
76561198029830056,170
76561198013341259,170
76561198010375422,168
76561198027719152,168
76561197968627825,164
76561198079645220,164
76561198059230318,162
76561198006532207,162
76561198125480655,162
76561198051716956,160
76561197992971513,157
76561198066893987,156
76561198043913316,153
