steam_id,playtime_forever
76561198002380984,42518
76561197970758033,36476
76561198024616768,34982
76561198026308363,33099
76561198052029872,32368
76561197990880154,29119
76561198048588318,27415
76561198062737330,23069
76561198041784529,21558
76561197995725436,21170
76561198064622894,19606
76561198160559380,16748
76561198083375450,16133
76561198034523826,15657
76561198042997251,14865
76561198189501926,14170
76561198062313883,14105
76561198057685527,13808
76561198059017416,13206
76561198065247809,12815
76561198001368533,12748
76561198084015139,12541
76561197993871194,12387
76561197995207074,11877
76561198057288584,11845
76561198091646383,11730
76561197962775018,11561
76561198057982190,11507
76561198045133986,11075
76561198043068048,11040
76561198066312344,10807
76561197996571918,10431
76561197991572011,9956
76561198078913859,9450
76561198045707348,9440
76561198043505113,9210
76561198077811980,8907
76561198042065834,8891
76561198093768306,8681
76561198044890488,8668
76561198033134963,8549
76561198042148642,8490
76561198048526408,8449
76561198225431384,8217
76561198127849339,8142
76561198026344945,8109
76561198042649425,8104
76561197989192658,8050
76561198062967154,8008
76561198058742898,7937
76561198065322400,7846
76561198087770592,7752
76561198055373462,7625
76561198030968992,7582
76561198047065819,7542
76561198054026701,7351
76561198086298637,7208
76561197984249981,7127
76561198043356370,7090
76561197972261430,7015
76561198071332808,6969
76561198080696168,6953
76561198046062663,6925
76561198066272265,6886
76561197966936422,6876
76561198011739835,6733
76561198083598589,6718
76561198068156317,6717
76561198083636157,6684
76561198031840883,6684
76561198056211827,6667
76561198076835892,6557
76561198006735420,6536
76561198073908917,6532
76561198081299936,6506
76561198006267245,6469
76561198046726002,6463
76561198059424139,6422
76561198043423140,6357
76561197969418604,6337
76561198040099619,6332
76561198006142961,6289
76561198074477998,6239
76561198064692010,6198
76561198121874542,6114
76561198072423643,6048
76561198089153132,6040
76561197981448997,5970
76561198055775481,5894
76561198092374007,5856
76561197967527221,5847
76561198126594586,5826
76561198031414399,5769
76561197967272400,5757
76561198034247949,5744
76561198010776633,5716
76561197998061835,5714
76561198070335606,5693
76561198011714432,5658
76561198040233085,5632
76561198090426708,5628
76561198013341259,5619
76561198080804547,5541
76561197997534851,5475
76561198035571357,5466
76561198024984271,5437
76561198056277856,5429
76561198027185480,5425
76561197973942698,5421
76561198043909770,5416
76561198072653652,5402
76561198079990063,5357
76561198054131489,5316
76561198044425019,5298
76561198038995719,5288
76561198062908030,5268
76561198080609032,5264
76561197965127789,5240
76561198042856516,5165
76561198128295561,5143
76561197995897533,5087
76561198102767019,5009
76561198032794297,4999
76561198060977372,4953
76561198008342497,4945
76561198048638445,4914
76561198042802930,4913
76561198067453859,4895
76561198081026741,4877
76561198041059722,4876
76561197973436231,4869
76561198084623564,4854
76561198050363268,4851
76561198054835798,4850
76561198077917075,4832
76561197976561718,4816
76561198035814564,4802
76561198044508924,4795
76561198037750043,4721
76561198001518866,4710
76561198067412704,4693
76561198088105280,4652
76561198076542620,4563
76561198078381993,4556
76561198030769891,4518
76561198011218089,4516
76561198028731533,4513
76561198003772075,4415
76561197992618958,4390
76561198078406041,4388
76561198078317972,4386
76561198091810182,4384
76561198008793871,4367
76561198026913148,4346
76561198027477827,4330
76561198053336377,4308
76561197993958579,4303
76561198259747598,4255
76561198035232640,4254
76561198018560501,4239
76561198021710409,4235
76561198065755282,4223
76561198044747100,4204
76561198029532782,4193
76561198014278943,4190
76561198075199712,4171
76561198063584783,4171
76561198042082977,4169
76561198070009281,4155
76561198093792908,4142
76561197970528472,4141
76561198016099805,4140
76561197983254661,4139
76561198043504885,4136
76561198107237059,4133
76561198070647134,4121
76561198042170355,4102
76561198078138335,4096
76561198061365507,4091
76561198054772649,4061
76561198006893092,4052
76561198067386183,4045
76561198073837578,4018
76561198046134938,4015
76561198181921139,4001
76561198035963350,3991
76561198004278845,3964
76561198051987402,3958
76561198035644871,3951
76561198100210530,3946
76561198028699280,3930
76561197979552509,3916
76561198030091459,3908
76561198073647322,3890
76561198103357676,3883
76561198058124455,3882
76561197977615598,3881
76561198081148133,3879
76561198110146481,3869
76561198030129600,3863
76561198024557182,3863
76561198049043902,3856
76561198035366007,3854
76561198070005881,3848
76561198027455361,3841
76561198062718030,3838
76561198042778485,3822
76561197999570687,3815
76561197995163667,3805
76561198078390984,3798
76561198021307778,3782
76561198241723758,3771
76561198088397505,3758
76561198060546521,3756
76561197975296603,3740
76561198088599132,3739
76561198069552266,3699
76561198047567643,3691
76561198066988024,3685
76561198053567652,3674
76561198069542841,3667
76561198086149422,3650
76561198072873426,3636
76561198067030650,3633
76561198083123539,3601
76561198084686700,3577
76561198041445527,3560
76561197998610301,3555
76561198118965684,3553
76561198021923374,3541
76561198034630921,3538
76561197965278388,3521
76561198074623042,3512
76561198026059219,3505
76561198027455053,3499
76561198040893371,3495
76561198053325728,3483
76561198070092383,3479
76561198020933633,3472
76561198055609345,3448
76561198014129791,3441
76561198061981193,3436
76561197972956204,3434
76561198095439219,3418
76561198004673294,3414
76561198025536901,3414
76561198060777210,3372
76561198072862795,3367
76561198131002806,3365
76561198052928427,3349
76561197991288051,3344
76561198046423526,3334
76561197961465709,3330
76561198057743516,3322
76561198000529676,3314
76561198022221822,3313
76561198073576538,3291
76561198015686070,3289
76561198049132458,3280
76561198054935821,3274
76561198056352983,3268
76561198054932978,3262
76561198068140680,3253
76561198026057283,3252
76561198149605252,3251
76561198167207237,3240
76561198078245798,3232
76561198087519860,3203
76561198073120349,3188
76561198052466984,3181
76561198064619260,3170
76561198046118971,3167
76561198060772954,3159
76561198060654968,3139
76561198004819239,3131
76561198076726655,3125
76561197963549028,3124
76561198069758889,3113
76561198070087725,3110
76561198075194449,3110
76561197994831363,3100
76561198071431107,3097
76561198007060849,3091
76561198085092904,3077
76561198052858682,3073
76561198043112708,3073
76561198050543795,3067
76561198042163355,3064
76561198033536322,3061
76561198067777635,3056
76561197992223080,3046
76561198045218406,3037
76561198030322804,3028
76561198047821082,3026
76561197992790030,3022
76561198042772841,3006
76561198043898721,3003
76561198063620984,3000
76561197993679376,2992
76561197969534642,2984
76561198034567618,2983
76561198058111484,2962
76561198071029382,2960
76561198074117066,2956
76561198049320489,2956
76561197993725260,2932
76561198057950387,2925
76561198054511671,2918
76561198079896944,2900
76561198045852928,2900
76561198078493105,2889
76561198061784934,2888
76561197992074352,2885
76561198009989591,2877
76561198027488037,2876
76561198049812647,2875
76561198030306029,2870
76561198074505576,2869
76561198074221489,2857
76561198070930126,2840
76561198025496754,2837
76561198038592548,2836
76561198095345433,2834
76561197975513866,2834
76561198051237921,2821
76561198048139650,2819
76561198089300025,2807
76561198066992387,2806
76561198031891410,2805
76561197962929275,2803
76561197970937211,2801
76561198048259980,2795
76561197997588056,2783
76561198011533373,2781
76561198061846836,2771
76561198045972083,2771
76561198098171704,2750
76561198014834244,2741
76561197971128924,2741
76561198052504403,2736
76561198049514509,2732
76561198089469037,2725
76561198047542758,2722
76561198065606007,2717
76561198040496545,2713
76561198067724221,2712
76561198029571120,2703
76561198071635721,2698
76561198030863480,2698
76561198082260508,2693
76561198041963382,2690
76561198067219635,2690
76561198073457029,2687
76561197968515942,2687
76561198046446795,2679
76561198060396316,2678
76561198080466065,2673
76561198008508666,2660
76561198069543013,2656
76561197971919098,2655
76561198044031884,2653
76561198046186376,2642
76561198051159072,2641
76561198036810834,2641
76561198060176226,2639
76561198069686889,2638
76561198036409929,2634
76561198055974384,2630
76561198033257130,2628
76561198057747700,2623
76561198117186114,2610
76561198027254626,2610
76561198061730629,2610
76561198073255242,2606
76561198089082829,2599
76561198073000180,2595
76561198098640798,2589
76561198012246084,2577
76561197985576649,2572
76561197966648936,2572
76561197979383259,2572
76561198040149411,2570
76561198038179236,2570
76561198065377860,2564
76561197970323756,2560
76561197967081122,2560
76561198041993231,2549
76561198046710527,2545
76561197997380596,2542
76561198091361516,2541
76561197970708459,2536
76561198044002401,2532
76561198009205155,2528
76561198053477104,2528
76561197992005814,2525
76561198059753818,2518
76561198016458849,2510
76561197961124706,2504
76561198101648152,2500
76561198044411107,2495
76561198138691719,2492
76561198089629607,2484
76561198040393416,2477
76561198077110027,2476
76561198012749284,2473
76561198064995800,2472
76561197960279912,2469
76561198069340575,2469
76561197991071072,2468
76561198075003490,2466
76561198062396491,2465
76561198096157669,2463
76561197973131198,2463
76561198014722276,2449
76561198025242752,2446
76561198071418758,2441
76561198027553209,2441
76561198075208395,2440
76561198060764817,2435
76561198042248161,2433
76561198018872195,2431
76561197991182880,2429
76561198129749337,2421
76561198069616193,2421
76561198025198217,2421
76561197970525544,2419
76561198052303688,2414
76561197997464959,2414
76561197993727896,2408
76561197963219999,2403
76561198058452151,2398
76561198060808273,2397
76561198096246986,2393
76561198051854806,2387
76561198131276487,2387
76561198024790473,2386
76561198033277907,2385
76561197977030679,2383
76561198070361854,2383
76561198060068927,2368
76561198044077787,2366
76561198080021401,2361
76561198045212344,2351
76561198061849254,2349
76561198024189980,2349
76561198093157886,2345
76561198019582682,2330
76561198068145136,2330
76561198038837191,2328
76561198056572046,2322
76561198297906261,2320
76561198238911958,2319
76561198016475503,2307
76561198052705581,2303
76561198104448535,2300
76561198036783679,2293
76561197988698095,2293
76561198084527337,2291
76561198062633972,2286
76561197971401137,2273
76561198074225023,2271
76561198053772119,2269
76561198064015098,2261
76561198084492901,2260
76561198072544900,2258
76561198019737749,2258
76561198065775099,2257
76561198019040043,2255
76561198043611663,2251
76561198069009029,2244
76561198046921587,2241
76561198048596914,2238
76561198054250345,2237
76561198044060397,2236
76561198169703649,2233
76561198091758520,2231
76561198014910012,2230
76561197971180788,2229
76561198181829522,2229
76561198019968924,2224
76561198064503363,2224
76561198001304010,2223
76561198041676366,2223
76561198067315765,2221
76561197990023750,2219
76561198061177795,2211
76561198039989341,2210
76561197997792190,2205
76561198081340429,2205
76561198033774845,2204
76561198086317601,2204
76561198005401123,2192
76561198009397624,2191
76561198161244904,2182
76561198042178595,2177
76561198073214650,2177
76561198043210415,2176
76561198055224302,2174
76561198057009427,2173
76561198035564997,2165
76561198086903820,2163
76561198041553393,2157
76561198056010368,2155
76561198068866075,2149
76561198022347840,2147
76561197970021062,2144
76561198074396411,2141
76561198076829467,2140
76561198024378697,2140
76561198056546335,2138
76561198031729727,2137
76561198008608656,2132
76561198069181280,2128
76561198029771387,2127
76561198036810976,2119
76561198063598007,2117
76561198061505714,2116
76561197968167449,2115
76561197985389455,2112
76561197992006300,2112
76561198071970196,2108
76561198029207370,2106
76561198061657056,2105
76561198048071301,2105
76561198081355466,2105
76561197976198745,2101
76561198055817813,2100
76561198137818161,2099
76561198278508095,2093
76561198042019784,2089
76561198050614167,2078
76561198057134853,2077
76561198030328147,2077
76561198037334070,2075
76561198045883575,2071
76561198059853562,2070
76561198041882833,2057
76561197992364773,2053
76561198027517385,2052
76561198041045887,2046
76561198081786584,2037
76561198008791765,2036
76561197960870264,2035
76561198013395705,2034
76561197960467275,2034
76561198097766259,2032
76561198282960865,2032
76561198060343347,2032
76561198013187951,2031
76561198163904000,2030
76561198041823027,2028
76561198033467946,2028
76561197976313504,2025
76561198067511342,2024
76561198048070885,2021
76561198076031882,2021
76561198034468993,2018
76561198033986892,2012
76561197999630955,2010
76561198032786959,2007
76561198012279276,2003
76561198056504388,2003
76561198027041926,2002
76561198081972863,2000
76561197971372464,2000
76561198056755906,1999
76561198065438445,1997
76561198044127701,1993
76561198028444233,1988
76561198101679549,1988
76561198144362354,1985
76561198050039841,1984
76561198006532207,1984
76561198054280790,1981
76561197983575417,1980
76561197960269200,1978
76561198051518356,1974
76561198059318735,1970
76561198050452751,1969
76561197970692869,1966
76561198050497337,1965
76561198046442917,1964
76561198033387354,1963
76561198025116552,1962
76561198043275956,1957
76561198001764894,1956
76561197975867686,1955
76561197970643572,1954
76561198047695685,1952
76561198048053827,1950
76561198036217162,1949
76561198048708552,1942
76561197979597804,1941
76561198074227021,1941
76561197976603911,1940
76561198026368944,1938
76561198074431816,1938
76561198041206847,1937
76561198044583838,1937
76561198043946426,1936
76561198065941433,1936
76561197961524262,1935
76561198075746262,1931
76561198015511443,1927
76561198067088650,1923
76561197987482998,1922
76561198052487616,1918
76561198066769207,1914
76561198040694818,1910
76561198072831321,1910
76561197976043850,1910
76561198069066487,1909
76561198038741062,1902
76561198030608680,1901
76561198026531048,1901
76561198045492271,1896
76561197982894197,1894
76561198077267953,1893
76561198006987146,1888
76561198039431122,1883
76561197998700419,1882
76561198060085315,1881
76561198101470881,1877
76561198018552963,1876
76561198104084938,1874
76561198068420640,1873
76561198057105415,1871
76561198047255522,1868
76561198072069909,1868
76561197994367028,1867
76561198025723695,1865
76561198086621637,1862
76561198010651506,1860
76561197970535618,1859
76561198071716213,1856
76561198016514671,1856
76561198065071409,1854
76561197995456100,1853
76561198077898598,1852
76561198018539675,1852
76561198039615816,1852
76561198072071661,1851
76561198076348309,1851
76561198076341968,1850
76561198072472750,1850
76561198137563528,1841
76561198000554821,1839
76561198018065970,1839
76561198042875707,1838
76561198075915471,1837
76561198046151368,1831
76561198089638608,1831
76561198058833525,1828
76561198066112366,1827
76561198028647700,1826
76561197970564661,1826
76561198079079942,1826
76561198103654255,1826
76561198065725333,1822
76561198063105146,1822
76561198004584008,1811
76561198040385787,1809
76561197973114685,1809
76561198032466454,1808
76561198066584076,1803
76561198086848053,1803
76561198170477598,1799
76561198068225657,1799
76561198082230686,1798
76561198000190288,1798
76561197983457049,1796
76561197998873955,1796
76561198036463977,1794
76561198003436320,1791
76561198060550550,1790
76561198107732375,1790
76561198055325714,1788
76561198076902830,1786
76561198030458826,1786
76561197963554381,1785
76561198058536812,1784
76561198068196223,1784
76561198035732320,1781
76561198050781402,1780
76561198066525970,1778
76561198034312627,1777
76561197979969685,1775
76561198043401005,1771
76561197977547936,1768
76561197970735456,1768
76561198035476953,1768
76561198063642035,1765
76561198074056771,1763
76561198047659670,1760
76561198079549835,1759
76561198058624929,1757
76561198065430696,1755
76561198049851547,1754
76561198067079346,1750
76561198035146378,1749
76561198064979520,1747
76561198097097669,1747
76561198048557313,1742
76561198057970266,1741
76561198064315518,1740
76561198016006736,1733
76561198029816191,1732
76561198065210744,1730
76561198067884266,1730
76561197995788960,1727
76561198026251418,1727
76561198078510442,1727
76561198069279256,1726
76561198071845461,1726
76561198079603178,1722
76561198035515676,1721
76561197987245915,1721
76561198047630149,1719
76561198062552749,1718
76561198053244270,1717
76561198035363871,1716
76561198063137936,1713
76561197986307013,1712
76561197998124833,1708
76561197963455626,1705
76561198067354912,1702
76561198074927708,1696
76561198020745022,1695
76561197982807200,1694
76561198063474717,1694
76561197987746856,1693
76561198014704426,1689
76561198071433562,1688
76561198097794993,1687
76561198017332178,1682
76561198027517536,1682
76561198075725954,1681
76561198078126186,1679
76561198073471080,1678
76561198058562728,1678
76561198070197147,1677
76561198076811458,1677
76561197987436659,1674
76561198043497735,1674
76561198058225280,1674
76561198006845828,1672
76561198070644256,1671
76561198075141715,1671
76561198065410780,1671
76561198064992530,1670
76561198051582488,1670
76561198083901617,1670
76561197993678100,1668
76561198019392535,1667
76561198030739126,1666
76561198032269919,1666
76561198078595101,1666
76561198020283976,1665
76561198041842292,1663
76561198112402475,1663
76561198056156998,1661
76561198115099755,1659
76561198080354888,1656
76561198079357946,1656
76561198002076587,1654
76561198009177886,1654
76561198041121765,1654
76561198066779565,1653
76561198067657905,1653
76561198078685690,1651
76561198035705663,1649
76561198067624906,1642
76561197974290157,1641
76561198081280497,1640
76561198048934899,1639
76561198049213764,1635
76561198084667711,1633
76561198082829464,1631
76561198160316683,1631
76561198018684159,1630
76561198049620986,1628
76561198086773875,1628
76561198037664265,1627
76561198072004384,1625
76561198098373776,1622
76561198059463232,1620
76561198009365001,1620
76561198069122441,1619
76561198044958970,1618
76561198078834242,1617
76561198022962630,1616
76561198110608348,1616
76561198046456055,1615
76561198062266845,1612
76561198068006290,1612
76561197964092053,1611
76561198058730534,1609
76561198043051703,1606
76561198058009823,1603
76561198009850976,1602
76561198069854083,1602
76561198016599173,1601
76561198049969087,1598
76561198045291703,1598
76561198053136232,1597
76561198053614643,1596
76561198049370253,1594
76561198050092449,1594
76561198049650989,1589
76561198015961053,1588
76561198066515292,1585
76561198050733190,1583
76561198005099973,1582
76561197970580235,1580
76561197971859273,1580
76561198074763789,1579
76561198061641157,1578
76561198019434222,1576
76561198053081570,1576
76561198041946727,1575
76561198095044103,1575
76561198059604675,1574
76561197999723750,1573
76561198026497579,1572
76561198039506014,1570
76561198046448443,1567
76561198040452700,1567
76561198056361591,1566
76561198097903633,1565
76561198008105343,1562
76561198072892042,1562
76561198035579456,1562
76561198007703266,1562
76561198045767413,1562
76561198045392689,1561
76561198052513392,1560
76561198067329668,1558
76561198020371024,1552
76561198093083895,1552
76561198038603588,1552
76561198047408020,1550
76561198091657423,1549
76561198065431100,1548
76561198090345356,1547
76561198060316305,1547
76561198054602972,1546
76561198045613177,1544
76561198066830206,1543
76561198100311819,1542
76561197970496656,1538
76561198098840056,1536
76561198004208798,1536
76561198057521157,1536
76561198041965056,1535
76561198022675831,1535
76561198095756783,1534
76561197999616192,1533
76561198073679136,1532
76561198143334950,1531
76561198047588382,1531
76561198092300490,1529
76561198087978958,1529
76561198067695331,1529
76561198002874708,1528
76561198043123714,1527
76561198040892943,1526
76561197970147684,1525
76561198114969651,1525
76561198045506687,1525
76561198056059059,1525
76561198036169644,1520
76561198082644667,1520
76561198100990342,1519
76561198072793232,1519
76561198071752168,1517
76561197964050011,1516
76561198018586074,1515
76561198083389140,1513
76561198059785348,1512
76561198043050311,1509
76561198043463874,1508
76561198013162357,1508
76561198042410388,1507
76561198025747874,1504
76561198052503456,1497
76561198064151146,1496
76561198019106125,1496
76561198063132866,1495
76561197983123822,1495
76561198072119751,1494
76561198012334357,1493
76561197961607107,1493
76561198051387402,1492
76561198060852416,1491
76561198062566429,1491
76561198044219201,1490
76561198051018164,1488
76561198077029675,1487
76561197972482791,1487
76561198008503422,1487
76561198075938402,1486
76561198066017499,1486
76561198042952376,1483
76561198072500266,1480
76561198039229372,1477
76561198062232099,1476
76561198040152832,1476
76561198041327567,1476
76561198046656291,1474
76561198043460055,1473
76561198007321782,1473
76561198008302183,1472
76561198098404536,1472
76561198060484520,1472
76561198073406155,1472
76561198080606165,1470
76561198088199007,1469
76561198064148060,1466
76561198084999174,1464
76561198056638934,1463
76561198033018249,1462
76561198078403169,1462
76561198039050385,1460
76561198004245030,1459
76561198026492654,1457
76561198077764819,1456
76561198017569093,1455
76561198047822464,1454
76561198064635236,1453
76561198057397326,1451
76561198067906460,1451
76561198058807373,1450
76561198042925623,1450
76561198054292078,1447
76561198085750617,1447
76561198055530804,1447
76561198046218117,1447
76561198062507759,1445
76561198085352961,1445
76561197996233289,1444
76561198077391431,1444
76561198152535010,1444
76561198059637978,1441
76561197971189946,1441
76561198101976562,1441
76561198055405859,1439
76561198068727361,1438
76561197968606273,1436
76561198172394339,1434
76561198017918666,1426
76561197985335942,1426
76561198042997347,1426
76561198064358360,1425
76561198039288817,1423
76561198082023848,1421
76561198100807328,1417
76561198077883124,1416
76561198061289587,1416
76561198044027872,1415
76561198043122030,1413
76561198106622327,1413
76561197967174031,1412
76561198071963753,1409
76561198008503537,1406
76561198082904658,1404
76561198009006994,1403
76561197970266668,1403
76561198043532486,1399
76561197975349318,1398
76561198107946315,1398
76561197993366142,1398
76561198068595949,1397
