steam_id,playtime_forever
76561197995207074,1231384
76561198006944554,782250
76561198034699157,671603
76561198019093186,665688
76561198058230663,646309
76561198061797577,637122
76561198028314084,543072
76561198033995949,473131
76561198062232099,435797
76561198013828918,411352
76561198036460233,401440
76561198040690781,358316
76561198069839491,356796
76561198054840158,337511
76561197988832165,278871
76561198007282725,276356
76561197971328975,270061
76561198032466454,262838
76561198009938963,260940
76561198055783857,250871
76561197994047173,241671
76561198010348540,240187
76561197994136663,230316
76561198026468073,225816
76561198029584773,223080
76561198054680543,221420
76561198013858002,220066
76561198077285385,219105
76561197963293081,214346
76561198000537256,214114
76561198035685392,213743
76561198102767019,212427
76561197972452208,208997
76561197965929122,204435
76561198043766755,204333
76561198044588815,203135
76561198079254609,201168
76561198050414588,201160
76561198032289648,196959
76561198118965684,193693
76561198001518866,193155
76561198070585472,192305
76561198079518488,187622
76561198056359647,184849
76561198044378028,183076
76561198028458466,182283
76561198025067937,180905
76561198057083118,177681
76561198062580329,177046
76561198029968002,172650
76561198045475428,172520
76561198009171558,172171
76561198027784136,171238
76561198061230129,170416
76561198098418019,167688
76561198032091115,167072
76561197995897347,166485
76561198049216153,164454
76561198000951516,163241
76561198097902399,161309
76561198025342248,160728
76561198058907115,156889
76561198046386934,156253
76561198082538580,154623
76561197984814608,154394
76561198052200252,154079
76561197960572371,153844
76561197999429998,153551
76561198008335925,152456
76561198045475636,152008
76561198084127598,151803
76561198077923530,151799
76561198081845576,149717
76561198084544554,147826
76561198019019838,146881
76561198019669521,145915
76561198088687428,145436
76561198048151962,145362
76561198052095168,144857
76561198033145513,143643
76561198067570770,142627
76561198057784033,141404
76561198041669718,139862
76561198002480048,139192
76561198063916425,138981
76561197980039227,137418
76561198042422937,137159
76561198062471632,137126
76561198071116663,136657
76561198046656291,135569
76561198044920564,134698
76561198044613254,133936
76561198060797110,133483
76561198036480620,132769
76561198028319110,132218
76561198012422128,130355
76561198068463342,130217
76561197994102398,128048
76561198046851241,127223
76561198057677757,127110
76561198025107925,127101
76561198067426261,125909
76561197970148466,125743
76561198069683484,125734
