steam_id,playtime_forever
76561198034213146,184034
76561198015984056,182613
76561198065545068,169748
76561198028206815,157735
76561198104235208,152258
76561198068866981,149848
76561198063606127,146519
76561198065273523,139086
76561198067853837,138906
76561198070198955,138659
76561198023381231,134634
76561198084162760,134254
76561198036455045,127380
76561198055362268,126293
76561198042397874,125927
76561198110293299,121740
76561198044469428,118369
76561198035028050,115857
76561197971078579,115117
76561198031802317,114902
76561198054114739,114653
76561197967370851,114619
76561198078155249,114527
76561198080682662,113163
76561198079221656,112826
76561198026780542,112290
76561198018872195,111744
76561198075257303,110533
76561198013600577,110524
76561198076341968,106969
76561198073807760,106267
76561198025107925,105610
76561198085844107,105424
76561198056884446,104617
76561198058225280,104326
76561198092795650,102767
76561198054477174,101569
76561198079368486,101110
76561198038658133,98585
76561198103433951,97852
76561198076109663,96030
76561198007059171,94713
76561198070202465,94655
76561198058076485,93145
76561197961702279,93078
76561198063100139,92104
76561198082728934,91973
76561198028038497,90512
76561198072156176,90411
76561198063579807,90023
76561198038210954,89102
76561198064270809,88112
76561197999589729,88025
76561198072303486,87791
76561197996571918,87717
76561198079554497,87371
76561198081627902,87368
76561198023152575,87362
76561198004054009,87111
76561198046075914,86941
76561198015981146,86851
76561198107093846,86753
76561198064778508,86617
76561198074623049,86402
76561198059788719,85270
76561198035288538,84942
76561198007282725,84766
76561197983811335,84207
76561198019112245,83388
76561198054717171,83378
76561198032454585,82916
76561198093386811,82560
76561198066312344,82432
76561198030458826,82399
76561198028238732,82322
76561198045625036,81987
76561198100396147,81745
76561198074201721,81662
76561198049622887,81389
76561198043150229,81295
76561198040195593,81012
76561198073740972,80227
76561198088782238,80177
76561198074498345,80139
76561198062011594,79765
76561198059666810,79649
76561198089414638,78459
76561198081614767,77940
76561198084105682,77845
76561198050350425,77594
76561198027330526,77122
76561197971268422,77020
76561198091548792,76874
76561197966979423,76611
76561198108641918,75907
76561198057024856,75786
76561198028648062,75739
76561198047269494,75062
76561198036480620,74816
76561198064426384,74540
76561198075582003,73808
76561198046054296,73759
76561198032095045,73579
76561197960704921,73482
76561198052180785,73443
76561198020133414,73312
76561198062671986,73113
76561198053921822,72579
76561198053504025,72353
76561198058408063,71710
76561198045516933,71359
76561198041628266,71357
76561198050944421,70880
76561198049315551,70639
76561198044947819,70050
76561197967723333,69998
76561197989012314,69883
76561198035511780,69670
76561198043462574,68916
76561198035146378,67792
76561198037463290,67701
76561198043191126,66988
76561198034699157,66675
76561198050762093,66309
76561198057860256,66041
76561198015805496,66007
76561198089768176,65865
76561198095854524,65568
76561198020172098,65391
76561198060494794,65101
76561198015496188,64570
76561198060883085,64328
76561198023903387,64271
76561198001287522,64178
76561198024305714,63900
76561198061245815,63802
76561198082939654,63612
76561198047983861,63448
76561198055315689,63393
76561198088717021,63198
76561198045683118,63112
76561198073331366,63005
76561198054935821,62863
76561198008906995,62847
76561198044521862,62815
76561198040666913,62261
76561198087309780,62233
76561198056684843,61958
76561198012189478,61929
76561197986768437,61739
76561198155122205,61708
76561198072238824,61406
76561198059924258,61386
76561198099395042,61345
76561198061001172,61283
76561197963219424,61276
76561198065377860,61243
76561197995961075,61150
76561198071067193,61058
76561198016823310,60891
76561198046689666,60767
76561198068478836,60589
76561198063283911,60382
76561198055815900,60245
76561198090825490,59490
76561198035732452,59344
76561198016739624,59090
76561198073607481,58880
76561197991872030,58870
76561198081009511,58798
76561198047520506,58777
76561198045512049,58675
76561198049618390,58472
76561198053911081,58215
76561198072755767,57953
76561198089740832,57872
76561198036072279,57837
76561198022675831,57313
76561198084919247,57251
76561198054153326,56995
76561198075597491,56907
76561198082113132,56892
76561198050051190,56520
76561197995164445,56268
76561198035654499,56007
76561198038218194,55936
76561198105430566,55568
76561198057711253,55533
76561198121991182,55512
76561198048709626,55340
76561198070988262,55287
76561198059048922,55171
76561198053944505,55164
76561198095765519,55119
76561198028238414,54906
76561198064317610,54878
76561198066814585,54738
76561198023023045,54621
76561198090300952,54509
76561198026637434,54472
76561198075975771,54233
76561198068529848,53918
76561198089206723,53819
76561198057253097,53806
76561198080103160,53709
76561198089643196,53620
76561198161816648,53318
76561198065543620,53235
76561198059977575,53227
76561198023224558,53172
76561198073631588,52861
76561198091387316,52807
76561198014910012,52645
76561198046777861,52603
76561198007325684,52572
76561198055938832,52550
76561198045066111,52500
76561198084032274,52458
76561198059463232,52432
76561198033698382,52431
76561198007584361,52124
76561198058745121,52116
76561198076399353,51928
76561198046784240,51891
76561198059912962,51867
76561198077021858,51820
76561197987397827,51807
76561198181921139,51595
76561198096895795,51582
76561197971372464,51043
76561198034549116,50925
76561198057684308,50869
76561198101401653,50765
76561198046686444,50671
76561198089217829,50640
76561198068672506,50472
76561198045826163,50421
76561198101278301,50387
76561198040749643,50346
76561198045583398,50213
76561198056741844,50046
76561198070174799,50028
76561198096452766,49692
76561198022095288,49647
76561198009498722,49483
76561198051371875,49446
76561198065923342,49312
76561198061650250,49185
76561198054397103,49137
76561197977084867,49035
76561198046471704,48917
76561198039701203,48824
76561198093460252,48821
76561198054288702,48725
76561198044826630,48620
76561198027791423,48594
76561198062279802,48594
76561198065918324,48536
76561198077389047,48497
76561198001612399,48456
76561198045472893,48353
76561198017205526,48285
76561198044086839,48274
76561198077911827,48237
76561198093825306,48198
76561198086139632,48188
76561198039601082,48173
76561198067662523,48145
76561198088082495,47995
