steam_id,playtime_forever
76561198083612270,24664
76561198046783368,7954
76561198037720383,5445
76561198038879240,5343
76561198047756081,4550
76561198040188061,4501
76561198051336934,3941
76561198044861601,3111
76561198054606902,2368
76561198025614826,2084
76561198076228553,1953
76561198064339602,1750
76561198028042361,1733
76561198089967981,1697
76561198042376148,1669
76561198046357713,1649
76561198080601475,1647
76561198048936292,1566
76561198077531443,1518
76561198069603322,1497
76561198078743346,1375
76561197968287469,1354
76561198058887844,1330
76561198061419665,1308
76561198051957930,1302
76561198074156090,1242
76561198070844127,1240
76561198047485108,1057
76561198077557008,1022
76561198063629285,1016
76561198075458182,985
76561198047711462,981
76561198057591023,934
76561198097169936,932
76561198034711455,921
76561198062182044,886
76561198075206735,853
76561198083518792,837
76561198064572589,836
76561198069237515,826
76561198025500916,822
76561198004434645,800
76561198072517709,794
76561198078821738,758
76561198047584892,749
76561198045068310,745
76561198063959101,730
76561198085049871,727
76561198050051698,705
76561198049447026,698
76561198039900272,696
76561197993009150,689
76561198098157284,685
76561198043457895,660
76561197972473057,648
76561198043530022,635
76561198042987313,602
76561198068614009,585
76561198046135457,570
76561198031308903,562
76561197992729547,561
76561198058217502,547
76561198052845748,540
76561198059607422,532
76561198069905942,532
76561198033277907,524
76561198059932157,522
76561197995176045,518
76561198189501926,514
76561198071951119,508
76561197995169107,495
76561198070805372,486
76561198021019289,484
76561198009318462,483
76561198078381948,472
76561198092968810,472
76561198047115335,464
76561198075012648,463
76561198010095846,461
76561198069561067,434
76561198039047817,430
76561198005517355,423
76561198081172646,421
76561198080619885,420
76561198072531173,414
76561198062232099,414
76561198045161688,410
76561198048025672,406
76561198069036644,399
76561198070938718,397
76561198047188446,397
76561198003693532,391
76561197991677902,389
76561198053804006,382
76561198002560047,372
76561197975825297,371
76561198045389453,363
76561198015673544,356
76561198067475836,355
76561198045884541,354
76561198062039624,353
76561198074482800,342
76561198050557204,341
76561198104404617,339
76561198059752724,337
76561198053812972,336
76561198066203201,334
76561198098219771,331
76561198027868963,330
76561198018743551,320
76561197998204039,317
76561198068907374,316
76561197995142448,316
76561198050006497,305
76561198011433474,301
76561198082096463,293
76561198077597200,293
76561198041203356,292
76561198086045190,289
76561198062180678,287
76561198051748820,286
76561198096915543,284
76561198040097386,279
76561198060263985,278
76561197989360667,276
76561198067106876,273
76561198063267577,270
76561198000611049,267
76561198050354155,266
76561198069835803,261
76561198072453867,255
76561198084667711,255
76561198089378846,254
76561198091080817,251
76561198064959799,249
76561198050764330,249
76561198032627920,244
76561197994806874,241
76561198036245133,240
76561198027828967,240
76561198072020622,239
76561197976268368,238
76561197973055702,235
76561198057553528,234
76561198074113907,233
76561198063468866,231
76561198028509438,227
76561198080021911,221
76561197996524718,217
76561198048593808,216
76561198055750463,215
76561198116062531,213
76561197972143548,211
76561198004820900,209
76561198043008761,208
76561198034699157,208
76561198040343815,203
76561198076698338,203
76561198044880177,200
76561198063667771,200
76561198068831727,196
76561198056269279,195
76561198072242930,193
76561197986325120,192
76561198068472094,188
76561198011218089,186
76561198008592438,181
76561198069760265,180
76561198073061224,177
76561198041120051,174
76561198041281813,173
76561198075968863,173
76561198053949702,173
76561198059685697,169
76561198102767019,168
76561198062802544,167
76561197975369524,166
76561198038335264,166
76561198025198217,166
76561198044721977,164
76561197972904421,164
76561198026262549,163
76561198043784371,156
76561198023172776,154
76561198065725333,153
76561198041019706,152
76561198069746520,151
76561198063986589,149
76561198001486369,148
76561198052517002,148
76561198056536128,148
76561198042872735,147
76561198013790036,147
76561198067123853,147
76561198052118118,145
76561198046227105,142
76561198041359449,141
76561198068133128,140
76561198036745107,140
76561198085640669,137
76561198024826675,136
76561198080624228,135
76561198007705206,134
76561198011831269,134
76561198064199288,131
76561198044617836,130
76561198053985682,129
76561198080609032,129
76561198097808235,129
76561198059904339,129
76561198025198077,127
76561198070932015,126
76561198005580769,126
76561198045712111,122
76561197995146150,122
76561198094666642,120
76561198090768760,118
76561198025075751,115
76561198052182763,115
76561198057735047,113
76561198073039037,111
76561198053911081,111
76561198078212818,111
76561198043075106,110
76561198044436113,110
76561198049136740,108
76561198090047074,108
76561198026584251,108
76561198052928427,106
76561198076811524,106
76561198031109038,103
76561197983005707,103
76561198062577557,102
76561198063527700,101
76561198046511631,101
76561198044985469,100
76561198062544523,98
76561198029413476,98
76561198043948093,97
76561198055559566,97
76561198073697558,95
76561198077629133,95
76561197974374627,95
76561198058230663,94
76561198028866317,94
76561198028549775,94
76561198064161333,94
76561198029584773,93
76561198052903951,93
76561198095226109,92
76561197991699268,91
76561198025647301,90
76561198066178108,90
76561198005959944,89
76561198061803718,89
76561198063091321,89
76561198025394685,87
76561197991098498,87
76561198058138411,86
76561198032052459,85
76561197982424065,85
76561197966298550,84
76561197970347433,84
76561198044767296,80
76561198059307733,80
76561198049338296,80
76561198069410187,79
76561198090668943,78
76561198035893080,77
76561198053685392,77
76561198137356550,77
76561197986617937,77
76561198052268731,76
76561197962736283,75
76561198048412445,75
