steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,63277
76561198081786584,62113
76561198030769891,52524
76561198062737330,43948
76561198004311251,43390
76561198002380984,42667
76561198064692010,42659
76561198057982190,37270
76561197970758033,36103
76561198035202077,36088
76561198087466439,34231
76561197990880154,31471
76561198082325305,29518
76561198066892282,29475
76561198057998681,28942
76561198044738808,28054
76561198052029872,28017
76561198041784529,26781
76561198081026741,26195
76561198072653652,25266
76561198043909770,25026
76561198048588318,23444
76561198057220133,23108
76561198067674227,20604
76561198031840883,20123
76561198048526408,19782
76561198064622894,17857
76561198068156317,17057
76561198017140286,16510
76561198034523826,16243
76561197995146150,15820
76561198048708552,15773
76561197963549028,15449
76561197990451246,15370
76561198032794297,15111
76561198066968708,14977
76561198091646383,14974
76561197995850655,14828
76561198047821082,14768
76561198029681660,14588
76561198025536901,14460
76561198046118971,14456
76561198160559380,14102
76561198009846599,13979
76561198062313883,13950
76561198046864121,12466
76561198000345791,12314
76561198064395261,12193
76561198000740110,11805
76561197991572011,11511
76561198066272265,11460
76561198060601367,11454
76561197992280471,11180
76561198042649425,11150
76561198043068048,11040
76561197993871194,11027
76561198093768306,10996
76561198059017416,10977
76561198043028094,10893
76561197989691928,10573
76561198047470321,10559
76561198059318735,10514
76561198048313808,10494
76561197962775018,10482
76561198081340023,9845
76561198026308363,9783
76561198070005881,9714
76561198072029747,9595
76561198078913859,9518
76561198045707348,9440
76561198106878606,9350
76561198040091426,9342
76561197962929275,9204
76561198044652825,9077
76561198006994190,8973
76561198083084460,8971
76561198037521552,8918
76561198042065834,8887
76561198089123722,8878
76561198047701821,8742
76561198003772075,8613
76561198043530022,8558
76561198052737632,8477
76561197960798335,8115
76561198040150405,8097
76561198038995719,7952
76561198058742898,7937
76561197960888883,7769
76561198067997800,7616
76561198056211827,7566
76561198043505113,7556
76561198047065819,7542
76561198035814564,7537
76561198127849339,7466
76561198043909573,7409
76561198143334950,7382
76561198050613769,7278
76561198039119848,7259
76561198081715961,7138
76561198046186008,7129
76561197995725436,7071
76561198046664381,7008
76561198042022376,6908
76561198018151820,6907
76561198077370213,6899
76561198325096636,6865
76561198054209156,6795
76561198037810633,6745
76561198011739835,6733
76561198070335606,6641
76561198055775481,6560
76561198042148642,6555
76561198081299936,6506
76561197972880792,6320
76561198006142961,6289
76561198074477998,6239
76561198069840992,6192
76561198083598589,6100
76561198089153132,6040
76561197996403460,6018
76561198003428090,5975
76561197966936422,5970
76561197967174031,5966
76561198032474845,5947
76561198063421739,5904
76561197989113830,5874
76561198043423140,5752
76561198048427519,5674
76561198069552266,5655
76561198040233085,5632
76561198008608656,5609
76561198008342497,5510
76561198040099619,5465
76561198042856516,5165
76561198058124455,5024
76561197961465709,5018
76561198062908030,5014
76561198067453859,4976
76561198035571357,4970
76561197960568744,4954
76561198073069438,4950
76561198007150650,4897
76561198064117191,4894
76561198005620116,4840
76561198068431036,4824
76561198007060849,4752
76561198074505576,4737
76561198070484410,4677
76561198097574493,4642
76561198051718942,4641
76561198021923374,4565
76561198041445527,4543
76561198052415115,4520
76561197970564661,4506
76561198027553209,4480
76561197994608614,4434
76561198083375450,4366
76561198066797821,4353
76561198027477827,4330
76561198067276330,4317
76561198026012025,4288
76561198062566313,4273
76561197972261430,4216
76561198044747100,4204
76561198029571120,4202
76561198029532782,4193
76561198061177795,4183
76561198070009281,4155
76561198064979196,4143
76561198038477932,4140
76561197966648936,4128
76561198156591174,4122
76561198062539832,4047
76561198057747700,4046
76561198083947153,4019
76561198043001767,3972
76561198004278845,3964
76561198006267245,3946
76561198040657197,3937
76561198028699280,3930
76561198021307778,3914
76561198081148133,3879
76561198041229846,3855
76561197985576649,3836
76561198073837578,3793
76561198043504885,3789
76561198033628583,3773
76561198088397505,3758
76561198000587831,3743
76561198062225911,3733
76561198044143080,3651
76561198086149422,3650
76561197970660574,3578
76561198027185480,3544
76561197966878140,3542
76561197965278388,3521
76561198080601475,3520
76561198053325728,3483
76561198020933633,3472
76561198088679461,3416
76561197995207074,3406
76561198056277856,3393
76561198069351753,3340
76561197981240840,3319
76561198041473324,3315
76561198040694818,3296
76561198041669674,3292
76561198015686070,3289
76561198063051079,3275
76561198037009387,3274
76561198062552749,3268
76561198057970266,3248
76561198068140680,3231
76561198004791440,3224
76561198087519860,3203
76561198052466984,3181
76561198031628859,3180
76561198075194449,3110
76561198009318462,3092
76561198050551794,3065
76561198012683653,3055
76561198149605252,3053
76561198046783368,3033
76561198030768353,3012
76561198042772841,3006
76561197962028169,2971
76561197992618958,2970
76561198031692988,2962
76561198077917075,2960
76561198071029382,2960
76561198070062057,2943
76561198070092383,2932
76561198054511671,2918
76561198043898721,2917
76561197973131198,2891
76561197963219999,2876
76561198066671326,2871
76561198030306029,2870
76561198037334070,2861
76561198075003490,2822
76561198034839917,2818
76561198049531240,2808
76561198065327741,2787
76561198047524368,2773
76561198045266254,2769
76561198044634932,2768
76561198038487063,2757
76561198059707959,2752
76561198040530624,2742
76561198041134186,2740
76561198033807790,2716
76561198072862795,2702
76561198082260508,2693
76561198027306821,2687
76561198073457029,2687
76561198065446618,2649
76561198058507679,2643
76561198074912402,2632
76561198163904000,2614
76561198067452383,2611
76561198056536128,2601
76561198073000180,2595
76561198065278114,2575
76561197967081122,2560
76561197975296603,2552
76561198042019784,2550
76561198025496754,2534
76561198075300723,2513
76561198011920971,2511
76561198016458849,2510
76561198077583455,2496
76561197960279912,2469
76561197991071072,2468
76561198098840056,2467
76561198044600700,2447
76561198055372831,2444
76561198044939256,2441
76561198051957930,2435
76561198040393416,2435
76561197991182880,2429
76561198052504403,2418
76561198006206678,2381
76561198064148060,2373
76561198041881075,2348
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561198024633064,2283
76561198042802930,2281
76561197971401137,2273
76561198084492901,2260
76561197979552509,2258
76561198019737749,2258
76561198043611663,2251
76561198037745745,2231
76561198106866138,2195
76561198036736458,2190
76561198043210415,2176
76561198048596914,2170
76561198100668404,2154
76561198047756081,2140
76561198020233399,2130
76561198058111484,2123
76561198025720387,2111
76561197960269200,2109
76561198061657056,2105
76561198027110664,2102
76561198137818161,2099
76561198035067790,2080
76561198005778772,2076
76561198095005075,2073
76561198054206617,2060
76561198044508924,2060
76561198043176272,2045
76561198072004384,2032
76561198015460867,2028
76561197963894168,2024
76561198076219556,2021
76561198029280817,2018
76561198052031282,2015
76561197999630955,2010
76561198032786959,2007
76561197970708459,2006
76561197970735456,2005
76561198048007930,1986
76561197983575417,1980
76561198046442917,1964
76561198081355466,1951
76561198021712879,1949
76561197987482998,1922
76561197976043850,1910
76561198048934899,1908
76561198038741062,1902
76561198074736789,1896
76561198027585180,1893
76561198021997782,1889
76561198006987146,1888
76561198088423297,1874
76561198068420640,1873
76561198068231737,1871
76561197995409603,1839
76561198078381993,1834
76561198020583823,1833
76561197989725385,1830
76561198053858460,1830
76561198089967981,1826
76561198003436320,1791
76561198068196223,1784
76561198064899111,1783
76561198035732320,1781
76561198067106876,1779
76561198006532207,1775
76561198045591068,1772
76561198081340429,1771
76561198013254835,1763
76561198050509386,1748
76561198067972716,1738
76561198068614009,1732
76561198012517047,1731
76561198078510442,1727
76561198071845461,1726
76561198044411107,1704
76561198091912327,1701
76561198030458826,1701
76561198089939629,1692
76561198027517536,1682
76561198070197147,1677
76561198075141715,1671
76561198033143089,1670
76561198078595101,1666
76561198032269919,1666
76561197970266668,1656
76561198054543661,1656
76561198052723604,1636
76561198035705663,1612
76561198023314106,1606
76561198034277356,1600
76561198122105426,1597
76561198073197778,1592
76561198044594262,1590
76561198058217502,1589
76561198069410187,1585
76561198068442781,1583
76561198046448443,1567
76561198094946197,1566
76561198007703266,1562
76561198055530804,1562
76561198008105343,1562
76561198066830206,1543
76561198081298968,1541
76561198073679136,1532
76561198054281670,1532
76561198026497579,1527
76561198021358289,1525
76561198016215456,1521
76561198047241493,1519
76561198050191704,1516
76561198055491845,1494
76561198043415920,1486
76561198069089946,1480
76561198046456055,1476
76561198046656291,1474
76561198008302183,1472
76561198078751822,1455
76561198152535010,1444
76561198041647183,1443
76561197970550128,1442
76561198081509282,1435
76561198051093996,1433
76561198041676366,1428
76561197970323756,1421
76561198093076356,1417
76561198100807328,1417
76561198027254626,1413
76561198071963753,1409
76561198072533733,1407
76561198082904658,1404
76561198064339602,1397
76561198044556146,1395
76561198006671294,1391
76561198001518866,1391
76561197966713982,1386
76561197999240770,1382
76561198116062531,1364
76561198018986283,1356
76561198085878301,1355
76561197993655186,1353
76561198064270809,1346
76561198091080817,1329
76561198039606950,1321
76561198057125811,1311
76561198056314722,1301
76561198063591717,1298
76561198045472893,1296
76561198060082680,1296
76561197999140519,1295
76561198088661531,1293
76561197994367028,1289
76561198002076587,1289
76561198073147535,1278
76561198060517829,1267
76561198060068927,1261
76561198039431122,1261
76561197992014675,1259
76561198059685697,1255
76561198061846836,1254
76561198081599215,1252
76561198100782616,1251
76561198006735420,1249
76561198128825285,1241
76561198044345823,1240
76561198081409914,1233
76561198070647134,1230
76561198096766604,1228
76561197999005757,1225
76561198041966846,1225
76561197970535618,1221
76561198040530605,1219
76561198060804779,1218
76561198040914182,1209
76561198103535483,1203
76561198103242453,1188
76561198010271990,1187
76561198103433951,1186
76561198020061745,1183
76561198020847525,1183
76561198030943511,1180
76561198036783679,1180
76561198062652310,1174
76561197998610301,1168
76561198049223407,1164
76561198095217647,1163
76561198000149660,1157
76561198041206847,1148
76561198062180678,1139
76561198070868930,1135
76561198083448456,1134
76561198042675136,1134
76561198043460055,1134
76561198022879865,1133
76561198008026450,1125
76561198044617836,1120
76561198069402461,1117
76561198081260674,1116
76561198068133128,1109
76561197992991719,1107
76561198056094033,1104
76561198065273523,1102
76561198084703989,1100
76561198042163355,1099
76561198073990852,1098
76561198059879916,1088
