steam_id,playtime_forever
76561198018684159,1630
76561197995214384,1207
76561198084332433,1137
76561198063197045,1121
76561198035362505,1114
76561198027455053,994
76561198020293591,991
76561198040840183,879
76561197970833805,860
76561198012083219,808
76561198036463977,798
76561198016684317,734
76561198041276866,727
76561198060772954,723
76561198017065630,705
76561198092572735,704
76561197966492391,649
76561198005400196,623
76561198000611049,618
76561198089349493,606
76561198064723833,561
76561198037702238,548
76561198050547019,509
76561198004305441,503
76561198035708866,494
76561198138390863,478
76561198046783368,470
76561198004821435,441
76561198009713159,419
76561198075493248,417
76561198037666329,412
76561198012715042,411
76561198023903387,398
76561197966587792,392
76561198102767019,379
76561198062232099,377
76561198060840926,375
76561197995163667,369
76561198018504243,359
76561198010776633,354
76561198024281595,349
76561198034283435,341
76561198025116552,338
76561198124547695,335
76561198043785241,334
76561198075427390,330
76561198004438825,322
76561198087066156,321
76561197974961641,312
76561198044015247,308
76561198003167470,306
76561197988698095,305
76561197987713658,304
76561198040258534,299
76561198005738944,292
76561197989728414,287
76561198067219635,280
76561198000537256,280
76561198001518866,275
76561198021307778,265
76561198040199371,264
76561198056642300,260
76561198036617399,253
76561197988411069,249
76561198093983570,247
76561198002991140,242
76561198014903931,239
76561198031622365,234
76561198007082354,231
76561198013018363,223
76561197994361919,215
76561198040183690,213
76561198045663973,208
76561198046976160,207
76561198007106092,207
76561197970532578,201
76561198064433302,200
76561197984271449,198
76561198063757455,196
76561197975369524,182
76561198048151962,182
76561198082418196,178
76561198073528092,177
76561198085441225,174
76561197995689879,172
76561198033923602,170
76561198043710489,169
76561198048023918,168
76561198094235068,166
76561197995897533,166
76561198013342495,162
76561197970688619,161
76561197970537259,159
76561197991677902,157
76561198055555174,157
76561198032587130,153
76561198042068202,153
76561198053963927,152
76561198044920564,152
76561198055650433,151
76561197969599867,148
76561197993438628,144
76561198043226468,141
76561198029771387,139
76561198053287939,137
76561198035137062,134
76561197992346511,133
76561198042170355,132
76561198015519192,129
76561197997588056,127
76561198093379651,125
76561198119472780,124
76561197992236665,122
76561198042606287,121
76561198042564906,119
76561198064247698,115
76561198058546299,115
76561198078503419,114
76561197967427519,113
76561198007806496,112
76561198009720869,111
