steam_id,playtime_forever
76561198057288584,11845
76561198076726655,2929
76561198034699157,1019
76561198000537256,285
76561197988411069,256
76561198035864385,233
76561197961008672,231
76561198041276866,203
76561198038472856,194
76561198102767019,165
76561198050762093,161
76561198028458466,120
76561198070346058,90
76561198077456256,87
76561198067468808,80
76561198051567151,78
76561198070497067,72
76561198127172904,72
76561198073676219,72
76561198060867138,61
76561198067786754,61
76561198034235779,49
76561198040183690,47
76561198035893080,46
76561198035901114,35
76561198067647657,34
76561198100363036,34
76561198028703733,33
76561198094082112,28
76561198061310188,28
76561198058160377,26
76561198068210781,25
76561198046478148,20
76561198039695492,20
76561198057146794,19
76561198026599584,18
76561198050689528,16
76561198038513348,16
76561198085888315,16
76561198042569827,12
76561198074377328,11
76561198029274175,9
76561198063667771,7
76561198059604675,7
76561198062671986,6
76561198040534215,6
76561198051451224,5
76561198048350311,4
76561197977525575,4
76561198088643023,3
76561198045101290,3
76561198076019258,3
76561198064936176,3
76561198112547239,3
76561198042148866,2
76561198158147651,2
76561198065703606,2
76561198064383295,2
76561197993317329,1
76561198032745004,1
76561198018197690,1
76561197991699268,0
76561198090668943,0
76561198095682360,0
76561198150949867,0
76561198095049646,0
76561197996460889,0
76561197992301667,0
76561198057583546,0
76561198011533373,0
76561198026409973,0
76561198028206815,0
76561198042070956,0
76561198044154394,0
76561198044920564,0
76561198048151962,0
76561198064875290,0
76561198074381810,0
