steam_id,playtime_forever
76561198056277856,168314
76561198042966858,135765
76561198035718256,115102
76561198042237966,105617
76561197998660875,79237
76561198044238932,75240
76561198068092525,74389
76561198044283501,67897
76561197987065774,64712
76561198018188350,62396
76561198045222792,50744
76561198058007906,46976
76561198044591394,46876
76561198050296173,43320
76561198063899231,42126
76561198069670336,41256
76561197970582291,40925
76561198081164897,38491
76561198097172610,38125
76561198074766231,37926
76561198045583398,30686
76561198065725333,30654
76561198049279838,29781
76561198007165405,27826
76561198069145498,26042
76561198041624506,26021
76561198048914936,23234
76561198070164022,22618
76561198029406440,21885
76561198070333683,21680
76561198067096180,20264
76561198063361762,20004
76561198012909706,18779
76561198037964734,18033
76561198064708436,17732
76561198033993807,17376
76561198064713198,17295
76561198053619760,17219
76561198060468645,16665
76561198054200662,16609
76561198067053329,16526
76561197976370569,15099
76561198068106044,14904
76561198064822652,14628
76561198014947498,14584
76561198026008283,14560
76561198083656678,14556
76561198092968810,13875
76561197994047173,13733
76561198080609032,13453
76561198027455361,13325
76561198011533373,13099
76561198061175850,13090
76561198052593567,13077
76561198045790068,12758
76561198075405059,12719
76561197997213967,12522
76561198057172451,12452
76561198053382774,12174
76561198079113109,12094
76561198066185335,11721
76561198028889602,11582
76561198062326873,11449
76561198019905604,10905
76561198085234559,10826
76561198033992409,10518
76561198063644848,10408
76561198089561967,10123
76561198046767905,10091
76561198040660567,10050
76561198069334653,9978
76561198009743781,9930
76561198073046687,9925
76561198053230995,9910
76561198015326274,9884
76561198051253857,9852
76561198081478781,9711
76561198079694867,9555
76561198070817727,9480
76561197996884569,9462
76561198033824559,9389
76561198034392042,9386
76561198063401601,9376
76561198053859011,9235
76561198097215277,8948
76561197969049193,8947
76561198045897764,8903
76561198072402565,8777
76561198045765147,8772
76561198084763741,8657
76561198054566872,8633
76561198076034868,8620
76561198068629778,8543
76561198054763421,8405
76561198072745658,8404
76561198067146401,8376
76561198067860045,8324
76561198057602123,8323
76561198065438445,8241
76561198050953564,8005
76561198008728411,7915
76561198065879826,7775
