steam_id,playtime_forever
76561198034699157,76180
76561198022226815,67434
76561198094455101,58548
76561197993631180,54516
76561198052504403,50532
76561198013368753,49343
76561197993591260,41333
76561197966979423,39243
76561198039631435,36608
76561197972303841,35283
76561198042770842,33932
76561197994490118,33760
76561198045506845,33626
76561198022666487,33518
76561197992785026,32130
76561198045124565,31903
76561198016458849,31401
76561197966298550,30246
76561197971857001,29967
76561197990340465,29961
76561198073120349,29540
76561198040710605,28688
76561198061505714,28567
76561198001743414,27064
76561198000554821,26460
76561198088807138,25810
76561198047821070,24469
76561197977251065,23511
76561198026308363,23316
76561197995495679,22760
76561198054131489,22654
76561198082939654,21820
76561198025313381,19959
76561198060969570,19896
76561198054752011,19369
76561198051092954,19122
76561197994380497,18700
76561198058826879,18535
76561198077210007,18451
76561198068494125,18103
76561198033387354,17993
76561198039694296,17808
76561198100129112,17734
76561198061567619,17700
76561198050051190,17441
76561198054613028,16536
76561197997530856,16531
76561198011533373,16217
76561198083375450,16133
76561198025266324,16070
76561197970775891,15969
76561198067686885,15566
76561197998219184,15460
76561198056735088,15211
76561198051511620,15137
76561198060146226,14881
76561198076219556,14837
76561198023745309,14771
76561197967664049,14167
76561197995725436,14099
76561197985990065,14044
76561198041581278,14013
76561198073725443,13999
76561197962736283,13917
76561198043637538,13779
76561197970535832,13549
76561198046802717,13541
76561198062328993,13524
76561198037750323,13457
76561198084679366,13412
76561198011431696,13347
76561198030245280,13341
76561198025107925,13227
76561197996033933,12965
76561197972296753,12838
76561198032558761,12732
76561197991092850,12715
76561198001368533,12682
76561198060656659,12635
76561198089041882,12612
76561198056774386,12594
76561198074333465,12577
76561198065231196,12453
76561198054149292,12335
76561198047646794,12259
76561198075993539,12240
76561198027455361,12224
76561197976984468,12166
76561197986916169,12145
76561198023287837,12101
76561198040363988,12074
76561198026336033,12049
76561198028592267,12017
76561198044027541,12008
76561198058887844,11975
76561198015164767,11947
76561198018586074,11887
76561197969311825,11799
76561198035594384,11796
76561197995207074,11526
76561198024890098,11495
76561198056102052,11480
76561197960468196,11350
76561198065491382,11282
76561197992344717,11112
76561198043068048,11040
76561198025743515,11019
76561198012135937,10999
76561198036745107,10987
76561198015339516,10815
76561198019437162,10811
76561198030943511,10643
76561198059969805,10635
76561198072976420,10544
76561198038951129,10534
76561198053000587,10515
76561198034215738,10372
76561197976313504,10369
76561198044138438,10354
76561197998061835,10315
76561198057049076,10314
76561197995483380,10285
76561197993871194,10215
76561197963469414,10143
76561198042410388,10068
76561198075827113,10025
76561198010620108,10020
76561198077437930,9949
76561198029595343,9918
76561198055926956,9846
76561198071057875,9804
76561198056277856,9785
76561198093768306,9751
76561198025392861,9734
76561198075420829,9569
76561198001808821,9561
76561198032651953,9542
76561197990895276,9477
76561198033429149,9443
76561198066312344,9415
76561198040060741,9413
76561198053471515,9411
76561197972797551,9368
76561198026461734,9361
76561197993705230,9091
76561197986715883,9074
76561198001917486,9055
76561198063861019,9033
76561197997131727,8966
76561197995164445,8935
76561197993128335,8829
76561198072751883,8809
76561198071635721,8768
76561198043003447,8730
76561197989039660,8649
76561198080506389,8613
76561198035809740,8599
76561198043897246,8501
76561198088971013,8430
76561198052029872,8354
76561197963395264,8341
76561198045792460,8341
76561198075396291,8335
76561197996890146,8267
76561198093792908,8249
76561197969731516,8162
76561198007306685,8137
76561198050363268,8114
76561198057471883,8104
