steam_id,playtime_forever
76561198042232735,163777
76561198153677465,14241
76561198086370065,4983
76561198087035615,3833
76561198045157018,3147
76561198050953564,2769
76561198068349388,2572
76561198091250895,2532
76561198074431816,2255
76561198091698759,2075
76561198053138682,1852
76561198077995526,1778
76561198027246196,1481
76561198078926048,1342
76561198007381658,1339
76561198058288268,1315
76561198058127508,1309
76561198074489228,1307
76561198048813790,1279
76561198043780602,1210
76561198064016444,1209
76561198051630491,1200
76561197985990065,1188
76561198066976451,1161
76561198042106600,1159
76561198041680179,1113
76561198095682360,1088
76561197977521239,1021
76561198026953499,1007
76561197999155279,973
76561198084055732,938
76561198102767019,929
76561198062033570,919
76561198059601408,891
76561198040575571,881
76561198029682828,874
76561198051564385,865
76561197966463205,825
76561198051672637,823
76561198058538165,818
76561198121874542,796
76561198070343640,774
76561198094997873,771
76561198024918862,766
76561198045189195,757
76561198079367990,757
76561197998582062,754
76561198067651625,741
76561198021710291,741
76561198090360151,736
76561198009876209,727
76561198017950800,723
76561197960426564,721
76561198064991576,709
76561198012716020,703
76561198088617152,695
76561198040534215,691
76561198050762093,689
76561198082863854,677
76561198087998206,670
76561198010492394,662
76561197990408423,657
76561198102227860,657
76561198001897941,653
76561198055809494,651
76561198020054096,643
76561198036861500,627
76561198095439219,624
76561198052031445,622
76561198076770532,609
76561198051436114,598
76561198061373543,588
76561198054273679,582
76561198102708012,565
76561198093962900,565
76561198116289508,563
76561198048432706,550
76561197997511531,547
76561198030535829,544
76561198037079813,533
76561198000776667,528
76561198069487879,526
76561198082316461,524
76561198031285814,521
76561198025544153,521
76561198057602123,517
76561197976503095,515
76561197975889289,513
76561197986184354,512
76561198065967994,507
76561198028206815,506
76561198077362529,503
76561198088651687,500
76561198107709219,498
76561198071379709,495
76561198077024096,494
76561198049922564,492
76561198033156200,481
76561198045562241,478
76561198066042664,475
76561198067408882,472
76561198030245280,466
76561198032467923,461
76561197963638240,460
76561198089400137,460
76561198078568599,457
76561198045453273,455
76561198059607422,455
76561198043797595,447
76561198041124505,446
76561198073232001,444
76561198056770012,439
76561198000951516,437
76561198081460083,436
76561198084328907,435
76561198024555488,433
76561198062770980,432
76561198043166695,431
76561198038477500,427
76561198059305743,423
76561198049122110,421
76561198058375337,420
76561198057638244,420
76561198055104725,419
76561198102211800,418
76561197967514845,417
76561198018301514,414
76561197971857001,410
76561198051472017,409
76561198025281122,409
76561198061390941,408
76561198038289041,405
76561198070845184,401
76561197992140628,396
76561198066277328,396
76561197988419900,395
76561198061289587,391
76561198084841190,390
76561198017436335,390
76561197998374531,390
76561198066170298,390
76561198023608093,389
76561198055519677,386
76561197960799921,385
76561198041281407,383
76561198058532444,377
76561198100436187,377
76561198063661942,374
76561198053968179,373
76561198080980901,373
76561198025793281,371
76561198088785660,371
76561198065839605,370
