steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,65930
76561198081786584,62113
76561198030769891,56147
76561198062737330,51185
76561198064692010,45093
76561198004311251,43701
76561198002380984,42667
76561198074505576,41990
76561198057982190,40475
76561197970758033,37672
76561198035202077,36088
76561198052029872,34853
76561198087466439,34272
76561198026308363,33099
76561197990880154,33069
76561197995850655,30734
76561198082325305,29518
76561198066892282,29475
76561198057998681,28942
76561198081026741,28482
76561198044738808,28054
76561198048588318,27318
76561198041784529,26781
76561198072653652,25266
76561198043909770,25026
76561198057220133,23108
76561198048526408,22765
76561197995725436,21170
76561198067674227,20604
76561198083375450,20499
76561198031840883,20123
76561198064622894,19606
76561198048708552,18592
76561198047821082,17619
76561198068156317,17057
76561198017140286,16510
76561198034523826,16243
76561198042649425,16146
76561197963549028,15509
76561197990451246,15370
76561198032794297,15111
76561198066968708,14977
76561198091646383,14974
76561198029681660,14588
76561198066272265,14546
76561198009846599,14508
76561198025536901,14460
76561198046118971,14456
76561198160559380,14102
76561198062313883,13863
76561197993871194,13254
76561198059017416,13206
76561198001368533,12748
76561198046864121,12466
76561198000345791,12314
76561198070335606,12250
76561198064395261,12193
76561197991572011,11976
76561198000740110,11805
76561197962775018,11561
76561198060601367,11454
76561198093768306,11237
76561197992280471,11181
76561198070005881,11150
76561198042065834,11018
76561198043028094,10893
76561198003772075,10833
76561197989691928,10573
76561198047470321,10559
76561198059318735,10514
76561198048313808,10494
76561198014951202,10032
76561198006267245,10023
76561197962929275,9917
76561198081340023,9845
76561198072029747,9595
76561198078913859,9518
76561198045707348,9440
76561198106878606,9350
76561198040091426,9342
76561198035814564,9236
76561198042148642,9217
76561198043505113,9210
76561198127849339,9191
76561198044652825,9077
76561198006994190,8973
76561198083084460,8971
76561198037521552,8918
76561198058124455,8906
76561198089123722,8878
76561198043530022,8761
76561198047701821,8742
76561198052737632,8477
76561198050613769,8466
76561197960798335,8446
76561198055775481,8216
76561198056211827,8211
76561198040150405,8132
76561198038995719,7952
76561198058742898,7937
76561198067997800,7935
76561197960888883,7934
76561198055373462,7625
76561198047065819,7542
76561198043909573,7409
76561198143334950,7382
76561197972261430,7375
76561198039119848,7259
76561198086298637,7151
76561198081715961,7138
76561198046186008,7129
76561198037810633,7018
76561198046664381,7008
76561198080696168,6912
76561198042022376,6908
76561198077370213,6899
76561198325096636,6865
76561198054209156,6795
76561197966936422,6736
76561198011739835,6733
76561198083598589,6718
76561197989192658,6447
76561198040099619,6432
76561198059424139,6422
76561197967174031,6390
76561197969418604,6337
76561198043423140,6325
76561197972880792,6320
76561198006142961,6289
76561198032474845,6271
76561197995207074,6258
76561198074477998,6239
76561198007150650,6202
76561198069840992,6192
76561198042802930,6183
76561198073837578,6088
76561198089153132,6040
76561197996403460,6018
76561198003428090,5975
76561197981448997,5970
76561198063421739,5904
76561197967527221,5847
76561197989113830,5827
76561198062908030,5773
76561198048427519,5674
76561198069552266,5655
76561198008608656,5609
76561198057747700,5597
76561198040233085,5587
76561198007060849,5534
76561198008342497,5510
76561197961465709,5449
76561198056277856,5429
76561198044425019,5298
76561197965127789,5240
76561198042856516,5165
76561198067276330,5020
76561198067453859,4976
76561198035571357,4970
76561197960568744,4954
76561198073069438,4950
76561198041445527,4930
76561198064117191,4894
76561198041059722,4876
76561198005620116,4840
76561198068431036,4824
76561198021923374,4736
76561198070484410,4677
76561198097574493,4642
76561198051718942,4641
76561198066312344,4616
76561198076542620,4563
76561198023314106,4547
76561198052415115,4520
76561198027553209,4489
76561197970564661,4441
76561197994608614,4434
76561198000587831,4413
76561197992618958,4399
76561198078317972,4386
76561198066797821,4353
76561198043504885,4345
76561198053336377,4308
76561198026012025,4288
76561198062566313,4273
76561197966648936,4258
76561198021307778,4222
76561198044747100,4204
76561198027185480,4196
76561198061177795,4183
76561198064979196,4173
76561198070009281,4155
76561198044143080,4143
76561198038477932,4140
76561198072862795,4139
76561198156591174,4122
76561197992223080,4057
76561198062539832,4047
76561198033628583,4028
76561198083947153,4019
76561197966878140,3977
76561198043001767,3972
76561198004278845,3964
76561198040657197,3937
76561198028699280,3930
76561198062552749,3890
76561198081148133,3879
76561198029571120,3856
76561198041229846,3855
76561197985576649,3823
76561197970735456,3773
76561198088397505,3758
76561197975296603,3740
76561198062225911,3733
76561198053567652,3674
76561198030768353,3660
76561198037009387,3652
76561198041676366,3651
76561198086149422,3650
76561198057970266,3616
76561198043898721,3599
76561197970660574,3578
76561198084686700,3577
76561198044508924,3572
76561198048934899,3547
76561197965278388,3521
76561198070647134,3499
76561198070092383,3479
76561198020933633,3472
76561198055609345,3448
76561197972956204,3434
76561198060777210,3427
76561198088679461,3416
76561198000529676,3360
76561198069351753,3340
76561198041473324,3337
76561197981240840,3319
76561198040694818,3296
76561198041669674,3292
76561198015686070,3289
76561198063051079,3263
76561198053325728,3263
76561198149605252,3251
76561197979552509,3247
76561198078245798,3232
76561198059707959,3230
76561198004791440,3224
76561198006735420,3192
76561198052466984,3181
76561198031628859,3180
76561197963219999,3178
76561198037334070,3171
76561198025720387,3168
76561197962028169,3140
76561198118965684,3136
76561198075194449,3110
76561198012683653,3100
76561198077917075,3080
76561198050543795,3067
76561198050551794,3065
76561198025496754,3049
76561197992790030,3022
76561198042772841,3006
76561198031692988,2962
76561198070062057,2943
76561198060546521,2935
76561198054511671,2918
76561197973131198,2891
76561198034567618,2877
76561198049812647,2875
76561198066671326,2871
76561198030306029,2870
76561197973942698,2866
76561197975513866,2834
76561198075003490,2822
76561198034839917,2818
76561198106866138,2808
76561198049531240,2808
76561198033807790,2790
76561197994831363,2776
76561198047524368,2773
76561198044634932,2768
76561198038487063,2757
76561198041134186,2740
76561198045266254,2721
76561198117186114,2696
76561198027306821,2687
76561198073457029,2687
76561198091912327,2681
76561198024633064,2678
76561198065446618,2649
76561198058507679,2643
76561198051159072,2641
76561198074912402,2632
76561198163904000,2614
76561198073000180,2595
76561198060068927,2592
76561198038837191,2589
76561198065278114,2575
76561198042019784,2550
76561198041993231,2549
76561198042163355,2545
76561198046710527,2545
76561197970708459,2537
76561198075300723,2513
76561198011920971,2511
76561198016458849,2510
76561197967081122,2500
76561198044411107,2495
76561198029207370,2495
76561197960279912,2469
76561197991071072,2468
76561198069616193,2456
76561198044600700,2447
76561198055372831,2444
76561198044939256,2441
76561198040393416,2435
76561197991182880,2429
76561198077583455,2418
76561198067452383,2402
76561198006206678,2381
76561198064148060,2368
76561198041881075,2348
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561197971128924,2284
76561198005778772,2283
76561197971401137,2273
76561198019737749,2258
76561198091758520,2231
76561198037745745,2231
76561198100782616,2230
76561198081340429,2205
76561198052031282,2193
76561198036736458,2190
76561198053858460,2186
76561198048596914,2170
76561198039050385,2156
76561198100668404,2154
76561198072831321,2148
76561198006532207,2146
76561198020233399,2130
76561198058111484,2123
76561197999005757,2111
76561197960269200,2109
76561198061657056,2105
76561198018872195,2103
76561198027110664,2102
76561197999240770,2102
76561198137818161,2099
76561198095005075,2073
76561198054206617,2060
76561197992364773,2053
76561198035067790,2045
76561198010271990,2041
76561197960870264,2035
76561198072004384,2032
76561198015460867,2028
76561197963894168,2024
76561198076219556,2021
76561198056314722,2013
76561197999630955,2010
76561198032786959,2007
76561198052504403,2002
76561198048007930,1986
76561198026057283,1982
76561198051518356,1974
76561198043176272,1973
76561198029280817,1970
76561198046442917,1964
76561198081355466,1951
76561198048053827,1950
76561198021712879,1949
76561197961524262,1935
76561197987482998,1922
76561198021358289,1921
76561197976043850,1910
76561198038741062,1902
76561198074227021,1899
76561198074736789,1897
76561198027585180,1893
76561198021997782,1889
76561198006987146,1889
76561198088423297,1874
76561198057105415,1871
76561198068231737,1871
76561198065273523,1863
76561198033277907,1859
76561198018539675,1852
76561198068420640,1848
76561197995409603,1839
76561197970535618,1837
76561198020583823,1833
76561197989725385,1830
76561198004584008,1811
76561197970937211,1798
76561198003436320,1791
76561198068196223,1784
76561198064899111,1783
76561198063642035,1765
76561198013254835,1763
76561198074056771,1763
76561198058624929,1757
76561198033143089,1757
76561198050509386,1748
76561198067972716,1738
76561198012517047,1731
76561198078510442,1727
76561198071845461,1726
76561198035515676,1721
76561198035363871,1716
76561197998610301,1707
76561198030458826,1701
76561198020745022,1695
76561198001518866,1692
76561198071635721,1690
76561198043497735,1674
76561198075141715,1671
76561198078595101,1666
76561198032269919,1666
76561198018986283,1665
76561197970266668,1656
76561198009177886,1654
76561198049213764,1644
76561198049223407,1621
76561197970323756,1618
76561198110608348,1616
76561198034277356,1600
76561198045291703,1598
76561198054543661,1594
76561197970550128,1592
76561198073197778,1592
76561198044594262,1590
76561198068442781,1583
76561198094946197,1566
76561198007703266,1562
76561198055530804,1562
76561198065431100,1548
76561198073679136,1532
76561198054281670,1532
76561198026497579,1527
76561198045506687,1525
76561198050191704,1516
76561198052503456,1497
76561198043415920,1486
76561197992074352,1481
76561198069089946,1480
76561198008302183,1472
76561198046456055,1470
76561198041647183,1443
76561198051093996,1433
76561198093076356,1417
76561198027254626,1413
76561198071963753,1409
76561198039229372,1401
76561197966298550,1388
76561197966713982,1386
76561198056194879,1381
76561197982647299,1366
76561198080354888,1357
76561198085878301,1355
76561197993655186,1353
76561198064270809,1346
76561198033467946,1341
76561198006310538,1328
76561198061846836,1321
76561198070205647,1305
76561198063591717,1298
76561198044948113,1298
76561198045472893,1296
76561198060082680,1296
76561198107409283,1295
76561198088661531,1293
76561198002076587,1289
76561198073147535,1278
76561197988978706,1270
76561198060517829,1267
76561197965204925,1262
76561198044304918,1262
76561198058807373,1260
76561197992014675,1259
76561198066830206,1256
76561198081599215,1252
76561198071000902,1247
76561197967272400,1241
76561198044345823,1240
76561198047628185,1238
76561198081409914,1233
76561198039431122,1232
76561198067329668,1231
76561198096766604,1228
