steam_id,playtime_forever
76561197978756659,316969
76561198013018363,277044
76561198074971185,249675
76561198029584773,216042
76561197965966319,194166
76561198123168383,191263
76561198120814021,185763
76561197998612669,183722
76561198039817744,183601
76561198051911068,166810
76561198081938549,155010
76561198098426469,154150
76561198076478927,139693
76561198104882368,137633
76561198056640962,132876
76561198006894551,132192
76561198036141506,131949
76561198035602276,129577
76561198072155632,125616
76561198096678177,125266
76561198089848099,121759
76561198139551265,120942
76561198137684973,120133
76561197997793014,119841
76561198085167128,119737
76561198062395806,117354
76561198065880238,116849
76561198070731374,115525
76561198058536640,114319
76561198080958798,109300
76561198001595720,108794
76561197995195311,108445
76561198064710856,107249
76561198019973356,105914
76561197962403792,105306
76561198062276935,105182
76561198063067690,104431
76561198049440934,103253
76561198086476823,100994
76561198036413005,100318
76561198056369995,100134
76561197996008211,99955
76561198064619260,97712
76561198139943436,97546
76561198031162093,97522
76561198015160594,96786
76561198003275312,95977
76561198064152834,94283
76561198041877981,94154
76561198043028094,92864
76561198073326662,92829
76561198018159202,91973
76561198216508548,91436
76561198060200021,90832
76561198049001557,90668
76561198088687428,90527
76561198086465847,90398
76561198076513951,90245
76561197986552181,89910
76561198079350354,89081
76561198054270918,88812
76561198041168579,88767
76561198059293448,88663
76561198062009893,88367
76561197995795014,87931
76561198051264384,87293
76561197970168558,86596
76561198057107866,86571
76561198121597064,86554
76561198069420477,86256
76561198112981173,86088
76561198041266554,85774
76561198046418187,85455
76561198098050912,84119
76561198018683697,83044
76561198054729391,82327
76561198055671091,81522
76561198073820151,81516
76561198004901938,81405
76561197988486708,81104
76561198018456402,81099
76561198071252923,80774
76561198095682416,80679
76561198027406146,80252
76561198093659923,79474
76561198071972301,79400
76561197998876897,79142
76561198135077264,78769
76561197989466381,78662
76561197998463688,77927
76561198056764567,77179
76561198090327032,77159
76561197977246575,77129
76561198084958003,76804
76561198056590170,76505
76561198084311355,76432
76561198055096033,75893
76561197993054643,75729
76561198071252848,75318
76561198175659547,75159
76561198078903440,75015
76561198017837057,74736
76561198043339975,74503
76561198118129824,74451
76561198160148208,74334
76561197973436231,74175
76561198084293747,74002
76561198094592958,73500
76561198100578926,72612
76561198082857931,72428
76561198067127485,72264
76561198027923979,71786
76561198121929660,71720
76561197998534557,71428
76561198096049546,71155
76561198028592267,70774
76561198142118367,70648
76561198072644714,70628
76561198057295908,70102
76561198074138314,70006
76561198082683885,69807
76561198079690718,68878
76561198124272622,68721
76561198061406248,68142
