steam_id,playtime_forever
76561198005620005,103651
76561198059330972,65427
76561198089082829,42357
76561198069145498,26035
76561198012909706,18779
76561198027455361,10276
76561198072745658,8404
76561198034392042,7260
76561198035893080,6934
76561198132903596,5664
76561198088032782,5366
76561198000537256,5263
76561198047095349,4984
76561197999613236,4923
76561198120475353,4908
76561198084623564,4854
76561198063361762,4662
76561198045133986,4405
76561198055340148,4145
76561198031386080,4134
76561198052846013,4088
76561198061770996,3979
76561198071259746,3878
76561198062099971,3797
76561198051264384,3740
76561198046134938,3671
76561198053382774,3654
76561198067030650,3633
76561198056652803,3535
76561198068153798,3324
76561198024539037,3316
76561198057707533,3243
76561198059966696,3209
76561198073120349,3188
76561198071431107,3097
76561198053443713,3005
76561197993679376,2992
76561198113534022,2921
76561198031891410,2805
76561198051579252,2685
76561197971919098,2655
76561198160559380,2646
76561198081938549,2612
76561198065040988,2582
76561198101648152,2500
76561198035025987,2489
76561197970525544,2419
76561198060517829,2347
76561198064015098,2261
76561198071592261,2170
76561198050718261,2168
76561198038179236,2153
76561198018560501,2153
76561198067257274,2151
76561198013395705,2083
76561198056504388,2003
76561198074431816,1938
76561198045638432,1877
76561198038592548,1837
76561198062271200,1802
76561198076482697,1775
76561198049851547,1754
76561198064536870,1743
76561198045972083,1668
76561198078685690,1651
76561197999240770,1648
76561198039224622,1635
76561197970977029,1590
76561198066515292,1585
76561198063598007,1584
76561198093083895,1552
76561198241723758,1520
76561198018586074,1515
76561198063644848,1439
76561198059273758,1419
76561198044032335,1379
76561198167207237,1376
76561198073102260,1369
76561198063811877,1368
76561198081686896,1361
76561198044143830,1341
76561198071101813,1315
76561198055649986,1301
76561198006735420,1266
76561198057475308,1260
76561198071681706,1240
76561197982587661,1236
76561198076519474,1226
76561198053373103,1219
76561197996188613,1215
76561198000627924,1197
76561198007825673,1161
76561198060095580,1156
76561197960301961,1152
76561197967473231,1148
76561198090345356,1147
76561198071429235,1140
76561198090561761,1140
76561198079896944,1124
76561198082011682,1119
76561198071197576,1081
76561198079990063,1077
76561198089480352,1076
76561198083200551,1073
76561198046097024,1071
76561198095275097,1064
76561198059854102,1058
76561198083097986,1050
76561198069614338,1049
76561197973395845,1048
76561198026008283,1035
76561198170217862,1031
76561197965557728,1028
76561198067088650,1023
76561198035535269,1013
76561198062570934,990
76561198090426708,988
76561198068385228,987
76561198061086852,986
76561198043070022,984
76561198056008252,975
76561198030023806,964
76561198067470116,962
76561198070424600,956
76561198083458002,955
76561198054371024,954
76561198012009628,941
76561198033824559,932
76561198069200212,923
76561198064936176,920
76561198004175258,920
76561198056360695,909
76561198085329154,907
76561198027122657,893
76561198068809841,886
76561198072194263,884
76561198086045190,883
76561198039978256,879
76561198076271547,879
76561198027827983,861
76561198090227095,858
76561198022148624,817
76561198053443436,811
76561198063113447,808
76561197977489544,796
76561198036127792,795
76561198044952520,795
76561198092470446,792
76561198026725437,781
76561198087989545,781
76561198060800756,779
76561198091405304,771
76561198071834416,769
76561197988411069,764
76561198066955730,755
76561198076829467,737
76561198042855580,734
76561198068215851,732
76561198015398411,729
76561198056010368,726
76561197997055953,721
76561198087003507,711
76561197998943704,700
76561198073040446,694
76561198077257757,690
76561198060808273,687
76561198025816046,682
76561198088538797,677
76561197998190088,677
76561198023903233,675
76561197994830976,674
76561198043530022,674
76561198075534155,671
76561198055009078,670
76561198030143118,670
76561198083439187,666
76561198039504784,657
76561198055775816,648
76561198076398170,644
76561198062469136,640
76561198021482710,639
76561198066905703,634
76561198069905942,631
76561198098290665,629
76561198067182014,628
76561198014378834,624
76561198062682327,620
76561198047567643,620
76561198038178954,615
76561198071438184,615
76561198097172610,614
76561198058310827,611
76561197969339666,603
76561198070635693,602
76561198173313319,601
76561198056199427,598
76561197992809369,598
76561198089540481,596
76561198118277388,596
76561198104215028,593
76561198051372466,584
76561198039817744,581
76561198068494125,580
76561198128552705,570
76561198002557471,563
76561198099395042,562
76561198106868220,561
76561198073222903,558
76561198065006615,557
76561198042019784,550
76561198053365165,542
76561198039778509,541
76561198029305404,539
76561198058230663,536
76561198076580116,535
76561198028078449,535
76561198066893700,533
76561198033016359,529
76561198107960817,522
76561198054131489,521
76561198064534559,517
76561198068140161,516
76561198095033293,516
76561197995333910,514
76561198072053388,513
76561198013922033,512
76561198095345433,509
76561198022347840,507
76561198043509581,505
76561198064468415,497
76561198149193507,493
76561198056265766,492
76561198055752444,491
76561198051082631,488
76561198053686868,488
76561198025198077,486
76561197993982080,483
76561198054538030,477
76561198055307813,475
76561198060826432,474
76561198056011214,471
76561198055372831,470
76561197993498267,469
76561198095224811,465
76561198088932660,465
76561198051799142,460
76561198072532181,455
76561198054162412,455
76561198046381342,449
76561198075375032,449
76561198204697128,445
76561198049308887,441
76561198044256437,438
76561197961748180,435
76561198065013217,435
76561198059576967,435
76561198077333165,434
76561198072437649,434
76561197993929985,433
76561198071377843,431
76561198081092715,431
76561198088748682,431
76561198070072786,429
76561198032713655,427
76561198076240240,426
76561198096805696,425
76561198041640575,425
76561198096158792,422
76561198021745490,421
76561198050324850,412
76561198040027381,406
76561198045406316,401
76561198081422627,396
76561198036463977,393
76561198085055377,393
76561198042946392,390
76561198067309917,389
76561198047486142,388
76561198078403169,386
76561198010391123,385
76561198074257942,384
76561198087829868,382
76561198057899564,382
76561198069503317,381
76561198001743414,379
