steam_id,playtime_forever
76561198034213146,184034
76561198015984056,182575
76561198065545068,169748
76561198028206815,157950
76561198104235208,152258
76561198068866981,149848
76561198063606127,146519
76561198067853837,138906
76561198070198955,138659
76561198065273523,138320
76561198023381231,134601
76561198084162760,134254
76561198036455045,127380
76561198055362268,126293
76561198042397874,125927
76561198110293299,121740
76561198044469428,118369
76561198035028050,115857
76561197971078579,115137
76561198031802317,114902
76561198054114739,114653
76561197967370851,114619
76561198078155249,114527
76561198080682662,113163
76561198079221656,112826
76561198026780542,112349
76561198075257303,110941
76561198013600577,110524
76561198018872195,109580
76561198076341968,108819
76561198073807760,106267
76561198058225280,106000
76561198085844107,105424
76561198025107925,105299
76561198056884446,104617
76561198092795650,102767
76561198054477174,101569
76561198079368486,101110
76561198038658133,98585
76561197996571918,98148
76561198103433951,96666
76561198076109663,96030
76561198007059171,94713
76561198070202465,94507
76561198058076485,93145
76561197961702279,93078
76561198063100139,92121
76561198082728934,91973
76561198028038497,90512
76561198072156176,90411
76561198063579807,89468
76561198038210954,89102
76561197999589729,88025
76561198072303486,87791
76561198079554497,87425
76561198081627902,87368
76561198023152575,87362
76561198004054009,87111
76561198046075914,86941
76561198015981146,86851
76561198064270809,86766
76561198064778508,86617
76561198107093846,86590
76561198074623049,86402
76561198035288538,86114
76561198059788719,86021
76561197983811335,84207
76561198066312344,84007
76561198019112245,83388
76561198054717171,83378
76561198032454585,82921
76561198093386811,82560
76561198028238732,82322
76561198007282725,82286
76561198045625036,81987
76561198100396147,81745
76561198074201721,81662
76561198049622887,81389
76561198043150229,81262
76561198040195593,80760
76561198030458826,80478
76561198073740972,80227
76561198088782238,80177
76561198074498345,80139
76561198062011594,79765
76561198059666810,79649
76561198089414638,78459
76561198081614767,77940
76561198084105682,77845
76561198050350425,77594
76561198027330526,77122
76561197971268422,77020
76561198091548792,76874
76561197966979423,76611
76561198108641918,75907
76561198057024856,75786
76561198028648062,75739
76561198047269494,74762
76561198036480620,74461
76561198075582003,73808
76561198046054296,73759
76561198032095045,73579
76561198064426384,73540
76561198052180785,73443
76561197960704921,73441
