steam_id,playtime_forever
76561198083612270,24778
76561198026308363,23316
76561198083375450,16133
76561197995146150,15942
76561197995725436,14099
76561198001368533,12682
76561198046783368,10987
76561197995207074,7961
76561198055373462,7625
76561198062737330,7235
76561198086298637,7151
76561198080696168,6912
76561198018151820,6907
76561198052029872,6836
76561198047756081,6690
76561197989192658,6447
76561198059424139,6422
76561197969418604,6337
76561198037720383,6192
76561198006267245,6076
76561197981448997,5970
76561197967527221,5847
76561198070335606,5609
76561198038879240,5343
76561198044425019,5298
76561198080601475,5167
76561198040188061,5010
76561198042649425,4996
76561198041059722,4876
76561197965127789,4856
76561198066312344,4616
76561198076542620,4563
76561198053336377,4308
76561198051336934,4041
76561198048588318,3971
76561198042802930,3902
76561198058124455,3882
76561198078317972,3877
76561198051957930,3737
76561198053567652,3674
76561198084686700,3577
76561198009318462,3558
76561198089967981,3523
76561198030769891,3496
76561198057982190,3458
76561198055609345,3448
76561197972956204,3434
76561198000529676,3341
76561198060777210,3313
76561197972261430,3159
76561198064339602,3147
76561198044861601,3111
76561198066272265,3086
76561198050543795,3067
76561197992223080,3053
76561198047821082,3026
76561198060546521,2935
76561198049812647,2875
76561198074505576,2869
76561198034567618,2858
76561197992790030,2843
76561197975513866,2834
76561198048526408,2824
76561198065327741,2787
76561198056536128,2749
76561198040530624,2742
76561198064692010,2691
76561198042148642,2662
76561198027455361,2653
76561197973942698,2649
76561198051159072,2641
76561198091758520,2579
76561198041993231,2549
76561198046710527,2545
76561198118965684,2424
76561198117186114,2408
76561198054606902,2368
76561198038837191,2327
76561198068614009,2317
76561197994831363,2306
76561198073837578,2295
76561198081026741,2287
76561197971128924,2284
76561198070647134,2269
76561198044508924,2237
76561198059017416,2229
76561197993871194,2227
76561198041676366,2223
76561198003772075,2220
76561198078245798,2181
76561198074396411,2141
76561198042065834,2131
76561198042376148,2114
76561197991836307,2094
76561198025614826,2084
76561197992364773,2053
76561198056277856,2036
76561197960870264,2035
76561198029207370,2019
76561198097169936,2001
76561198058887844,1998
76561198026057283,1982
76561198051518356,1974
76561198076228553,1953
76561198048053827,1950
76561197970937211,1947
76561198006735420,1943
76561197961524262,1935
76561198058217502,1930
76561198072831321,1910
76561198077557008,1906
76561198074227021,1899
76561198057105415,1871
76561198018539675,1852
76561198046357713,1827
76561198004584008,1811
76561198045591068,1772
76561197970735456,1768
76561198063642035,1765
76561198074056771,1763
76561198058624929,1757
76561198069616193,1757
76561198067315765,1755
76561198025500916,1754
76561198064622894,1749
76561198028042361,1733
76561198127849339,1725
76561198035515676,1721
76561198035363871,1716
76561198035814564,1699
76561198020745022,1695
76561198089939629,1692
76561198071635721,1690
76561198043497735,1674
76561198077531443,1672
76561198069410187,1664
76561198043505113,1654
76561198009177886,1654
76561198078381993,1640
76561198048934899,1639
76561198052723604,1636
76561198049213764,1635
76561198049620986,1628
76561198049447026,1617
76561198110608348,1616
76561197970758033,1611
76561198048936292,1605
76561198045291703,1598
76561198122105426,1597
76561198116062531,1577
76561198060068927,1562
76561198081298968,1559
76561198057747700,1551
76561198065431100,1548
76561198075012648,1528
76561198045506687,1525
76561198047241493,1519
76561198091080817,1518
76561197968287469,1516
76561198069603322,1497
76561198052503456,1497
76561198055491845,1494
76561198018872195,1472
76561198078751822,1466
76561198016215456,1461
76561198040099619,1461
76561198039050385,1460
76561197990880154,1447
76561198042163355,1446
76561198072862795,1437
76561198070005881,1436
76561198081509282,1435
76561197992618958,1429
76561198062180678,1426
76561198059685697,1424
76561198072533733,1407
76561198050557204,1406
76561198084667711,1395
