steam_id,playtime_forever
76561198017606662,3651
76561198042738965,3201
76561198103540275,2955
76561198011445956,2330
76561198054612606,2051
76561198037582443,2010
76561198090628232,1975
76561197999306529,1941
76561198012604792,1915
76561198076362383,1790
76561198059687929,1775
76561198046656291,1656
76561198160316683,1631
76561198010651506,1622
76561198014969917,1539
76561197969599867,1523
76561198039045887,1502
76561198075965698,1427
76561198118965684,1418
76561198065449703,1361
76561198001398677,1309
76561198007906584,1273
76561198002697689,1265
76561198004820900,1228
76561198064484479,1172
76561198032056523,1129
76561197991836307,1090
76561198069181280,1078
76561198044128695,977
76561198041874601,958
76561197994367028,933
76561198043824579,931
76561198101093277,914
76561198063186191,912
76561198044605552,904
76561198048354078,894
76561197977859433,869
76561198045444761,866
76561198061607635,849
76561198105406034,841
76561198006251483,771
76561198042082977,762
76561197972468339,751
76561198045412264,736
76561198049796627,729
76561197971119511,721
76561197999483873,708
76561197965355573,696
76561197967514845,683
76561197997423130,674
76561198073584755,671
76561198088203016,649
76561198006944554,630
76561198045296161,606
76561198039613674,589
76561198000537256,575
76561197992227006,555
76561197988004162,553
76561198013261893,552
76561197994830976,542
76561198075888269,536
76561198062232099,531
76561198091164764,502
76561198038152917,500
76561197971859273,496
76561198022575741,494
76561197993381595,487
76561198030752467,483
76561198009559094,482
76561198069591712,482
76561198044237378,479
76561198053443950,478
76561198079632286,478
76561198042873995,477
76561197970937211,456
76561198024894178,454
76561198051837130,446
76561197994387796,445
76561198000190288,444
76561198048235993,443
76561198002196490,437
76561198016475503,431
76561197968436663,426
76561198058051153,413
76561198060927199,411
76561198053409522,411
76561198086903820,406
76561198034277356,402
76561198025515356,393
76561198061579283,393
76561197999114337,376
76561198034699157,369
76561198049955631,360
76561198046921092,359
76561198054678415,353
76561198072689381,346
76561198059049118,344
76561197974290157,342
76561198076551802,342
76561198070585472,341
76561197992267436,340
76561198001518866,331
76561198053964143,325
76561198054407224,323
76561198048927740,319
76561198049026901,310
76561198064991576,309
76561198045146504,308
76561197971933349,307
76561197997315547,305
76561198041815803,302
76561198047269494,300
76561198040572871,300
76561198046467232,297
76561197969434273,289
76561198066566016,287
76561198019001219,284
76561198063406120,280
76561198078907140,278
76561198061535381,276
76561198030091459,275
76561198068727361,275
76561198083711394,272
76561198051837192,268
76561198031285814,267
76561197994529674,264
76561198030619991,263
76561198075908315,263
76561198025342248,262
76561198072108091,262
76561198044920564,262
76561198054073078,257
76561198052513392,256
76561198003820472,255
76561198014722276,255
76561198021307778,255
76561198038179236,254
76561198091125007,253
76561198102767019,250
76561198029532782,249
76561198012387063,248
76561198011218089,242
76561198071059521,242
76561197977525575,238
76561198047304525,235
76561198086526864,232
76561198010776633,230
76561198072871807,229
76561198088994432,225
76561198019210728,224
76561198089376541,222
76561198027446074,220
76561197992543897,218
76561198085841559,218
76561198101750820,216
76561198012726444,215
76561198044508924,214
76561197998052647,213
76561198024553516,208
76561198100328442,206
76561198041737624,204
76561197989615671,202
76561198095708135,200
76561198087066156,199
76561198077185651,199
76561198036409929,198
76561198059817358,195
76561198019030666,194
76561198017341667,194
76561197961112434,194
76561198057723496,191
76561198068041434,190
76561198041212511,189
76561198054100996,188
76561198046429956,185
76561197995792780,184
76561198013828918,183
76561198078212818,181
76561198044346263,181
76561198070255796,180
76561198101895097,180
76561198026971509,178
76561198081195567,177
76561198069681136,177
76561198098911570,173
76561198043033300,172
76561198023724976,172
76561198059611709,170
76561197965207724,170
76561197997118766,169
76561198013291691,168
76561198017848971,167
76561198057767543,167
76561198019040043,166
76561198003132759,166
76561198077795958,164
76561198044492849,164
76561197970731848,162
76561198042606287,161
76561198044745116,160
76561198045081272,159
76561198093360882,158
76561197991087512,157
76561198088237893,156
76561198047333498,155
76561198052697206,155
76561198026917665,153
76561198056606925,153
76561197981203305,152
76561198062794629,151
76561198041823841,151
76561198064338159,149
76561197974500703,148
76561197978426585,148
76561198056251305,147
76561198070480792,147
76561197989281551,147
76561198034247917,146
76561198029968002,146
76561197996400788,145
76561198032007689,145
76561198070819519,144
76561198058230663,144
76561197989728414,143
76561198025198217,142
76561198035025640,142
76561198068614009,142
76561197971857001,142
76561198086791425,142
76561198120364067,141
76561198009938963,140
76561198065725333,140
76561198020172660,139
76561197964188781,139
76561198067953510,138
76561198082474663,137
76561198054678069,137
76561197997213967,136
76561198036245133,136
76561198050762093,136
76561197997588056,136
76561198019644374,135
76561197989616184,135
76561198067219635,135
76561197970884763,135
76561198005738944,135
76561198030458826,135
76561198033357511,134
76561198031334982,134
76561198042564906,134
76561198067610447,133
76561198031723409,132
76561197985191301,132
76561197971443522,131
76561198045365016,131
76561198054572451,131
76561198097807992,130
76561197989549832,130
76561198008730877,129
76561198058160546,129
76561198037582861,128
76561198108661378,126
76561198071781219,126
76561198008267559,126
76561198059486412,125
76561198038398765,124
76561198044005333,123
76561198041865057,122
76561197970477680,122
76561198070827197,122
76561198028432902,122
76561197996720466,119
76561198007082354,117
76561198066214102,116
76561198064908844,116
76561198032752680,116
76561197990849455,115
76561198035893080,113
76561198021111894,107
76561198048025672,106
76561198007539695,106
76561198030870125,106
76561198028158358,105
76561197966604253,105
76561198111949596,104
76561198002249497,104
76561198055555174,103
76561198078365803,100
76561198006995218,99
76561198039229372,98
76561198021388700,97
76561197997630965,97
76561197970582291,96
76561198073109656,96
76561197970148466,96
76561198017569093,94
76561198041281407,93
76561198085167092,92
76561197976321379,92
76561198012686765,92
76561197991723203,92
76561198045344721,92
76561198043202031,91
76561198087503493,91
76561198074347362,89
76561198060829599,89
76561197983772456,89
76561197976793497,89
76561198023351714,87
76561198061460664,87
76561197985164606,86
76561198098871349,86
76561198048435920,86
76561198035136974,85
76561198060486675,85
76561198043766755,84
76561197992204503,84
76561198013434300,80
76561197992166703,79
76561198043070022,78
76561198069549523,78
76561197972482791,78
76561198007488623,76
76561198043094807,75
76561198025075751,74
76561198067276330,74
76561198043179766,71
76561198079128940,70
76561198044652545,69
76561198065603460,69
76561198077658105,68
76561198039312374,68
76561197962028169,68
76561198000568847,68
76561198018065970,68
76561198080288601,68
76561198000554821,67
76561198085232353,67
76561198062163675,67
76561197994271725,66
76561197994057270,65
76561198054602972,64
76561197991699268,64
76561197999638590,64
76561198012279276,63
76561198042378227,63
76561197979524684,63
76561197974644824,63
76561198060785908,61
76561198007800522,60
76561198067977275,60
76561198080506389,60
76561198017448977,59
76561197984592889,58
76561198064272725,58
76561198042947768,58
76561197995294468,58
76561198046097024,57
76561197998943704,57
76561198033713264,56
76561198035811518,56
76561198042410388,55
76561198045792958,54
76561197970550128,53
76561198041108202,53
76561198077460901,53
76561198043735666,52
76561198043148813,51
76561198067463105,51
76561198065695402,51
76561198038678732,51
76561197970524306,50
76561198044039434,50
76561198038225943,50
76561198019295365,49
76561198048149374,49
76561198094968969,49
76561198081192717,48
76561198059536225,47
76561198024377502,47
76561198027443860,47
76561198010284092,46
76561197969351991,46
76561198036542582,46
76561197993336140,46
76561198006798951,46
76561198063645161,46
76561197971074473,45
76561198009134230,45
76561198004535671,45
76561197967534070,45
76561198028960909,45
76561198049937609,44
76561198046036119,44
76561198000875292,44
76561198073032392,44
76561198018986283,44
76561198066918277,44
76561197981208045,44
76561198043027992,43
76561198030851714,43
76561198062510835,43
76561198060181235,42
76561198027988379,42
76561198043784371,41
76561198063808374,41
76561198061196564,41
76561198080432945,41
76561198089768365,40
76561198038943115,40
76561198009555951,39
76561198077389047,39
76561198044454118,39
76561198084481166,38
76561197973053035,38
76561198064484753,38
76561198048371919,38
76561198050042737,38
76561198035565341,37
76561198076039282,37
76561198047631469,37
76561198053916929,37
76561198042261917,36
76561197983066077,36
76561197994831363,35
76561198074626284,35
76561198041499932,34
76561198035551917,34
76561198002408467,34
76561198061531823,33
76561198070282717,33
76561197993676441,33
76561198057283559,32
76561198040858050,32
76561197990097714,32
