steam_id,playtime_forever
76561198034699157,64635
76561198024616768,34982
76561197995146150,15820
76561198042997251,14477
76561198057288584,11845
76561197995207074,7013
76561198018151820,6907
76561198034247949,5744
76561197997534851,5475
76561197973436231,4583
76561198026913148,4346
76561198010776633,4205
76561198107237059,4133
76561198102767019,3978
76561197967272400,3902
76561198042170355,3887
76561198110146481,3797
76561198066988024,3685
76561198072873426,3637
76561198083123539,3601
76561198080601475,3520
76561198009318462,3075
76561198052858682,3073
76561198033536322,3061
76561198046783368,3033
76561198011533373,3006
76561198063620984,3000
76561197969534642,2984
76561197995897533,2939
76561198076726655,2929
76561198045852928,2900
76561198070930126,2840
76561198001518866,2823
76561198065327741,2787
76561198040530624,2742
76561198014834244,2741
76561197991288051,2733
76561198089469037,2725
76561198008508666,2660
76561198056536128,2601
76561198043112708,2587
76561198053477104,2528
76561197992005814,2525
76561198060176226,2458
76561198051957930,2435
76561198060764817,2435
76561197997464959,2414
76561197976561718,2408
76561197993727896,2408
76561198131276487,2387
76561197977030679,2383
76561198061849254,2349
76561198019582682,2330
76561198052705581,2303
76561197973942698,2301
76561198067219635,2259
76561198072544900,2258
76561198046921587,2241
76561197971180788,2229
76561198014722276,2210
76561198086317601,2204
76561198005401123,2192
76561198009397624,2191
76561198057009427,2173
76561198001304010,2172
76561197970021062,2144
76561198047756081,2140
76561198095439219,2123
76561198019968924,2118
76561198027517385,2052
76561198055974384,2046
76561198041045887,2046
76561198008791765,2036
76561198012279276,2003
76561198065438445,1997
76561198029771387,1988
76561197970692869,1966
76561198001764894,1956
76561198048259980,1956
76561198047695685,1952
76561198036217162,1949
76561198044583838,1937
76561197962929275,1925
76561198069066487,1909
76561198062633972,1897
76561198025198217,1876
76561198047542758,1871
76561198072069909,1868
76561198016514671,1856
76561197995456100,1853
76561197982894197,1852
76561198042875707,1838
76561198089967981,1826
76561198019040043,1826
76561198028647700,1826
76561198040385787,1809
76561198033257130,1808
76561198068225657,1799
76561198047630149,1789
76561198058536812,1784
76561198034312627,1777
76561197979969685,1775
76561198045591068,1772
76561198043401005,1771
76561197997792190,1756
76561198064315518,1740
76561198016006736,1733
76561198068614009,1732
76561198065210744,1730
76561198067884266,1730
76561198025723695,1720
76561197998610301,1716
76561197998124833,1708
76561198015673544,1705
76561197963455626,1705
76561197982807200,1694
76561198089939629,1692
76561198014704426,1689
76561198072071661,1683
76561198017332178,1682
76561198075725954,1681
76561197987436659,1674
76561198020283976,1665
76561198054131489,1664
76561198040496545,1660
76561198078381993,1640
76561198081280497,1640
76561198052723604,1636
76561198082829464,1631
76561198086773875,1628
76561198067624906,1626
76561197970643572,1622
76561197974290157,1621
76561198009365001,1620
76561197998700419,1619
76561198050039841,1618
76561198078834242,1617
76561198068006290,1612
76561198043051703,1606
76561197971372464,1603
76561197989192658,1603
76561198009850976,1602
76561198122105426,1597
76561198030129600,1596
76561198015961053,1588
76561198069410187,1585
76561198005099973,1582
76561198041946727,1575
76561198045392689,1561
76561198051854806,1559
76561198038603588,1552
76561198047408020,1550
76561198081298968,1541
76561197970580235,1537
76561198004208798,1536
76561197999616192,1533
76561197987746856,1532
76561198002874708,1528
76561198063474717,1525
76561197970147684,1525
76561198047241493,1519
76561198013162357,1508
76561198032466454,1499
76561198063132866,1495
76561197983123822,1495
76561198055491845,1494
76561197961607107,1493
76561198203947177,1492
76561198060852416,1491
76561198051018164,1488
76561198008503422,1487
76561198077029675,1487
76561198055405859,1483
76561198007321782,1473
76561198033018249,1472
76561198098404536,1472
76561198073406155,1472
76561197976313504,1467
76561198056638934,1463
76561198016215456,1461
76561198004245030,1459
76561198078751822,1455
76561198101976562,1441
76561198068727361,1438
76561197968606273,1436
76561198081509282,1435
76561198017918666,1426
76561198047659670,1425
76561197970564661,1422
76561198043122030,1413
76561197970496656,1412
76561197995042414,1410
76561198072533733,1407
76561198008503537,1406
76561197992074352,1404
76561198049370253,1400
76561197993366142,1398
76561198064339602,1397
76561198080021401,1393
76561197987245915,1393
76561198050672797,1387
76561198026492654,1383
76561198058217502,1383
76561198066516564,1382
76561198096239381,1381
76561198012852825,1378
76561198052487616,1374
76561198058454220,1369
76561198116062531,1364
76561198021851822,1356
76561198038261594,1348
76561197985335942,1348
76561198018065970,1343
76561198012910757,1341
76561198129380421,1341
76561198022962630,1340
76561198038997293,1332
