steam_id,playtime_forever
76561198034213146,184034
76561198015984056,182441
76561198006995190,180406
76561198065545068,168424
76561198028206815,157682
76561198063606127,146519
76561198070198955,138659
76561198061028312,137189
76561198023381231,134634
76561198084162760,134254
76561198036455045,127380
76561198044469428,118369
76561197966979423,115854
76561197971078579,115137
76561198031802317,114902
76561198054114739,114653
76561197967370851,114619
76561198005620005,111566
76561198013600577,110740
76561198025107925,103483
76561198092795650,102767
76561198079368486,100515
76561198018872195,97143
76561198007059171,94713
76561197961702279,92657
76561198028038497,90512
76561198063579807,89793
76561198081627902,87368
76561198023152575,87362
76561198107093846,86590
76561198046075914,85989
76561197983811335,84207
76561198054717171,83378
76561198032454585,82907
76561198030458826,82264
76561198007282725,81893
76561198074201721,81523
76561198043150229,81295
76561198100396147,81274
76561198088782238,80177
76561198073740972,79381
76561198034699157,79354
76561198089414638,78459
76561197971268422,77020
76561198027455361,76918
76561198057024856,75786
76561198028648062,75739
76561198049622887,75398
76561198020133414,74922
76561198047269494,74846
76561198036480620,74816
76561198032095045,73579
76561197960704921,73441
76561198053921822,72579
76561198053504025,72353
76561198058408063,71710
76561198045516933,71359
76561198049315551,70639
76561197967723333,70343
76561198044947819,70050
76561198037463290,67701
76561198022226815,67434
76561198050762093,67351
76561198043191126,67185
76561198050350425,66337
76561198054935821,66137
76561198057860256,66041
76561198089768176,65865
76561198020172098,65316
76561198023903387,64722
76561198001287522,63963
76561198061245815,63802
76561198047983861,63448
76561198088717021,63198
76561198073331366,63005
76561198008906995,62837
76561198044521862,62815
76561198057982190,62793
76561198045683118,62773
76561197993591260,62461
76561198040666913,62261
76561198081786584,62113
76561198062671986,61947
76561198059924258,61386
76561198061001172,61283
76561197963219424,61276
76561198155122205,61114
76561198071067193,61058
76561198046689666,60526
76561198030769891,59408
76561198035732452,59344
76561198016739624,59090
76561198094455101,58548
76561198049618390,58472
76561198053911081,58121
76561198084919247,57251
76561198061505714,57223
76561198082113132,56892
76561198075597491,56772
76561198048709626,56144
76561198035654499,56007
76561198038218194,55936
76561198105430566,55558
76561197993631180,54858
76561198053944505,54776
76561198023023045,54370
76561198089206723,53819
76561198057253097,53806
76561198036072279,53627
76561198080103160,53557
76561198023224558,53172
76561198007325684,52572
76561198055938832,52550
76561198007584361,52124
76561198052504403,52118
76561198096895795,51582
76561198062737330,51185
76561197971372464,51043
76561198046686444,50666
76561198101401653,50262
76561198045583398,50213
76561198045826163,50207
76561198043637538,50041
76561197971857001,49918
76561198096452766,49632
76561198059666810,49387
76561198013368753,49383
76561198027791423,48594
76561198062279802,48594
76561198054288702,48543
76561198065918324,48536
76561198039601082,48173
76561198045472893,47994
76561198088082495,47931
76561198082939654,47869
76561198040928956,47620
76561198001612399,47598
76561198019295365,47472
76561198004311251,47385
76561198073919095,47274
76561198028701687,47239
76561198041940683,47195
76561198075749223,47084
76561198038374904,46582
76561198042666584,46540
76561197997530856,46510
76561198088678067,46501
76561198086834674,46365
76561198090329181,46090
76561198087883181,45941
76561198022666487,45871
76561198056251305,45642
76561197996907635,45428
76561198032478055,45371
76561198041648531,45317
76561198078749175,45281
76561198064692010,45266
76561198068614009,45063
76561198072436582,44976
76561198094414013,44960
76561198031606450,44879
