steam_id,playtime_forever
76561198036063257,1184
76561198072517709,794
76561198075055875,758
76561198011218089,753
76561197995207074,541
76561198052845748,540
76561198033277907,524
76561198051715280,521
76561198189501926,514
76561198018556361,425
76561198041823841,321
76561198041417698,286
76561198040097386,279
76561198102767019,279
76561197989113830,276
76561197972303841,276
76561197998873955,273
76561198206303015,245
76561198017214212,227
76561198100129112,226
76561197971285616,216
76561198055770245,211
76561198063667771,200
76561198093624679,166
76561198035893080,164
76561198041120051,153
76561198041359449,141
76561198036745107,140
76561198024826675,136
76561198061375313,131
76561198025198077,127
76561198043075106,110
76561198007539695,108
76561198061531823,107
76561198042237966,107
76561198070735033,106
76561198025198217,104
76561198062577557,102
76561197992160513,97
76561198028866317,94
76561198071430243,94
76561198044783305,89
76561198095226109,88
76561197966298550,84
76561198060787863,82
76561197991098498,79
76561198087786125,72
76561198044508924,67
76561198057921996,65
76561197989869899,64
76561198037717335,64
76561198190794628,56
76561198022376803,53
76561198040132688,52
76561198021923374,49
76561198024764182,49
76561198042410388,45
76561197970580235,43
76561197997711225,41
76561198006150448,39
76561197971859273,36
76561198079748582,36
76561198019434222,34
76561197972482791,32
76561198044383266,29
76561198019295365,29
76561198023093635,25
76561198065322037,23
76561198007060849,23
76561198049608083,20
76561198028216577,17
76561197983066077,15
76561197967184620,14
76561198034305479,13
76561198062479087,13
76561198091159513,12
76561198002644780,10
76561197973156896,9
76561198042966858,8
76561197970723780,8
76561198079128940,6
76561197974522156,5
76561198040144918,4
76561198041640575,3
76561198091266752,2
76561198001638037,1
76561198117845393,1
76561198063137936,1
76561198084343179,1
76561198075424388,0
76561198071972301,0
76561198239611018,0
76561198095049646,0
76561198087066156,0
76561198082712691,0
76561198101994484,0
76561198082166693,0
76561198157726267,0
76561198122883605,0
76561198080506389,0
76561198087883181,0
76561197960304530,0
76561198069487110,0
76561198035860222,0
76561197964334210,0
76561197983367658,0
76561197985797191,0
76561197989616184,0
76561197992845568,0
76561198000537256,0
76561198001518866,0
76561198006944554,0
76561198007584361,0
76561198019137995,0
76561198026055531,0
76561198027455053,0
76561198034169751,0
76561198036245133,0
76561198064621980,0
76561197960435530,0
76561198044653745,0
76561198045814607,0
76561198045950134,0
76561198046016445,0
76561198046450367,0
76561198047524368,0
76561198048123785,0
76561198048151962,0
76561198049438209,0
76561198053619760,0
76561198059440920,0
76561198062232099,0
76561198283431927,0
