steam_id,playtime_forever
76561198005620005,103570
76561197999613236,4057
76561198081938549,2612
76561198064536870,1662
76561198006735420,1238
76561198071197576,1081
76561197965557728,1028
76561198092470446,792
76561197969339666,603
76561198064468415,497
76561198055307813,475
76561198054162412,453
76561198088748682,431
76561198032545813,360
76561198055737361,326
76561198060656659,307
76561198094039971,223
76561198043664503,211
76561198090285609,196
76561198045996814,195
76561198045134917,153
76561198049279838,136
76561198035708866,119
76561198110587369,88
76561198078231315,54
76561198096417535,33
76561198045467294,31
76561198043468906,29
76561198041562431,14
76561198061957830,13
76561197986768437,11
76561198032046112,8
76561198065722585,8
76561198038178954,7
76561198063596065,6
76561198036180096,4
76561198075631259,1
76561197995792780,1
76561197994101386,0
76561197980583328,0
76561198019046681,0
76561198001518866,0
76561198009814269,0
76561198056568461,0
76561198040914212,0
76561198118965684,0
