steam_id,playtime_forever
76561198036409929,595
76561197970937211,355
76561198029743458,344
76561198024563946,165
76561198000190288,118
76561198040099619,110
76561198067276330,103
76561198078365803,96
76561197992845568,91
76561198038486281,90
76561198037487497,84
76561198030021498,79
76561197960534895,55
76561197977525575,54
76561197994831363,52
76561197970723780,46
76561198026960298,26
76561198044508924,23
76561198019040043,18
76561198073418523,14
76561198072109766,12
76561197988455997,9
76561198042410388,9
76561198033713264,0
76561198021611368,0
76561197972303841,0
76561198050762093,0
76561197960435530,0
