steam_id,playtime_forever
76561198017950800,720
76561198023153321,285
76561198048130206,223
76561198089967981,190
76561198062232099,174
76561198003868600,172
76561198025198217,161
76561198009992783,150
76561198026336033,149
76561198060675353,125
76561198053964143,121
76561198039213155,116
76561198070949279,108
76561198044132041,101
76561198042734931,100
76561198056770012,94
76561198114917298,87
76561198040912942,78
76561198077269470,76
76561198095506994,66
76561198139249899,62
76561198066578003,62
76561198238911958,48
76561198107033848,40
76561197973711858,38
76561198043377386,36
76561198050180095,36
76561198041582030,31
76561198024918862,30
76561198077372548,21
76561198124733593,20
76561198048080920,19
76561198057905001,19
76561198004998420,18
76561197998610301,18
76561197960304530,14
76561198025594855,11
76561198053793261,11
76561198084598136,10
76561198053196362,10
76561198037271589,9
76561197979042934,8
76561198056502799,6
76561198069205048,4
76561198030021498,4
76561198066391348,1
76561198048151962,1
76561198048409211,1
76561198066504313,1
76561198078850163,1
76561197998374531,1
76561198066277328,1
76561197983367658,1
76561198015872851,1
76561198076219556,1
76561198072029747,1
76561197989616184,1
76561198025281122,1
76561198070585472,1
76561198045062735,1
76561198047659670,1
76561198122676924,1
76561198032236500,1
76561198033257130,1
76561198096068574,0
76561198157726267,0
76561198122883605,0
76561197963293081,0
76561197962465191,0
76561198142926998,0
76561198074812011,0
76561198155219685,0
76561197987245915,0
76561198118965684,0
76561198070640409,0
76561198157996443,0
76561198169416553,0
76561197961008672,0
76561198069487110,0
76561198239611018,0
76561198078800007,0
76561197964334210,0
76561197970564661,0
76561197966364980,0
76561198095049646,0
76561198097215277,0
76561198091853107,0
76561197971857001,0
76561198089959473,0
76561198089359110,0
76561198068900661,0
76561198088053196,0
76561198087066156,0
76561198097809601,0
76561198102767019,0
76561198107012395,0
76561198083011383,0
76561198082166693,0
76561198081862643,0
76561198081687235,0
76561198079301945,0
76561198069173024,0
76561198064473140,0
76561198067953510,0
76561198067219635,0
76561198044745116,0
76561198044653745,0
76561198007306685,0
76561198017085427,0
76561198042212797,0
76561198042153691,0
76561198041640575,0
76561198018984753,0
76561198041310702,0
76561198021307778,0
76561198040681810,0
76561198021439521,0
76561198039164146,0
76561198038366428,0
76561198035712173,0
76561198034169751,0
76561198034079001,0
76561198032007689,0
76561198030656430,0
76561198029942789,0
76561198027455053,0
76561198045212920,0
76561198045814607,0
76561198045950134,0
76561197998887921,0
76561198067146401,0
76561197987912676,0
76561198065972251,0
76561198064621980,0
76561198064272615,0
76561198061817136,0
76561198060712410,0
76561197994460863,0
76561198059440920,0
76561198055555906,0
76561198046054296,0
76561197999740660,0
76561198052849476,0
76561198052528107,0
76561198052020365,0
76561198050653569,0
76561197960306498,0
76561198049438209,0
76561198000537256,0
76561198001518866,0
76561198283431927,0
