steam_id,playtime_forever
76561198127521504,4407
76561198036645840,2697
76561198051715280,1532
76561197966936422,1527
76561198055372831,1475
76561198041181198,1289
76561198040132688,1149
76561198013565069,1143
76561198048230501,1024
76561198036690662,809
76561198024064617,682
76561198058324609,653
76561198069758889,647
76561198047299161,473
76561198001511234,448
76561197997902046,335
76561198045802678,304
76561198028458466,286
76561198053524100,284
76561198068431036,273
76561198028509438,268
76561198072840422,242
76561198049216777,229
76561198059569720,221
76561198065324354,205
76561198048168493,199
76561198062701680,163
76561198029304148,145
76561198055069155,142
76561198060853128,111
76561198026239418,108
76561197970550128,103
76561198099249567,95
76561198005263617,84
76561197990266762,74
76561198071297182,69
76561198065322037,49
76561198047821082,37
76561198045683118,34
76561198007060849,34
76561198081125754,34
76561197972303841,33
76561198058500639,33
76561198073418523,32
76561198064534559,23
76561197983281766,21
76561198046314521,16
76561197971399999,14
76561198000190288,12
76561198050762093,11
76561197985198230,9
76561198048526408,1
76561198042410388,0
76561198022771302,0
76561198005738944,0
76561198001296435,0
76561197987065774,0
76561198102767019,0
