steam_id,playtime_forever
76561198017606662,3651
76561198042738965,3218
76561198103540275,2955
76561198036645840,2697
76561198011445956,2330
76561198074396411,2141
76561198054612606,2051
76561198037582443,2010
76561198090628232,1975
76561198012604792,1915
76561198076362383,1790
76561198059687929,1775
76561198067315765,1755
76561198046656291,1656
76561198041181198,1640
76561198049620986,1628
76561198014969917,1539
76561198051715280,1532
76561197966936422,1527
76561198039045887,1502
76561198055372831,1475
76561198075965698,1427
76561198118965684,1418
76561198030287113,1387
76561198064028557,1380
76561198065449703,1361
76561198001398677,1309
76561198004820900,1228
76561198007906584,1193
76561198072402200,1172
76561198064484479,1172
76561198040132688,1149
76561198013565069,1143
76561197991836307,1090
76561197968720117,1085
76561198072411648,1072
76561198082211664,1063
76561198049425405,1055
76561198055784664,1054
76561198048230501,1024
76561198044128695,977
76561198077297982,966
76561198041874601,958
76561197998221610,954
76561198025473745,951
76561198040275855,943
76561197994367028,933
76561198055786387,916
76561198101093277,914
76561198051832174,914
76561198063186191,912
76561198082023848,911
76561198054131489,909
76561198044605552,904
76561198009720869,897
76561198048354078,894
76561198024064617,885
76561197977859433,868
76561198045444761,866
76561198041112514,855
76561198061607635,849
76561198084691068,844
76561198039447303,840
76561198045755333,827
76561198073837577,809
76561198057129371,798
76561198092207965,798
76561198033257130,797
76561197996502234,794
76561198023305655,774
76561198006251483,771
76561198017220350,771
76561198189501926,765
76561198086903820,751
76561198048149374,747
76561198038991299,741
76561198054749194,740
76561198049796627,729
76561198089041882,725
76561198056463061,721
76561198046185320,712
76561197999483873,708
76561198012964339,701
76561198065918324,700
76561198056094672,700
76561198041309380,690
76561198167699778,685
76561197967514845,683
76561197997423130,677
76561198029403578,675
76561198079378923,671
76561198073584755,671
76561198000190288,670
76561198049864014,670
76561198058324609,653
76561198088203016,649
76561198101159563,646
76561197971119511,645
76561198064383295,638
76561198009608512,635
76561198070714475,633
76561198031660418,625
76561198051136353,620
76561198078717300,609
76561198045296161,606
76561198080548524,597
76561198039613674,589
76561198054572451,576
76561198000537256,574
76561198080964913,570
76561198045457129,568
76561198091054851,568
76561198032325085,557
76561197992227006,555
76561197988004162,553
76561198013261893,552
76561198010776633,549
76561198072273990,545
76561197994830976,542
76561198018465863,537
76561198075888269,536
76561198045904730,535
