steam_id,playtime_forever
76561198039701203,48483
76561198045797718,32818
76561198004673788,28331
76561198056633646,21149
76561198026810952,19480
76561197996426598,19404
76561198029817505,15420
76561198015680666,14300
76561198048948026,13340
76561198045833405,12703
76561198082227157,12544
76561198024776356,12395
76561198045154816,10998
76561197992427444,10706
76561198018553225,10055
76561197967787808,9682
76561198047695661,9258
76561198028583056,9244
76561198024001992,8512
76561198052190360,7320
76561198012692998,7263
76561198031147214,6867
76561198061663176,6813
76561198058816627,6733
76561198013466123,6696
76561198061589633,6538
76561198044610496,6456
76561198012076358,6415
76561198035999413,6397
76561198118697312,6224
76561198056504388,6006
76561198031480846,5937
76561198048235993,5923
76561198059273758,5679
76561198045791276,5647
76561198009433842,5601
76561198071388587,5571
76561198042345839,5431
76561198044042926,5420
76561198052929892,5376
76561198015275299,5362
76561198081192717,5351
76561198024493161,5265
76561198044286355,5261
76561198053503995,4767
76561198026913148,4753
76561198057262001,4720
76561198062471632,4629
76561198019449175,4567
76561198036070181,4503
76561198044499654,4499
76561198011533373,4488
76561198054371024,4378
76561198078302338,4347
76561198065247694,4324
76561198006266182,4320
76561198013497822,4315
76561197997315547,4230
76561197960506187,4167
76561198026422886,4153
76561197997763525,4068
76561198030636321,3985
76561198028067698,3982
76561198039874575,3973
76561198071562241,3963
76561198058988942,3891
76561198078155697,3773
76561198069917737,3743
76561198060394438,3723
76561198050351855,3720
76561198065849983,3686
76561198017606662,3651
76561198050180095,3639
76561198073418471,3601
76561197987342242,3592
76561198070943489,3573
76561198048071301,3565
76561198018542159,3544
76561198001919635,3502
76561198070599947,3449
76561198048240622,3447
76561198054544727,3443
76561198118965684,3396
76561198067070151,3385
76561198060013208,3376
76561198085158205,3317
76561198046685572,3305
76561198057987262,3275
76561198077729205,3264
76561198056652803,3250
76561198060279348,3242
76561198044815438,3230
76561198042738965,3218
76561198070081938,3181
76561198050414588,3163
76561197995744107,3155
76561198043739342,3138
76561198090558642,3095
76561197969792821,3092
76561197996008930,3091
76561197993144047,3088
76561198065923342,3077
76561198045154208,3044
76561198047363411,3013
76561198093804988,3008
76561198025951697,2985
76561198028331843,2982
76561197972482791,2963
76561198103540275,2955
76561197978008006,2948
76561198045533162,2913
76561198023093635,2909
76561198050575580,2879
76561197984191985,2874
76561198017084645,2857
76561198034390460,2854
76561198045507259,2852
76561198055883765,2852
76561198042491778,2851
76561198009318462,2846
76561198043171648,2824
76561197997118766,2824
76561198035567225,2796
76561198060068927,2773
76561198068900778,2767
76561198031127961,2748
76561198045733466,2720
76561198040930407,2706
76561198036645840,2697
76561198004357952,2693
76561198039631435,2672
76561198061247255,2657
76561198025037215,2645
76561198010150166,2634
76561198014171981,2626
76561198024832751,2625
76561198055325714,2605
76561198069799740,2601
76561198067938749,2597
76561198067657059,2593
76561198069472808,2578
76561198047649856,2526
76561198083376561,2522
76561198094065803,2517
76561198040132688,2512
76561198033539928,2494
76561198071629521,2484
76561198059553646,2483
76561198007282725,2481
76561198077686622,2478
76561198018423967,2474
76561198033806720,2464
76561198036161390,2457
76561198082027703,2434
76561198073553679,2433
76561198046756547,2408
76561198063197045,2405
76561198084308864,2388
76561198025212575,2372
76561198069412017,2371
76561198047717614,2368
76561197999260341,2355
76561198059279530,2339
76561198080082471,2334
76561198011445956,2330
76561197995176045,2325
76561197999483873,2324
76561198033779273,2317
76561198051799142,2310
76561198066018289,2297
76561198056162118,2270
76561198107979766,2269
76561198095132561,2260
76561198067812801,2250
76561198054421576,2244
76561198043816164,2236
76561198055307813,2236
76561198018908514,2222
76561198067952066,2195
76561198022701298,2182
76561198049620986,2179
76561198045940593,2176
76561198059244996,2173
76561198040768070,2172
76561198070328286,2167
76561198087756673,2166
76561198046829878,2155
76561198061531823,2151
76561198041277935,2151
76561198023122390,2147
76561198042492630,2142
76561198074396411,2141
76561198023231112,2140
76561198054746157,2129
76561198085656859,2117
76561198064119677,2105
76561198001638037,2077
76561198086299062,2053
76561197990408423,2053
76561198054612606,2051
76561198068727361,2049
76561198085556273,2048
76561198054371658,2048
76561198027522403,2037
76561198040363988,2032
76561198048728509,2015
76561198037582443,2010
76561198064959799,2007
76561198035358039,1987
76561198057637896,1983
76561197963870886,1982
76561198090628232,1975
76561198054151692,1964
76561198000190288,1959
76561198017903548,1955
76561198059639562,1947
76561197999962991,1935
76561198024064617,1930
76561198074562599,1920
76561198036742516,1918
76561198012604792,1915
76561198050315162,1909
76561198039821585,1901
76561198055336474,1899
76561197994390234,1892
76561197997052702,1877
76561198026231217,1876
76561198025199025,1870
76561198004624665,1870
76561198014608114,1866
76561198081332337,1856
76561198047185525,1855
76561198077816464,1838
76561198086462585,1834
76561198066761205,1833
76561198046813126,1828
76561198062243753,1825
76561198066866281,1819
76561198077662747,1813
76561198081402558,1799
76561198085329154,1796
76561198011705037,1795
76561198067494712,1794
76561198076362383,1790
76561198041823841,1789
76561197995568158,1786
76561198065002838,1786
76561198046657821,1779
76561198059687929,1775
76561198036284794,1774
76561198038794506,1774
76561198051511620,1773
76561198047177419,1764
76561198074260666,1756
76561198067315765,1755
76561198044965372,1748
76561198056660442,1745
76561198094442489,1744
76561197990849455,1742
76561198040694818,1740
76561198015332461,1731
76561198076209538,1724
76561198048573099,1723
76561198046118971,1709
76561198081631721,1709
76561198031653714,1701
76561198040495746,1701
76561198064372862,1699
76561198142338022,1694
76561198072893556,1687
76561198070346058,1680
76561198058553589,1664
76561198094799702,1664
76561198024446508,1664
76561198046656291,1656
76561198017609099,1655
76561198071801438,1649
76561198051715280,1643
76561198041181198,1640
76561198053524100,1640
76561198068500978,1636
76561198025234500,1631
76561198000698397,1631
76561198057671421,1622
76561198041624506,1617
76561198053184246,1617
76561198018109064,1615
76561198040493808,1601
76561198042598239,1599
76561198086316431,1598
76561198037043406,1588
76561198057471883,1585
76561198002196490,1583
76561197989615671,1575
76561197993541487,1570
76561198045146504,1563
76561198041543188,1549
76561198058542025,1548
76561198026487694,1547
76561198081498963,1544
76561198018426986,1544
76561198014969917,1539
76561198066416488,1535
76561198011840809,1533
76561198046505159,1530
76561197966936422,1527
76561198027793491,1527
76561198063916425,1523
76561198023153321,1521
76561198062285231,1512
76561198026962221,1510
76561198039045887,1502
76561197994104666,1501
76561198072840422,1493
76561198056126521,1490
76561198038910945,1483
76561198075266395,1479
76561198081443272,1479
76561198055372831,1475
76561198046577732,1475
76561198054984969,1473
76561198051702977,1470
76561198070855384,1465
76561198036448748,1457
76561198047246195,1449
76561198073589985,1448
76561198083176849,1446
76561198059991046,1443
76561198062423758,1441
76561198022744981,1438
76561198041059574,1433
76561198022808464,1428
76561198075965698,1427
76561198064442033,1423
76561197970571857,1419
76561198076358012,1411
76561198063370792,1410
76561198049608539,1408
76561198030821069,1407
76561197960699002,1405
