steam_id,playtime_forever
76561198053443436,2570
76561198047095349,1292
76561197997503342,955
76561198066174858,395
76561197998394060,235
76561198048637557,90
76561198023970586,65
76561198063469669,63
76561198015460867,59
76561197996188613,50
76561198014843991,47
76561198077667194,46
76561198099249567,45
76561198073855426,27
76561198001696747,21
76561197997824340,13
76561198028509438,13
76561198055372831,10
76561198067596615,6
76561198090227095,3
76561197970477680,1
76561198099328121,1
76561197985019267,0
76561198031628859,0
