steam_id,playtime_forever
76561198061797577,690032
76561198034699157,650728
76561198041627248,457103
76561198050414588,454132
76561198063368177,444077
76561197970545566,415472
76561198049502185,383249
76561198065113275,381421
76561198027406146,371328
76561198034392454,369597
76561198054840158,355481
76561198006894551,338668
76561198020007189,335036
76561198069163682,324481
76561198011104822,321573
76561197978756659,316786
76561198042946392,315819
76561198063378113,297606
76561198020704738,288526
76561198030902576,280064
76561198013018363,278963
76561198046914681,278736
76561198040933995,269751
76561197964218274,266607
76561198032466454,261802
76561198010504634,261721
76561198075582003,259875
76561198062580329,259304
76561198081845576,258194
76561198074971185,254024
76561198120814021,248816
76561198084123358,246357
76561198050447337,246130
76561198064204725,246016
76561198050036727,245600
76561198045937656,244976
76561198072541900,242815
76561198060407701,241461
76561197992542501,240193
76561198004054009,235869
76561198062906945,230018
76561198027465443,226882
76561198073043666,224628
76561198060969570,222508
76561198069097465,221769
76561198045982709,220540
76561198074736789,219254
76561198047177419,218192
76561198008335925,216215
76561198017652574,214556
76561198007282725,210100
76561198040343815,209863
76561198062646700,208431
76561198061354183,207043
76561197971188713,206778
76561198076139836,205744
76561198063076399,204486
76561198006585818,203761
76561198058225280,201440
76561198056359647,201414
76561197980583328,201284
76561198040016388,201160
76561197998612669,199425
76561198073775164,197984
76561198098426469,195138
76561198053805031,194357
76561198017188398,193994
76561198013368753,193921
76561198061034622,193185
76561198049972308,192956
76561198073607481,192581
76561198123168383,192189
76561198044184931,191233
76561198166194627,191120
76561198055359120,190993
76561198053180471,186858
76561197965966319,186353
76561197980907431,185900
76561198031248956,185672
76561198034215364,185321
76561198043711805,182862
76561197992800166,180560
76561198017487896,180477
76561197996953244,180080
76561198039817744,179233
76561198104235208,177719
76561198030914302,176650
76561198056684843,175413
76561198068418253,174501
76561198060447950,173643
76561198017237313,172146
76561198110293299,171901
76561198008067943,171511
76561198106868220,170917
76561198074358406,170273
76561198011533373,170141
76561198049216153,169911
76561198082068725,169566
76561198088687428,169290
76561198067260562,168353
76561198049856227,168112
76561198051911068,168092
76561197961745322,167412
76561198070787778,166949
76561198048365924,166234
76561198098418019,165797
76561198057253097,165761
76561198084812506,164416
76561198068397506,162592
76561198064197054,161545
76561198035028050,160266
76561198032289648,159934
76561198062597659,159680
76561198139551265,159503
76561198060469849,159417
76561197987109775,158249
76561198126500843,157606
76561198065273523,157382
76561198045216135,156838
76561197991098498,156246
76561197999429998,155806
76561198045475636,155231
76561198099179071,154083
76561198092006045,154076
76561198005853531,154062
76561198146831507,153697
76561198081938549,153536
76561198029976254,153381
76561198009002691,152697
76561198042422937,152656
76561198007208545,152338
76561198080682662,151887
76561198040031161,151656
76561198002212023,151539
76561198017664218,151206
76561198084066563,150962
76561198091387316,150500
76561198009327891,150464
76561198068866981,150173
76561198084127598,149760
76561198111193351,148531
76561198052920628,148019
76561198091258238,147416
76561197995195311,146314
76561198046140324,146205
76561198027593516,145631
76561198052850911,145598
76561198078000790,145217
76561197983919187,144119
76561198074407307,143486
76561197972797551,143345
76561198090327032,141259
76561197977767929,141182
76561198059955576,140644
76561197987307155,140097
76561198044126089,139803
76561198084786214,139717
76561198076094895,139174
76561197987012989,139165
76561198067853837,139020
76561198080212500,138869
76561198002971300,138814
76561198022356694,138794
76561198041681725,138572
76561198060385675,138281
76561198071882090,137546
76561198056640962,137469
76561198049440934,137119
76561198090561761,136692
76561198043781609,136623
76561198056716664,136593
76561198104882368,136583
76561198073744900,136539
76561198047697394,136078
76561198063100139,135763
76561198035602276,135708
76561197975079056,135417
76561198056970554,135227
76561198080917966,135051
76561198091937173,134988
76561198031162093,134431
76561198036736458,133967
76561197983944271,133878
76561198089848099,132954
76561197987219262,132466
76561198004276410,132195
76561198036141506,131897
76561197996529940,131812
76561197993263354,131716
76561198099905030,131693
76561198046436774,131632
76561197985019267,131534
76561198072155632,131418
76561198038741062,131191
