steam_id,playtime_forever
76561198006995190,180406
76561198056277856,168314
76561198061028312,133078
76561198005620005,108341
76561198027455361,76617
76561198068092525,74389
76561198044283501,67896
76561198059330972,66104
76561198081786584,60076
76561197987065774,55834
76561198030769891,52623
76561198039701203,48301
76561198058007906,46976
76561198004311251,43390
76561198089082829,42357
76561198063899231,42126
76561198069670336,41256
76561197970582291,40925
76561198064692010,39428
76561198035202077,36088
76561198049279838,33699
76561198087466439,33271
76561198045797718,32818
76561198045583398,30390
76561198082325305,29518
76561198066892282,29475
76561198057982190,29221
76561198044738808,29129
76561198057998681,28942
76561198004673788,28331
76561198062737330,28114
76561198007165405,27826
76561198069145498,26042
76561198081026741,23605
76561198048914936,23234
76561198057220133,23108
76561198056633646,21149
76561198067674227,20604
76561198072653652,19864
76561198043909770,19610
76561198026810952,19480
76561197996426598,19404
76561198012909706,18779
76561198017140286,16510
76561198047821082,15562
76561198029817505,15420
76561197990451246,15370
76561198066968708,14977
76561197995850655,14828
76561198064822652,14628
76561198029681660,14588
76561198014947498,14584
76561198015680666,14300
76561198048708552,14285
76561198048526408,14157
76561198009846599,13979
76561198092968810,13875
76561198031840883,13439
76561198045790068,13354
76561198048948026,13340
76561198046118971,12998
76561198045833405,12703
76561198082227157,12544
76561198024776356,12395
76561197963549028,12385
76561198000345791,12314
76561198064395261,12193
76561198046864121,11972
76561198000740110,11805
76561198047470321,11680
76561198060601367,11454
76561197992280471,11180
76561198025536901,11046
76561198045154816,10998
76561198043028094,10893
76561198085234559,10826
76561197992427444,10596
76561198068156317,10340
76561198032794297,10112
76561198018553225,10055
76561198081340023,9845
76561197989691928,9788
76561198043530022,9691
76561197967787808,9682
76561198072029747,9595
76561197996884569,9462
76561198048313808,9449
76561198033824559,9387
76561198063401601,9376
76561198106878606,9350
76561198040091426,9342
76561198028583056,9244
76561198047695661,9204
76561197962929275,9204
76561198044652825,9077
76561198108946181,9000
76561198006994190,8973
76561198083084460,8971
76561197969049193,8947
76561198037521552,8918
76561198045897764,8903
76561198072402565,8777
76561198047701821,8742
76561198003772075,8613
76561198059318735,8544
76561198024001992,8512
76561198052737632,8477
76561198072745658,8404
76561198089123722,8396
76561198066272265,8317
76561198050953564,8210
76561198065438445,8210
76561197960798335,8115
76561198042649425,8042
76561198067997800,7927
76561198065879826,7775
76561197960888883,7769
76561198075965698,7577
76561198041193864,7560
76561198034392042,7429
76561198043909573,7409
76561198052190360,7320
76561198040150405,7315
76561198070005881,7302
76561198007104288,7299
76561198050613769,7278
76561198012692998,7263
76561198039119848,7259
76561198054378776,7235
76561198068016538,7178
76561198046186008,7129
76561198059273758,7098
76561198077370213,7073
76561198039312374,7065
76561198046664381,7008
76561198035893080,6984
76561198031147214,6978
76561198053277538,6966
76561198042022376,6908
76561198081715961,6892
76561198037810633,6873
76561198061663176,6813
76561198056652803,6785
76561198058816627,6733
76561197999240770,6725
76561198066582410,6702
76561198013466123,6696
76561198061589633,6693
76561198070335606,6641
76561198325096636,6597
76561197989113830,6589
76561198044610496,6456
76561198035999413,6397
76561197972880792,6320
76561198012076358,6281
76561198118697312,6224
76561198069840992,6192
76561198060530665,6173
76561198062099971,6075
76561198056504388,6006
76561198031480846,6003
76561198053787183,5988
76561198000537256,5975
76561198003428090,5975
76561198075840135,5955
76561198051264384,5945
76561198031950514,5909
76561198143334950,5851
76561198066955730,5806
76561198043508283,5797
76561198045791276,5647
76561197970977029,5614
76561198009433842,5601
76561197967174031,5591
76561198088032782,5590
76561198061138119,5586
76561198071388587,5571
76561198054209156,5569
76561198048235993,5481
76561198044042926,5420
76561198042345839,5363
76561198015275299,5362
76561198063361762,5348
76561198054371024,5332
76561198081192717,5303
76561197999613236,5294
76561198097574493,5293
76561198016823310,5278
76561198044286355,5268
76561198024493161,5263
76561198063421739,5236
76561198052929892,5226
76561198041784529,5223
76561198032474845,5104
76561198047095349,5072
76561198058160546,5061
76561198048427519,5041
76561198058124455,5024
76561198040912942,5018
76561198052846013,5002
76561198064199288,4997
76561197960568744,4954
76561198073069438,4950
76561198120475353,4947
76561197996403460,4923
76561198132903596,4913
76561198007150650,4897
76561198064117191,4894
76561198031386080,4860
76561198005620116,4840
76561198068431036,4824
76561198053503995,4767
76561198026913148,4753
76561198074505576,4737
76561198057262001,4720
76561198041676366,4689
76561198070484410,4677
76561198051718942,4641
76561198050718261,4627
76561198069995506,4601
76561198019449175,4599
76561198090768760,4582
76561198052415115,4520
76561198036070181,4503
76561198044499654,4499
76561198011533373,4488
76561197994608614,4434
76561198035814564,4434
76561198033128189,4413
76561198083375450,4366
76561198066797821,4353
76561198078302338,4347
76561198065247694,4324
76561198062471632,4322
76561198006266182,4320
76561198067276330,4317
76561198013497822,4315
76561198026012025,4288
76561198062566313,4273
76561198020133414,4229
76561198083947153,4220
76561197997315547,4168
76561197960506187,4167
76561198026422886,4153
76561198055340148,4145
76561198064979196,4143
76561198038477932,4141
76561198156591174,4123
76561197970564661,4102
76561198081205514,4079
76561197997763525,4068
76561198062539832,4047
76561198069917737,4042
76561198052761252,3997
76561198012683653,3987
76561198031589482,3986
76561198030636321,3985
76561198028067698,3982
76561198061770996,3979
76561198039874575,3973
76561198043001767,3972
76561198071562241,3963
76561197990880154,3939
76561198040657197,3937
76561198058988942,3891
76561198069077711,3881
76561198071259746,3878
76561198078155697,3864
76561198041229846,3855
76561198040694818,3837
76561198033628583,3774
76561198082036926,3753
76561198000587831,3743
76561198062225911,3733
76561198060394438,3723
76561198050351855,3720
76561198068316897,3693
76561198053382774,3654
76561198050180095,3639
76561198006267245,3633
76561198004448633,3620
76561198042966858,3614
76561197989751481,3612
76561198053123140,3610
76561198042019784,3601
76561198073418471,3601
76561198063598007,3593
76561198051799142,3587
76561197970660574,3578
76561198070943489,3573
76561198048071301,3565
76561198063497777,3556
76561198068153798,3543
76561197966878140,3542
76561198063319561,3521
76561197999659750,3513
76561198001919635,3502
76561198008608656,3477
76561198077806036,3471
76561198018065970,3468
76561198065849983,3461
76561198065755282,3461
76561198019521027,3458
76561198070599947,3449
76561198048240622,3447
76561198059966696,3443
76561198046097024,3434
76561198054544727,3419
76561198088679461,3416
76561198059519080,3415
76561197987342242,3403
76561198067070151,3385
76561198060013208,3376
76561198033226497,3351
76561198024539037,3329
76561198004791440,3324
76561197981240840,3319
76561198085158205,3317
76561198041473324,3315
76561198046685572,3305
76561198005778772,3298
76561198041669674,3292
76561198037009387,3279
76561198057987262,3275
76561198077729205,3264
76561198057707533,3253
76561198091646383,3244
76561198060279348,3242
76561198044815438,3230
76561198060068927,3228
76561198064536870,3208
76561198058473103,3206
76561198040344081,3202
76561198043532486,3182
76561198070081938,3181
76561198031628859,3180
76561198025198077,3179
76561198050414588,3163
76561197995744107,3155
76561198026372404,3151
76561198063051079,3151
76561198043739342,3138
76561198020928326,3129
76561198044143080,3105
76561198113534022,3100
76561198090558642,3095
76561197969792821,3092
76561197996008930,3091
76561197993144047,3088
76561198018542159,3086
76561198050551794,3066
76561197972482791,3057
76561198045154208,3048
76561198056660442,3022
76561198047363411,3013
76561198030768353,3012
76561198093804988,3008
76561198065923342,2988
76561198025951697,2985
76561198057747700,2974
76561197962028169,2971
76561198083383767,2964
76561198031692988,2962
76561197978008006,2948
76561198070062057,2943
76561198019783872,2920
76561198055372831,2914
76561198045533162,2913
76561198023093635,2909
76561198025720387,2892
76561198127618506,2876
76561197984191985,2874
76561198066671326,2871
76561198009318462,2863
76561198017084645,2857
76561198034390460,2854
76561198042491778,2852
76561198045507259,2852
76561198078212818,2846
76561198055883765,2831
76561198043171648,2824
76561198034839917,2818
76561198070154803,2810
76561198049531240,2808
76561198076184297,2807
76561198040930407,2803
76561198065040988,2789
76561198039483707,2784
76561198068494125,2776
76561198044634932,2768
76561198068900778,2767
76561198094065803,2764
76561198057802660,2761
76561198038487063,2757
76561198059707959,2752
76561198025212575,2749
76561198031127961,2748
76561198060517829,2744
76561198041134186,2740
76561198081687235,2722
76561198045266254,2721
76561198045733466,2720
76561198055307813,2711
76561198096239735,2705
76561198031391972,2692
76561198051579252,2685
76561197997118766,2682
76561198050575580,2677
76561198065446618,2674
76561198039631435,2672
76561198163120840,2667
76561198038995719,2664
76561198004357952,2664
76561198061247255,2657
76561198025037215,2645
76561198058507679,2643
76561198010150166,2634
76561198074912402,2632
76561198024832751,2625
76561198047524368,2618
76561198081938549,2612
76561198074113907,2608
76561198055325714,2606
76561198069799740,2601
76561198053145578,2598
76561198073692220,2595
76561198067657059,2593
76561198065278114,2575
76561198028331843,2561
76561198035567225,2559
76561198093768306,2557
76561198014171981,2556
76561198033807790,2542
76561198041127725,2533
76561198119335225,2529
76561198047649856,2526
76561198026735838,2525
76561198083376561,2522
76561198073964669,2513
76561198080148447,2512
76561198011920971,2511
76561198075300723,2500
76561198069472808,2494
76561198033539928,2494
76561198149193507,2491
76561198035025987,2489
76561198052029872,2485
76561198071629521,2484
76561198059553646,2483
76561198069351753,2482
76561198007282725,2481
76561198077686622,2479
76561198018423967,2474
76561198072840422,2470
76561198038872981,2465
76561198033806720,2464
76561198007060849,2461
76561198044600700,2447
76561198044939256,2445
76561198082027703,2435
76561198073553679,2433
76561198067938749,2426
76561198057389121,2411
76561198046756547,2408
76561198123972572,2407
76561198063197045,2405
76561198067452383,2402
76561198139282911,2400
76561198077583455,2396
76561198038178954,2391
76561198084308864,2388
76561198086878953,2377
76561198069412017,2371
76561198047717614,2368
76561197999260341,2355
76561198118965684,2352
76561198077271876,2349
76561198006225175,2348
76561198041881075,2348
76561198061295721,2340
76561198080082471,2334
76561197995176045,2330
76561198055786387,2318
76561198033779273,2317
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561198067812801,2283
76561198056162118,2270
76561198107979766,2269
76561198059470791,2268
76561198095132561,2265
76561198059279530,2256
76561198044363267,2251
76561198054421576,2244
76561198043816164,2236
76561198037745745,2231
76561198018908514,2222
76561197985576649,2197
76561198067952066,2195
76561198036736458,2190
76561198022701298,2182
76561198064936176,2181
76561198045940593,2176
76561198087912023,2175
76561198043070022,2173
76561198059244996,2173
76561198040768070,2172
76561198071592261,2170
76561198089455336,2167
76561198070328286,2167
76561198087756673,2166
76561198067257274,2156
76561198167039546,2155
76561198046829878,2155
76561198100668404,2154
76561198041277935,2151
76561198023122390,2147
76561198042492630,2142
76561198061531823,2141
76561198023231112,2140
76561198006206678,2139
76561198082881423,2135
76561198053863598,2131
76561198020233399,2130
76561198054746157,2129
76561198042065834,2127
76561198066416488,2126
76561198071681706,2122
76561197961465709,2119
76561198085656859,2117
76561198003549970,2116
76561198064119677,2105
76561198027110664,2102
76561197991572011,2096
76561198066018289,2094
76561198158720137,2085
76561198036161390,2080
76561198042424819,2074
76561198095005075,2073
76561198073837578,2070
76561198054206617,2060
76561198011303167,2054
76561198027553209,2048
76561198054371658,2048
76561198085556273,2048
76561197990408423,2045
76561198035067790,2045
76561198048354078,2043
76561198027522403,2037
76561198040363988,2032
76561198001638037,2030
76561198015460867,2028
