steam_id,playtime_forever
76561198036063257,1184
76561198075055875,758
76561198011218089,625
76561198051715280,453
76561198018556361,425
76561198041823841,321
76561198041417698,286
76561198093624679,166
76561198061375313,131
76561198007539695,108
76561198061531823,107
76561198071430243,94
76561198042237966,85
76561198060787863,82
76561198057921996,65
76561197998873955,64
76561198044508924,59
76561198087786125,58
76561197970580235,43
76561198023093635,25
76561197983066077,15
76561198095226109,9
76561198042966858,8
76561197974522156,5
76561198048123785,0
76561198047524368,0
76561197960435530,0
