steam_id,playtime_forever
76561198057685527,13808
76561198035644871,3951
76561197970528472,2856
76561198049514509,2732
76561198066992387,2091
76561197983457049,1796
76561198112402475,1663
76561197968515942,1404
76561197995207074,1220
76561197963554381,1133
76561197995582723,1086
76561198064632090,1058
76561198030129600,947
76561198076019258,905
76561197962929275,878
76561198053795491,833
76561197969938407,770
76561197998873955,768
76561197962532359,760
76561198046813126,634
76561198019294407,622
76561198020172660,613
76561198025594855,535
76561197997860947,496
76561198071263038,488
76561198138390863,478
76561198041111114,476
76561197990023750,475
76561198006893092,437
76561197978837955,424
76561197994390234,423
76561198011218089,392
76561198062232099,377
76561198038659583,370
76561198044783305,346
76561197967723333,345
76561198052864248,333
76561198075427390,330
76561198087066156,321
76561198003167470,306
76561198021710409,293
76561198102767019,292
76561198005738944,292
76561198042182944,290
76561198044277845,289
76561197992267436,289
76561198000537256,280
76561198067219635,280
76561198001518866,275
76561198040791634,272
76561197993988187,272
76561198120863188,266
76561198056642300,260
76561198040255872,251
76561197988411069,249
76561198078075495,225
76561197995163667,225
76561198004998420,222
76561198063327016,210
76561197968436663,208
76561197972303841,201
76561198093166360,198
76561198005477736,189
76561198042776645,188
76561198049116471,186
76561198038148907,185
76561198048151962,182
76561197976668781,179
76561197970545566,176
76561198041582030,173
76561198012778932,172
76561198033923602,170
76561197995897533,166
76561198124293283,161
76561198055555174,157
76561197991677902,157
76561198032587130,153
76561198053963927,152
76561198044920564,152
76561198070177879,150
76561198145408927,149
76561197996400788,148
76561197971857001,146
76561197996590082,146
76561197989380469,133
76561197964092053,129
76561198007352599,125
76561198119472780,124
76561197991787618,123
76561197992236665,122
76561198046109277,120
76561198024764182,118
76561198036745107,108
76561198065832034,102
76561198012050762,100
76561198059101200,98
76561197963443099,97
76561198075300723,95
76561198041730036,90
76561198013018363,75
76561198036311033,75
76561197967272400,72
76561198021611368,71
76561197967174031,70
76561198046097024,68
76561198028583056,64
76561198000554821,63
76561197991836307,62
76561197970937211,62
76561198003811382,61
76561198002557471,59
76561197971077817,59
76561198063100139,57
76561197971399999,56
76561198071418758,52
76561198042148642,52
76561198044508924,51
76561197974522156,51
76561198105967393,49
76561198054776845,48
76561198016610271,47
76561198030947939,46
76561198010803705,46
76561198019040043,43
76561198059180662,43
76561197977525575,43
76561197966936422,40
76561198036409929,37
76561198006541747,34
76561198044383266,33
76561198050762093,33
76561197984331196,33
76561198040569763,33
76561197985019267,31
76561198047296721,30
76561198063489755,30
76561198064374976,28
76561198041637400,26
76561198018065970,26
76561198044198059,25
76561198039900276,25
76561198050953564,22
76561198045123168,22
76561198035705663,20
76561197961112434,19
76561197983066077,19
76561197964542243,18
76561198041121765,18
76561198033257130,17
76561198030424566,16
76561198000190288,15
76561197970535618,15
76561198067276330,15
76561197998501640,14
76561197980614542,14
76561198045316032,14
76561198055695175,13
76561198061962799,11
76561197971725163,10
76561198019536464,10
76561197971859273,10
76561198006493531,8
76561198038762356,8
76561198025198077,8
76561198065322037,6
76561198046758071,6
76561198042410388,5
76561198066666059,2
76561197983589335,2
76561198074278130,1
76561198014722276,1
76561198093768306,1
76561198066708402,0
76561198078844628,0
76561198108946181,0
76561198156776848,0
76561198091853107,0
76561198077431827,0
76561198087114726,0
76561198118965684,0
76561198071029382,0
76561198067596615,0
76561198081715961,0
76561198079090957,0
76561198067911521,0
76561198070585472,0
76561198086791425,0
76561197960304530,0
76561198061342197,0
76561198055330674,0
76561197998612669,0
76561197998047221,0
76561197995792780,0
76561197993263354,0
76561197992166703,0
76561197992006300,0
76561197991699268,0
76561197988455997,0
76561197982807200,0
76561197980065584,0
76561197976039320,0
76561197973942698,0
76561197971119511,0
76561197971078579,0
76561197969324150,0
76561197967469174,0
76561197962028169,0
76561197999587329,0
76561198000776667,0
76561198003595118,0
76561198042738965,0
76561198052912739,0
76561198050092449,0
76561198048304842,0
76561198047524368,0
76561198046036119,0
76561198044387084,0
76561198043908115,0
76561198033892985,0
76561198007745188,0
76561198033060740,0
76561198032588319,0
76561197960435530,0
76561198028008677,0
76561198016210796,0
76561198011740444,0
76561198011372474,0
76561198226523644,0
