steam_id,playtime_forever
76561198026308363,23316
76561198083375450,16133
76561197995725436,14099
76561198001368533,12682
76561198055373462,7625
76561198062737330,7235
76561198086298637,7151
76561198080696168,6912
76561198052029872,6836
76561197989192658,6447
76561198059424139,6422
76561197969418604,6337
76561198006267245,6076
76561197981448997,5970
76561197967527221,5847
76561198070335606,5609
76561198044425019,5298
76561198042649425,4996
76561198041059722,4876
76561197965127789,4856
76561197995207074,4716
76561198066312344,4616
76561198076542620,4563
76561198053336377,4308
76561198048588318,3971
76561198042802930,3902
76561198058124455,3882
76561198078317972,3877
76561198053567652,3674
76561198084686700,3577
76561198030769891,3496
76561198055609345,3448
76561197972956204,3434
76561198000529676,3314
76561198060777210,3313
76561198057982190,3205
76561197972261430,3159
76561198066272265,3086
76561198050543795,3067
76561197992223080,3046
76561198060546521,2935
76561198049812647,2875
76561198074505576,2869
76561198047821082,2851
76561197992790030,2843
76561197975513866,2834
76561198048526408,2824
76561198064692010,2691
76561198034567618,2677
76561198042148642,2662
76561198027455361,2653
76561197973942698,2649
76561198051159072,2641
76561198041993231,2549
76561198046710527,2545
76561198118965684,2424
76561198117186114,2408
76561198038837191,2327
76561198073837578,2295
76561198081026741,2287
76561197971128924,2284
76561198070647134,2269
76561198091758520,2231
76561198059017416,2229
76561197993871194,2227
76561198041676366,2223
76561198003772075,2220
76561198078245798,2181
76561198042065834,2131
76561197992364773,2053
76561198056277856,2036
76561197960870264,2035
76561198029207370,2000
76561198026057283,1982
76561198051518356,1974
76561198048053827,1950
76561198006735420,1943
76561197961524262,1935
76561197994831363,1935
76561198072831321,1910
76561198074227021,1899
76561198057105415,1871
76561198018539675,1852
76561198004584008,1811
76561197970735456,1768
76561198063642035,1765
76561198074056771,1763
76561198058624929,1757
76561198069616193,1757
76561198064622894,1749
76561198127849339,1725
76561198035515676,1721
76561198035363871,1716
76561198035814564,1699
76561198020745022,1695
76561198071635721,1690
76561198043497735,1674
76561198009177886,1654
76561198043505113,1654
76561198048934899,1639
76561198049213764,1635
76561197970937211,1624
76561198110608348,1616
76561198045291703,1598
76561197970758033,1569
76561198060068927,1562
76561198057747700,1551
76561198065431100,1548
76561198045506687,1525
76561198044508924,1512
76561198052503456,1497
76561198039050385,1460
76561197990880154,1447
76561198042163355,1446
76561198072862795,1437
76561198070005881,1436
76561197992618958,1429
76561198018872195,1397
76561198033277907,1387
76561197995850655,1368
76561198080354888,1357
76561198033467946,1341
76561198006310538,1328
76561198007150650,1305
76561198044948113,1298
76561197992074352,1296
76561198070205647,1260
76561197967272400,1241
76561198067329668,1231
76561197977767389,1204
76561197975296603,1188
76561198050613769,1187
76561198045656221,1175
76561198056194879,1151
76561198045638432,1139
76561198079621961,1129
76561198143242417,1114
76561197996055003,1105
76561198045972083,1103
76561198075951018,1102
76561197986308220,1092
76561198059167447,1079
76561197962775018,1079
76561197985239253,1075
76561198040252070,1074
76561198029825981,1072
76561198025720387,1057
76561198051844298,1021
76561198064426384,1000
76561197993305750,996
76561197979552509,989
76561198058807373,980
76561198091912327,980
76561198100782616,979
76561198077287548,974
76561198065691714,970
76561198040099619,967
76561198034471935,963
76561198068004298,959
76561198010271990,954
76561198065654752,937
76561198036637508,931
76561198009605382,924
76561197982647299,917
76561197992532442,913
76561197966936422,906
76561197999005757,886
76561198026264851,885
76561198059976332,875
76561198035728786,863
76561197977547936,832
76561198071440599,826
76561198048003765,825
76561198096597324,794
76561198044411107,791
76561198007060849,782
76561198041241096,774
76561198065273523,766
76561198062908030,759
76561198018986283,754
76561197999240770,742
76561198039229372,735
76561198063082317,730
76561198025072353,726
76561198018596082,722
76561198028395652,714
76561198067276330,703
76561198047628185,703
76561198065670025,694
76561198002193575,692
76561198043898721,682
76561198030079998,671
76561198025496754,653
76561198027185480,652
76561197998610301,650
76561198030768353,648
76561197991288051,631
76561198071000902,626
76561198090595836,624
76561198083598589,618
76561197970535618,617
76561198106866138,612
76561198091177127,610
76561197961040696,602
76561198002197024,586
76561198032068207,584
76561198009608512,583
76561198091900187,582
76561198041665642,579
76561198043423140,573
76561198079216484,571
76561198025617086,570
76561198028758128,569
76561198061893332,564
76561198040094213,560
76561198056059059,560
76561198043504885,556
76561198063579807,555
76561198070092383,547
76561198028262673,546
76561198042017482,544
76561197990062171,538
76561197970953564,535
76561197966298550,532
76561197970708459,530
76561198009846599,529
76561198071382842,506
76561198021307778,500
76561198063105146,495
76561198006845828,494
76561198044143080,492
76561197973156896,492
76561198022405708,491
76561198043112708,487
76561198077343810,485
76561197974253442,483
76561198059707959,478
76561197972296753,477
76561198054472553,471
76561198074862825,470
76561197991572011,465
76561198049223407,457
76561198048708552,454
76561198074260666,452
76561197996433075,449
76561198032839157,440
76561197966878140,435
76561198081340429,434
76561198041359449,432
76561198024832751,432
76561197961465709,431
76561197997135462,429
76561197967174031,424
76561197993255329,415
76561197960461312,413
76561198080021401,403
76561197965262988,399
76561198021358289,396
76561198056314722,393
76561198057970266,390
76561198041445527,387
76561198064768752,380
76561198000734300,378
76561197961633679,377
76561198037009387,377
76561197979520990,372
76561198006532207,371
76561198052487616,359
76561198072898248,359
76561198058117223,358
76561198001518866,357
76561198081698325,357
76561198107928649,356
76561198053858460,356
76561198027546644,355
76561198001743414,352
76561197977470635,348
76561198069644815,347
76561198048752818,342
76561197961108717,341
76561197988133071,340
76561198069513853,337
76561197960798335,331
76561198000537256,330
76561197976718909,324
76561198075549707,324
76561198017492829,321
76561198033296797,321
76561198067997800,319
76561197970742964,319
76561198053865864,316
76561198036960789,315
76561198064596888,313
76561198004311251,311
76561198037334070,310
76561198024633064,310
76561198032466454,309
76561198028365433,309
76561197968314652,306
76561198095049646,305
