steam_id,playtime_forever
76561198024616768,34982
76561198042997251,14477
76561198034247949,5744
76561197997534851,5475
76561197973436231,4583
76561198026913148,4346
76561198010776633,4205
76561198107237059,4133
76561197967272400,3902
76561198042170355,3887
76561198110146481,3797
76561198066988024,3685
76561198072873426,3636
76561198102767019,3622
76561198083123539,3601
76561198052858682,3073
76561198033536322,3061
76561198063620984,3000
76561197969534642,2984
76561198045852928,2900
76561198070930126,2840
76561198011533373,2781
76561197995897533,2773
76561198001518866,2756
76561198014834244,2741
76561198089469037,2725
76561197991288051,2713
76561198008508666,2660
76561198043112708,2586
76561198053477104,2528
76561197992005814,2525
76561198060176226,2458
76561198060764817,2435
76561197997464959,2414
76561197976561718,2408
76561197993727896,2408
76561197977030679,2383
76561197995207074,2373
76561198061849254,2349
76561198019582682,2330
76561198052705581,2303
76561197973942698,2263
76561198072544900,2258
76561198046921587,2241
76561197971180788,2229
76561198014722276,2210
76561198086317601,2204
76561198005401123,2192
76561198009397624,2191
76561198067219635,2176
76561198057009427,2173
76561198001304010,2172
76561197970021062,2144
76561198095439219,2123
76561198019968924,2118
76561198027517385,2052
76561198041045887,2046
76561198055974384,2046
76561198008791765,2036
76561198012279276,2003
76561198065438445,1997
76561198019040043,1992
76561198029771387,1988
76561197970692869,1966
76561198001764894,1956
76561198047695685,1952
76561198036217162,1949
76561198048259980,1938
76561198044583838,1937
76561197962929275,1925
76561198069066487,1909
76561198062633972,1897
76561198047542758,1871
76561198072069909,1868
76561198016514671,1856
76561197995456100,1853
76561197982894197,1852
76561198042875707,1838
76561198028647700,1826
76561198040385787,1809
76561198033257130,1808
76561198068225657,1799
76561198058536812,1784
76561198034312627,1777
76561197979969685,1775
76561198043401005,1771
76561197997792190,1756
76561198064315518,1740
76561198016006736,1733
76561198065210744,1730
76561198067884266,1730
76561198025723695,1720
76561198047630149,1719
76561197998124833,1708
76561197963455626,1705
76561197982807200,1694
76561198014704426,1689
76561198025198217,1689
76561198072071661,1683
76561198017332178,1682
76561198075725954,1681
76561197987436659,1674
76561198020283976,1665
76561198054131489,1664
76561198040496545,1660
76561198131276487,1640
76561198081280497,1640
76561198160316683,1631
76561198082829464,1631
76561198086773875,1628
76561198067624906,1626
76561197970643572,1622
76561197974290157,1621
76561198009365001,1620
76561197998700419,1619
76561198050039841,1618
76561198078834242,1617
76561198068006290,1612
76561198043051703,1606
76561197989192658,1603
76561197971372464,1603
76561198009850976,1602
76561198030129600,1596
76561198015961053,1588
76561198005099973,1582
76561197998610301,1576
76561198041946727,1575
76561198045392689,1561
76561198051854806,1559
76561198038603588,1552
76561198047408020,1550
76561197970580235,1537
76561198004208798,1536
76561197999616192,1533
76561197987746856,1532
76561198002874708,1528
76561198063474717,1525
76561197970147684,1525
76561198013162357,1508
76561198032466454,1499
76561197983123822,1495
76561198063132866,1495
76561197961607107,1493
76561198060852416,1491
76561198051018164,1488
76561198077029675,1487
76561198008503422,1487
76561198007321782,1473
76561198098404536,1472
76561198073406155,1472
76561197976313504,1467
76561198056638934,1463
76561198033018249,1462
76561198004245030,1459
76561198101976562,1441
76561198055405859,1439
76561198068727361,1438
76561197968606273,1436
76561198017918666,1426
76561198047659670,1425
76561197970564661,1422
76561198043122030,1413
76561197970496656,1412
76561198008503537,1406
76561197992074352,1404
76561198049370253,1400
76561197993366142,1398
76561198080021401,1393
76561197987245915,1393
76561198050672797,1387
76561198026492654,1383
76561198066516564,1382
76561198096239381,1381
76561198012852825,1378
76561198052487616,1374
76561198058454220,1369
76561198021851822,1356
76561198018065970,1350
76561197985335942,1348
76561198038261594,1348
76561198129380421,1341
76561198012910757,1341
76561198022962630,1340
76561198038997293,1332
76561198001511234,1326
76561198081044774,1321
76561198033587695,1321
76561198023937069,1312
76561198044219201,1308
76561197981984391,1308
76561197960891010,1300
76561198042410388,1299
76561198097516242,1299
76561197978143756,1296
76561198076362217,1293
76561197970547076,1291
76561198032596179,1290
76561198065823528,1289
76561198025212405,1287
76561197970528472,1285
76561197970642656,1285
76561198015868573,1280
76561198008825050,1279
76561198075761442,1278
76561198050960184,1270
76561198060670870,1270
76561198068733081,1266
76561198030608680,1261
76561198163483521,1260
76561198056361591,1257
76561198105553962,1254
76561198090093819,1253
76561198062425854,1250
76561198064253920,1249
76561198043226468,1248
76561197992501342,1247
76561197984493764,1246
76561197993915600,1243
76561198116830906,1240
76561198081645767,1240
76561198027185480,1229
76561198058060403,1224
76561197968515942,1221
76561198068956371,1220
76561198194690223,1217
76561198026324076,1216
76561198039746024,1214
76561197979597804,1204
76561198004959772,1201
76561198020658257,1200
76561198019106125,1196
76561197972873385,1190
76561198074225023,1188
76561197978365270,1187
76561198061289587,1184
76561198076474887,1182
76561197976403309,1182
76561198075731936,1171
76561197971090890,1169
76561198046323951,1167
76561198035579456,1166
76561198093360199,1165
76561197972880601,1161
76561198055853962,1161
76561198053223691,1160
76561198103889275,1157
76561198058612935,1157
76561198039034164,1153
76561198046143052,1148
76561198075692062,1147
76561198101020908,1147
76561198089650922,1147
76561198104198790,1144
76561198026059219,1144
76561198063803700,1142
76561197960293499,1141
76561198006845828,1138
76561197992342851,1137
76561198013325968,1133
76561198044791151,1128
76561198059969798,1126
76561197996449288,1125
76561198038335577,1115
76561198014783455,1112
76561198081952984,1110
76561198032459795,1109
76561198041877085,1108
76561198047974364,1101
76561198009006994,1100
76561198056592176,1095
76561198064065810,1094
76561197999587329,1093
76561197983988146,1089
76561198004828258,1089
76561198051433352,1089
76561198064337328,1086
76561197980197205,1085
76561198005980985,1084
76561198072762747,1082
76561197987627104,1078
76561198069181280,1078
76561197990819502,1077
76561198028125915,1068
76561198026251418,1068
76561198047200102,1064
76561198045542486,1064
76561198259747598,1063
76561198081148066,1056
76561198090878710,1056
76561198035804388,1055
76561198066538895,1053
76561198095677540,1051
76561198000858871,1046
76561197970323756,1044
76561198065049670,1039
76561198046878306,1038
76561198013573604,1033
76561198093819999,1032
76561198027369154,1032
76561198077773578,1029
76561198084797489,1029
76561198004819239,1027
76561198023083411,1026
76561198016035361,1023
76561198075626434,1020
76561198028444233,1018
76561198068347804,1016
76561198006447627,1016
76561198040257934,1014
76561198035936789,1013
76561197989728414,1012
76561198031521972,1005
76561198045837630,1003
76561198072918366,1002
76561198004175258,1001
76561198017156387,1001
76561198008027099,998
76561198066832504,998
76561198060748207,995
76561198048304842,993
76561198203947177,991
76561198065956555,984
76561197999566657,981
76561197997129113,976
76561198026262657,971
76561198150949867,971
76561198042564906,969
76561198015673544,969
76561197970724420,967
76561198056059059,965
76561198013254835,962
76561198097097669,961
76561198045087864,959
76561198097038758,956
76561198048997063,956
76561198017428506,956
76561198025711760,951
76561198067651939,943
76561198008379752,943
76561198045883575,940
76561198073418523,937
76561197977547936,936
76561198085651643,936
76561198097237279,935
76561197974374627,933
76561198066541562,931
76561198070735789,923
76561198048435361,923
76561198025757334,922
76561198044128785,922
76561198046453547,921
76561198065337651,917
76561198075975078,914
76561198070494063,911
76561198055215320,910
76561198000899176,907
76561198045103916,905
76561198037183433,903
76561198021385720,902
76561198047016483,896
76561198104580761,896
76561198072696909,896
76561198010253391,896
76561198004673294,895
76561198007670817,894
76561197966922990,894
76561198099278832,893
76561198044520570,889
76561198077898598,884
76561198045318354,883
76561198040836421,883
76561198085750617,880
76561198016310828,880
76561198054363832,878
76561198065645160,877
76561198042938398,876
76561197982569975,875
76561198093552391,874
76561198084954002,870
76561198075252558,869
76561198002170343,865
76561197983005707,864
76561198018626128,864
76561198041862145,864
76561198016475503,861
76561198021060557,861
76561198057696881,858
76561197960277726,858
76561198058644465,856
76561198044237378,855
76561198068235954,853
76561198064242318,851
76561198027330526,849
76561198044535320,844
76561197999801635,844
76561198122215471,843
76561198105406034,841
76561198056102052,836
76561198040606844,834
76561197985576649,826
76561198058955982,823
76561198087353492,822
76561198057283425,821
76561198050010766,818
76561198064813230,817
76561198078194423,817
76561198020703719,816
76561197992681922,813
76561198056543650,812
76561198057689095,810
76561198052856344,806
76561197987875464,800
76561197966261750,800
76561198042685013,800
