steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,63277
76561198081786584,62113
76561198030769891,52524
76561198039701203,48037
76561198062737330,43948
76561198004311251,43390
76561198002380984,42667
76561198064692010,42659
76561198057982190,37270
76561197970758033,36103
76561198035202077,36088
76561198087466439,34231
76561198045797718,32818
76561197990880154,31471
76561198082325305,29518
76561198066892282,29475
76561198044738808,29129
76561198057998681,28942
76561198004673788,28331
76561198052029872,28122
76561198041784529,26781
76561198081026741,26195
76561198072653652,25266
76561198043909770,25026
76561198048588318,24449
76561198057220133,23108
76561198056633646,21149
76561198067674227,20604
76561198031840883,20123
76561198048526408,19854
76561198026810952,19480
76561197996426598,19404
76561198064622894,17857
76561198068156317,17057
76561198160559380,16748
76561198017140286,16510
76561198034523826,16243
76561198046118971,16066
76561198048708552,15773
76561197963549028,15449
76561198029817505,15420
76561197990451246,15370
76561198032794297,15111
76561198066968708,14977
76561198091646383,14974
76561197995850655,14828
76561198047821082,14768
76561198029681660,14588
76561198025536901,14460
76561198015680666,14300
76561198009846599,13979
76561198062313883,13705
76561198048948026,13340
76561198045833405,12703
76561198082227157,12544
76561198046864121,12466
76561198024776356,12395
76561198000345791,12314
76561198064395261,12193
76561198000740110,11805
76561197991572011,11587
76561198060601367,11466
76561198066272265,11460
76561197992280471,11180
76561198042649425,11150
76561197993871194,11084
76561198045154816,10998
76561198093768306,10995
76561198059017416,10977
76561198043028094,10893
76561197989691928,10573
76561198047470321,10559
76561197992427444,10533
76561198059318735,10514
76561198048313808,10494
76561197962775018,10482
76561198018553225,10055
76561198081340023,9845
76561198026308363,9783
76561198070005881,9714
76561197967787808,9682
76561198072029747,9595
76561198078913859,9518
76561198045707348,9440
76561198106878606,9350
76561198040091426,9342
76561198028583056,9244
76561198047695661,9204
76561197962929275,9204
76561198044652825,9077
76561198006994190,8973
76561198083084460,8971
76561198037521552,8918
76561198042065834,8887
76561198089123722,8878
76561198047701821,8742
76561198003772075,8613
76561198043530022,8558
76561198024001992,8512
76561198052737632,8477
76561197960798335,8115
76561198040150405,8097
76561198056504388,8009
76561198038995719,7952
76561198058742898,7937
76561198067997800,7927
76561197960888883,7769
76561198056211827,7566
76561198043505113,7556
76561198047065819,7542
76561198035814564,7537
76561198127849339,7466
76561198043909573,7409
76561198143334950,7382
76561198052190360,7320
76561198050613769,7278
76561198012692998,7263
76561198039119848,7259
76561198081715961,7138
76561198046186008,7129
76561198077370213,7073
76561197995725436,7071
76561198046664381,7008
76561198042022376,6908
76561198037810633,6873
76561198031147214,6867
76561198325096636,6865
76561198061663176,6813
76561198054209156,6797
76561198011739835,6733
76561198058816627,6733
76561198013466123,6696
76561198070335606,6641
76561198055775481,6561
76561198042148642,6555
76561197989113830,6551
76561198061589633,6538
76561198044610496,6456
76561198035999413,6397
76561197967174031,6390
76561197972880792,6320
76561198006142961,6289
76561198012076358,6272
76561198074477998,6239
76561198118697312,6224
76561198069840992,6192
76561198083598589,6100
76561198089153132,6040
76561197996403460,6018
76561198003428090,5975
76561198032474845,5947
76561198031480846,5937
76561198063421739,5904
76561197966936422,5830
76561198040099619,5825
76561197995207074,5816
76561198043423140,5752
76561198059273758,5679
76561198048427519,5674
76561198069552266,5655
76561198045791276,5647
76561198008608656,5609
76561198009433842,5601
76561198040233085,5587
76561198071388587,5571
76561198008342497,5510
76561198048235993,5480
76561198044042926,5420
76561198042345839,5363
76561198015275299,5362
76561198081192717,5303
76561198052929892,5263
76561198044286355,5261
76561198024493161,5227
76561198042856516,5166
76561198068431036,5088
76561198040694818,5036
76561198058124455,5024
76561197961465709,5018
76561198062908030,5014
76561198067453859,4976
76561198035571357,4970
76561197960568744,4954
76561198073069438,4950
76561198007150650,4897
76561198064117191,4894
76561198041445527,4870
76561198086370065,4861
76561198084623564,4854
76561198005620116,4840
76561198053503995,4767
76561198026913148,4753
76561198007060849,4752
76561198074505576,4737
76561198057262001,4720
76561198070484410,4677
76561198097574493,4642
76561198051718942,4641
76561198021923374,4607
76561198019449175,4567
76561198039874575,4555
76561198067276330,4533
76561198052415115,4520
76561198036070181,4503
76561198044499654,4499
76561198011533373,4488
76561198027553209,4480
76561197970564661,4441
76561197994608614,4434
76561198045133986,4405
76561198054371024,4378
76561198083375450,4366
76561198066797821,4353
76561198078302338,4347
76561198065247694,4324
76561198062471632,4322
76561198006266182,4320
76561198013497822,4315
76561198026012025,4288
76561198062566313,4273
76561197972261430,4220
76561198044747100,4204
76561198061177795,4183
76561197997315547,4168
76561197960506187,4167
76561198070009281,4155
76561198026422886,4153
76561197966648936,4144
76561198064979196,4143
76561198038477932,4140
76561198156591174,4122
76561197997763525,4068
76561198042019784,4066
76561198062539832,4047
76561198057747700,4046
76561198083947153,4019
76561198012683653,3987
76561198030636321,3985
76561198028067698,3982
76561198043001767,3972
76561198004278845,3964
76561198071562241,3963
76561198006267245,3946
76561198040657197,3937
76561198028699280,3930
76561198021307778,3897
76561198058988942,3891
76561198081148133,3879
76561198029571120,3856
76561198041229846,3855
76561197985576649,3823
76561198044508924,3808
76561198060068927,3803
76561198073837578,3793
76561198043504885,3789
76561198033628583,3785
76561198078155697,3773
76561198088397505,3758
76561198000587831,3743
76561198069917737,3743
76561198062225911,3733
76561198060394438,3723
76561198050351855,3720
76561198046134938,3671
76561198044143080,3651
76561198086149422,3650
76561198050180095,3639
76561198067030650,3633
76561198073418471,3601
76561197970660574,3578
76561198070943489,3573
76561198048071301,3565
76561197966878140,3555
76561198027185480,3544
76561198037334070,3526
76561197965278388,3521
76561198001919635,3502
76561198020933633,3472
76561198070599947,3449
76561198048240622,3447
76561198088679461,3416
76561198053325728,3408
76561197987342242,3403
76561198054544727,3398
76561198056277856,3393
76561198067070151,3385
76561198060013208,3376
76561198069351753,3340
76561198065849983,3323
76561197981240840,3319
76561198085158205,3317
76561198041473324,3315
76561198046685572,3305
76561198005778772,3298
76561198041669674,3292
76561198015686070,3289
76561198057987262,3275
76561198037009387,3274
76561198077729205,3264
76561198063051079,3263
76561198062552749,3256
76561198056652803,3250
76561198060279348,3242
76561198044815438,3230
76561198057970266,3226
76561198004791440,3224
76561198073120349,3188
76561198070081938,3181
76561198052466984,3181
76561198031628859,3180
76561198050414588,3163
76561197995744107,3155
76561198043739342,3138
76561198075194449,3110
76561198071431107,3097
76561197962028169,3096
76561198090558642,3095
76561197969792821,3092
76561197996008930,3091
76561197993144047,3088
76561198018542159,3086
76561198050551794,3065
76561198048596914,3053
76561198149605252,3053
76561198045154208,3044
76561198047363411,3013
76561198030768353,3012
76561198093804988,3008
76561198042772841,3006
76561197993679376,2992
76561198065923342,2988
76561198025951697,2985
76561197992618958,2970
76561198031692988,2962
76561198077917075,2960
76561197978008006,2948
76561198070062057,2943
76561198070092383,2932
76561198054511671,2918
76561198043898721,2917
76561198045533162,2913
76561198023093635,2909
76561198025720387,2892
76561197973131198,2891
76561197972482791,2885
76561197963219999,2876
76561197984191985,2874
76561198066671326,2871
76561198030306029,2870
76561198017084645,2857
76561198034390460,2854
76561198045507259,2852
76561198042491778,2851
76561198009318462,2846
76561198055883765,2831
76561198043171648,2824
76561198075003490,2822
76561198034839917,2818
76561198049531240,2808
76561198031891410,2805
76561198047524368,2773
76561198051799142,2770
76561198044634932,2768
76561198068900778,2767
76561198038487063,2757
76561198059707959,2752
76561198016458849,2751
76561198031127961,2748
76561198041134186,2740
76561198045266254,2721
76561198045733466,2720
76561198040930407,2706
76561198085329154,2703
76561198072862795,2702
76561198027306821,2687
76561198073457029,2687
76561198050575580,2677
76561198065446618,2674
76561198039631435,2672
76561198075300723,2664
76561198004357952,2664
76561198013395705,2664
76561198061247255,2657
76561197997118766,2655
76561197971919098,2655
76561198025037215,2645
76561198058507679,2643
76561198010150166,2634
76561198074912402,2632
76561198024832751,2625
76561198163904000,2614
76561198055325714,2605
76561198069799740,2601
76561198073000180,2595
76561198067657059,2593
76561198065278114,2575
76561198028331843,2561
76561197990408423,2561
76561198035567225,2559
76561198014171981,2556
76561197975296603,2552
76561198033807790,2542
76561198047649856,2526
76561198083376561,2522
76561198094065803,2517
76561198011920971,2511
76561198118965684,2500
76561197967081122,2500
76561198101648152,2500
76561198069472808,2494
76561198033539928,2494
76561198071629521,2484
76561198059553646,2483
76561198007282725,2481
76561198077686622,2478
76561198001518866,2477
76561198018423967,2474
76561197960279912,2469
76561197991071072,2468
76561198033806720,2464
76561198044600700,2447
76561198055372831,2444
76561198044939256,2441
76561198040393416,2435
76561198082027703,2434
76561198073553679,2433
76561197991182880,2429
76561198067938749,2426
76561197970525544,2419
76561198046756547,2408
76561198063197045,2405
76561198077583455,2402
76561198067452383,2402
76561198025496754,2396
76561198084308864,2388
76561198006206678,2381
76561198025212575,2372
76561198069412017,2371
76561198064148060,2368
76561198047717614,2368
76561198024633064,2363
76561197999260341,2355
76561198041881075,2348
76561198080082471,2334
76561198038179236,2330
76561197995176045,2325
76561198033779273,2317
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561198042802930,2281
76561197971401137,2273
76561198056162118,2270
76561198107979766,2269
76561198064015098,2261
76561198001638037,2260
76561198095132561,2260
76561198019737749,2258
76561197979552509,2258
76561198059279530,2256
76561197996529940,2253
76561198067812801,2250
76561198054421576,2244
76561198027110664,2242
76561198043816164,2236
76561198055307813,2236
76561198037745745,2231
76561198018908514,2222
76561197994831363,2199
76561198067952066,2195
76561198106866138,2195
76561198036736458,2190
76561198022701298,2182
76561198045940593,2176
76561198059244996,2173
76561197999630955,2172
76561198040768070,2172
76561198070328286,2167
76561198087756673,2166
76561198046829878,2155
76561198100668404,2154
76561198018560501,2153
76561198041277935,2151
76561198023122390,2147
76561198042492630,2142
76561198061531823,2141
76561198023231112,2140
76561198020233399,2130
76561198054746157,2129
76561198058111484,2123
76561198085656859,2117
76561197960269200,2109
