steam_id,playtime_forever
76561198086370065,4861
76561198040188061,4016
76561198017606662,3651
76561198042738965,3201
76561198103540275,2955
76561198047756081,2553
76561198011445956,2330
76561198054612606,2051
76561198037582443,2010
76561198090628232,1975
76561198012604792,1915
76561198076362383,1790
76561198059687929,1775
76561198089967981,1697
76561198046656291,1656
76561198054606902,1584
76561198014969917,1539
76561198039045887,1502
76561198069603322,1497
76561198075965698,1427
76561198118965684,1418
76561198065449703,1361
76561198001398677,1309
76561198058887844,1276
76561198077531443,1270
76561198078743346,1261
76561198004820900,1228
76561198007906584,1193
76561198064484479,1172
76561197991836307,1090
76561198047711462,981
76561198044128695,977
76561198041874601,958
76561198037720383,956
76561197994367028,933
76561198057591023,921
76561198101093277,914
76561198063186191,912
76561198044605552,904
76561198048354078,894
76561197977859433,868
76561198045444761,866
76561198061607635,849
76561198083518792,837
76561198042376148,836
76561198064572589,836
76561198006251483,771
76561198049796627,729
76561197999483873,708
76561198098157284,685
76561197967514845,683
76561198025500916,677
76561197997423130,674
76561198073584755,671
76561198088203016,649
76561197971119511,645
76561198097169936,640
76561198051336934,613
76561198045296161,606
76561198000537256,595
76561198039613674,589
76561198047584892,577
76561198034699157,577
76561198046135457,570
76561197992227006,555
76561197988004162,553
76561198013261893,552
76561198058217502,547
76561197994830976,542
76561198075888269,536
76561198069905942,532
76561197995176045,518
76561198071951119,508
76561198091164764,502
76561198038152917,500
76561197995169107,495
76561198022575741,494
76561197993009150,488
76561198021019289,484
76561198030752467,483
76561198009559094,482
76561198053443950,478
76561198079632286,478
76561198042873995,477
76561198002196490,467
76561198047115335,465
76561198046783368,458
76561198024894178,454
76561198051837130,446
76561197994387796,445
76561198000190288,444
76561198048235993,443
76561198016475503,431
76561198074156090,422
76561198080619885,420
76561198102767019,418
76561198058051153,413
76561198060927199,411
76561198005517355,405
76561198034277356,402
76561198069036644,399
76561198047188446,397
76561198025515356,393
76561198061579283,393
76561197991677902,389
76561197999114337,376
76561198062182044,374
76561198002560047,372
76561197972473057,371
76561198034711455,370
76561198049447026,364
76561198047269494,361
76561198049955631,360
76561198046921092,359
76561198001518866,352
76561198072689381,346
76561198059049118,344
76561197974290157,343
76561198068614009,342
76561198074482800,342
76561198070585472,342
76561198076551802,342
76561197992267436,340
76561198059752724,337
76561198009318462,329
76561198036245133,328
76561198053964143,325
76561198054407224,323
76561198003693532,321
76561198018743551,320
76561198078381948,316
76561198049026901,310
76561198064991576,309
76561198021307778,308
76561198045146504,308
76561197971933349,307
76561198040572871,300
76561198011433474,300
76561198062039624,299
76561198046467232,297
76561198054678415,296
76561198041203356,292
76561198066203201,292
76561198078212818,292
76561198063629285,290
76561197969434273,289
76561198075012648,288
76561198051748820,286
76561198019001219,284
76561198080601475,282
76561198063406120,280
76561198078907140,278
76561198061535381,276
76561198068727361,275
76561198083711394,272
76561198051837192,268
76561197994529674,264
76561198038179236,264
76561198075908315,263
76561198030619991,263
76561198085049871,263
76561198044920564,262
76561198072108091,262
76561198025198217,260
76561198011218089,257
76561198052513392,256
76561198003820472,255
76561198014722276,255
76561198091125007,249
76561198029532782,249
76561198012387063,248
76561198025614826,247
76561198071059521,242
76561198027828967,240
76561198072020622,239
76561198058230663,238
76561198048936292,238
76561197977525575,238
76561198010776633,236
76561198047304525,235
76561197973055702,235
76561198045161688,232
76561198072871807,229
76561198088994432,225
76561198045884541,224
76561198019210728,224
76561198086045190,224
76561198089376541,223
76561198051957930,221
76561198042987313,220
76561198027446074,220
76561197992543897,218
76561198085841559,218
76561198050764330,215
76561198055750463,215
76561198012726444,215
76561198050557204,214
76561197996524718,210
76561198043008761,208
76561197997118766,207
76561198100328442,206
76561198041737624,204
76561198076698338,203
76561198095708135,200
76561198077185651,199
76561198087066156,199
76561198017341667,194
76561197961112434,194
76561198019030666,194
76561198063468866,192
76561197986325120,192
76561198057723496,191
76561198035893080,190
76561198068041434,190
76561198062232099,190
76561198015673544,190
76561198041212511,189
76561197968287469,188
76561198054100996,188
76561198069561067,187
76561198116062531,185
76561198046429956,185
76561197995792780,184
76561198013828918,183
76561198044346263,181
76561198070255796,180
76561198041815803,179
76561198026971509,178
76561198081195567,177
76561198069681136,177
76561198063267577,173
76561198068472094,173
76561198053949702,173
76561198098911570,173
76561198075968863,173
76561198043033300,172
76561197965207724,170
76561198059611709,170
76561198057553528,169
76561198057767543,167
76561198017848971,167
