steam_id,playtime_forever
76561198083612270,24778
76561197995146150,15942
76561198046783368,10987
76561198018151820,6907
76561198047756081,6690
76561198037720383,6192
76561198038879240,5343
76561198080601475,5167
76561198040188061,5010
76561197995207074,4318
76561198051336934,4041
76561198051957930,3737
76561197965207724,3571
76561198009318462,3558
76561198089967981,3523
76561198064339602,3147
76561198044861601,3111
76561198065327741,2787
76561198056536128,2749
76561198040530624,2742
76561198054606902,2368
76561198068614009,2317
76561198042376148,2114
76561197985769912,2108
76561198025614826,2084
76561198097169936,2001
76561198058887844,1998
76561198076228553,1953
76561198058217502,1930
76561198077557008,1906
76561198045591068,1772
76561198025500916,1754
76561198028042361,1733
76561198046357713,1698
76561198089939629,1692
76561198077531443,1672
76561198069410187,1664
76561198078381993,1640
76561198052723604,1636
76561198160316683,1631
76561198049447026,1617
76561198102767019,1609
76561198048936292,1605
76561198122105426,1597
76561198116062531,1577
76561198081298968,1559
76561198075012648,1528
76561198047241493,1519
76561197968287469,1516
76561198069603322,1497
76561198055491845,1494
76561198078751822,1466
76561198016215456,1461
76561198091080817,1445
76561198081509282,1435
76561198062180678,1426
76561198059685697,1424
76561198072533733,1407
76561198050557204,1406
76561198078743346,1376
76561198064572589,1368
76561198061419665,1350
76561198039606950,1337
76561197999140519,1295
76561198085049871,1295
76561198074113907,1291
76561198034711455,1256
76561198044617836,1250
76561198074156090,1242
76561198070844127,1240
76561198084667711,1219
76561198063629285,1211
76561198066203201,1183
76561198075968863,1146
76561198022879865,1133
76561198067106876,1129
76561198069402461,1117
76561198084703989,1100
76561198015673544,1092
76561197991836307,1090
76561198057591023,1083
76561198069181280,1078
76561198064959799,1062
76561198047485108,1057
76561197992729547,1050
76561198062232099,1027
76561198049502185,1016
76561198063527700,1010
76561198064261294,1009
76561197975369524,1007
76561198084429053,1001
76561198027286230,991
76561198064161333,990
76561198075458182,985
76561198047711462,981
76561198086045190,981
76561198069237515,945
76561198062182044,943
76561198000537256,939
76561198080609032,932
76561198098840056,931
76561198018589800,929
76561198063267577,924
76561198042839144,921
76561198028509438,913
76561198098157284,903
76561198080619885,896
76561198027868963,892
76561198048123629,890
76561198072061907,864
76561198075206735,853
76561198099088084,843
76561198105406034,841
76561198074625457,837
76561198083518792,837
76561198032455402,835
76561198025394685,829
76561198078212818,822
76561198070805372,819
76561197993009150,807
76561198042987313,807
76561198004434645,800
76561198029968002,797
76561198030937737,791
76561198027343237,789
76561198050764330,785
76561198042082977,762
76561198068831727,761
76561198078821738,758
76561198047584892,749
76561198000611049,747
76561198045068310,745
76561198045412264,736
76561198063959101,730
76561198039047817,730
76561198059307733,720
76561198050051698,705
76561198080021911,701
76561198044011957,700
76561197972473057,699
76561198039900272,696
76561197999719746,691
76561198065725333,686
76561198008181611,676
76561198050296173,671
