steam_id,playtime_forever
76561198069536565,424
76561197971859273,263
76561198038486281,259
76561198030299081,257
76561197970723780,217
76561198061962799,165
76561198041730036,162
76561197967174031,155
76561198040099619,140
76561197970937211,138
76561197976313504,124
76561197974522156,112
76561198078907140,110
76561198039778509,96
76561198067276330,94
76561198059604675,85
76561198020901037,79
76561198036409929,79
76561198038148907,78
76561197972303841,66
76561198000190288,66
76561198002644780,61
76561197971857001,56
76561197970545566,53
76561197972326085,53
76561198038678732,49
76561198001638037,47
76561198006493531,43
76561198075300723,39
76561198036657265,33
76561198042410388,24
76561198046162899,21
76561198044198059,17
76561197961112434,17
76561198051450825,16
76561198072109766,16
76561197988455997,9
76561198048526408,4
76561198064768752,4
76561198029743458,3
76561198021135506,0
76561198050762093,0
76561198039330239,0
76561198060344583,0
76561198035730938,0
76561197969857149,0
76561198024563946,0
76561198014722276,0
