steam_id,playtime_forever
76561198054602972,7049
76561198046730356,4935
76561198017606662,3651
76561198007484347,3337
76561198042738965,3201
76561198103540275,2955
76561198045218406,2876
76561197970550128,2813
76561198080690597,2724
76561198037038784,2560
76561197961124706,2504
76561198011445956,2330
76561197992284075,2323
76561198051452666,2257
76561197975867686,2218
76561197991836307,2094
76561198054612606,2051
76561198037582443,2010
76561198090628232,1975
76561198042178595,1947
76561198012604792,1915
76561198076362383,1790
76561198059687929,1775
76561197971128349,1710
76561198098373776,1698
76561198046656291,1656
76561198064979520,1644
76561198035999413,1635
76561198118965684,1628
76561198014969917,1539
76561197990782367,1530
76561198045956296,1526
76561198039045887,1502
76561197972143548,1463
76561198075965698,1427
76561198065449703,1361
76561197973395845,1319
76561198001398677,1309
76561198011218089,1242
76561198004820900,1228
76561198007906584,1193
76561198036063257,1184
76561198064484479,1172
76561198006536709,1162
76561198076811458,1144
76561198023403380,1110
76561198008211473,1078
76561198019823540,1070
76561198021611368,1045
76561198026541561,1035
76561198091571570,1027
76561198023514970,1004
76561198044128695,977
76561198041874601,958
76561198072908015,949
76561197968411887,934
76561197994367028,933
76561198006892728,927
76561198041823841,918
76561198101093277,914
76561198063186191,912
76561198044605552,904
76561198049371011,899
76561198026971509,896
76561198048354078,894
76561198060483469,874
76561197977859433,868
76561198045444761,866
76561198014960129,854
76561198061607635,849
76561198048248287,824
76561198029976254,815
76561198000537256,791
76561198013296434,782
76561198006251483,771
76561198075055875,758
76561197998047221,743
76561197998873955,730
76561198049796627,729
76561197992204503,728
76561198102767019,727
76561197973942698,717
76561198024442768,717
76561197998189696,716
76561197992227006,716
76561197994830976,713
76561197999483873,708
76561198032325085,704
76561198013164688,697
76561197967514845,683
76561198058111484,678
76561197997423130,674
76561198073584755,671
76561197970293062,670
76561198072301513,663
76561198088203016,649
76561198002644780,645
76561197971119511,645
76561198061834064,633
76561198041562431,628
76561198066131366,624
76561198069324966,609
76561198036542286,607
76561198045296161,606
76561198062232099,604
76561198039613674,589
76561197991960746,589
76561197971074473,580
76561198000190288,577
76561198046162899,573
76561198057146794,566
76561197988004162,553
76561198013261893,552
76561198075888269,536
76561197995207074,530
76561198051715280,521
76561198058423993,521
76561198042988310,519
76561198091164764,502
76561198038152917,500
76561198022575741,494
76561198057049076,489
76561198044237378,487
76561198030752467,483
76561198009559094,482
76561198053443950,478
76561198031955420,478
76561198079632286,478
76561198042873995,477
76561198078907140,467
76561198011579146,467
76561197971128924,462
76561198009266214,459
76561198029274175,454
76561198024894178,454
76561198044920564,452
76561198043428279,451
76561197992272514,450
76561197999524643,450
76561198051837130,446
76561197994387796,445
76561198048235993,443
76561198002196490,437
76561197994831363,434
76561198016475503,431
76561197972326085,429
76561198050762093,427
76561197977525575,427
76561198018556361,425
76561198029743458,424
76561197992161385,421
76561198032091115,418
76561198058051153,413
76561198060927199,411
76561198072673232,406
76561198030021498,405
76561198038486281,402
76561198034277356,402
76561198028511822,402
76561198226523644,394
76561198011133576,393
76561198061579283,393
76561198025515356,393
76561197997711225,393
76561198087066156,390
76561197971859273,384
76561198115285453,381
76561198058230663,381
76561197999114337,376
76561198067219635,375
76561198034699157,369
76561197972303841,366
76561198049955631,360
76561198046921092,359
76561197993705230,355
76561198089376541,351
76561198005934962,347
76561198072689381,346
76561198059049118,344
76561197974290157,342
76561198076551802,342
76561198070585472,341
76561197992267436,340
76561198014722276,335
76561198071798958,334
76561198001518866,331
76561198041673748,327
76561197998202367,326
76561198053964143,325
76561198042410388,324
76561198054407224,323
76561198075300723,321
76561197976563378,314
76561198055866052,311
76561198049026901,310
76561198064991576,309
76561198045146504,308
76561197971933349,307
76561197999638590,301
76561198040572871,300
76561198047269494,300
76561198046467232,297
76561198052513392,296
76561198054678415,296
76561198035005990,290
76561197969434273,289
76561198041417698,286
76561198019001219,284
76561198063406120,280
76561198035893080,277
76561198061535381,276
76561198068727361,275
76561198083711394,272
76561197961112434,272
76561198022557912,271
76561198051837192,268
76561197994529674,264
76561198030619991,263
76561198075908315,263
76561198061962799,263
76561198072108091,262
76561198021307778,255
76561198003820472,255
76561198038179236,254
76561198091125007,249
76561198029532782,249
76561198012387063,248
76561198025198217,246
76561198206303015,245
76561198032007689,243
76561198071059521,242
76561198047304525,235
76561198054776845,234
76561198013600577,233
76561198041019706,231
76561198010776633,230
76561198000554821,229
76561198072871807,229
76561198041266182,227
76561198138390863,227
76561198100129112,226
76561198088994432,225
76561198048151962,225
76561198019210728,224
76561198025720387,222
76561197968887720,221
76561198027446074,220
76561198085841559,218
76561197992543897,218
76561198052487616,217
76561198012726444,215
76561198035860222,212
76561198055770245,211
76561198044037118,211
76561197976313504,210
76561198080399577,210
76561198019434222,209
76561198061531823,207
76561198100328442,206
76561198042441420,204
76561198041737624,204
76561197970580235,203
76561198079136072,200
76561198095708135,200
76561198077185651,199
76561198006442367,194
76561198042146054,194
76561198017341667,194
76561198019030666,194
76561197972482791,193
76561198057723496,191
76561198068041434,190
76561198041212511,189
76561198054100996,188
76561198063354149,188
76561198046429956,185
76561197995792780,184
76561198030947939,184
76561198013828918,183
76561198007539695,182
76561198078212818,181
76561198044346263,181
76561198070255796,180
76561198071937219,179
76561198041815803,179
76561198042148866,178
76561198081195567,177
76561198069681136,177
76561198036745107,175
76561198066832504,175
76561198098911570,173
76561198043033300,172
76561197965207724,170
76561198059611709,170
76561197997118766,169
76561198017848971,167
76561198057767543,167
76561198041582030,166
76561198093624679,166
76561198003132759,166
76561198077795958,164
76561198254993106,164
76561198044492849,164
76561197977318183,161
76561198050876555,160
76561198044745116,160
76561198039778509,160
76561198045081272,159
76561197973306956,159
76561198093360882,158
76561198042544702,157
76561198059604675,157
76561198019106125,156
76561198088237893,156
76561198055326386,155
76561198047333498,155
76561197963293081,155
76561198052697206,155
76561198056606925,153
76561198026917665,153
76561197981203305,152
76561198062794629,151
76561198024806514,149
76561198039694296,149
76561198064338159,149
76561197974500703,148
76561197978426585,148
76561198056251305,147
76561198070480792,147
76561198029968002,146
76561197996400788,145
76561197961628243,144
76561198070819519,144
76561198072532181,142
76561198035025640,142
76561198068614009,142
76561198120364067,141
76561198009938963,140
76561197964188781,139
76561198067953510,138
76561198082474663,137
76561198036245133,136
76561197997213967,136
76561197970582291,135
76561197970884763,135
76561198030458826,135
76561197971857001,135
76561198005738944,135
76561197989616184,135
76561198042564906,134
76561198033357511,134
76561198031334982,134
76561198067610447,133
76561197985191301,132
76561198031723409,132
76561198061375313,132
76561198044198059,132
76561197971443522,131
76561198054572451,131
76561197989549832,130
76561198008730877,129
76561198067809752,129
76561198058160546,129
76561198037582861,128
76561198071781219,126
76561198008267559,126
76561198059486412,125
76561198044005333,123
76561198041865057,122
76561197970477680,122
76561198028432902,122
76561198059789255,122
76561198047590138,122
76561198070827197,122
76561197993263354,121
76561198003811382,120
76561197970723780,120
76561197996720466,119
76561198091490622,118
76561198038148907,117
76561198066214102,116
76561198001638037,116
76561198032752680,116
76561197990849455,115
76561198041121765,115
76561197991699268,113
76561197998184532,110
76561198072119751,109
76561198038573915,108
76561197970937211,108
76561198061169672,107
76561198021111894,107
76561198042237966,107
76561198030870125,106
76561198070735033,106
76561198048025672,106
76561198074822440,105
76561197998534560,105
76561198028158358,105
76561198111949596,104
76561198069920369,104
76561198055555174,103
76561198070621937,101
76561198260810810,101
76561198003868600,98
76561198039229372,98
76561197997630965,97
76561198064484753,96
76561198073109656,96
76561197970148466,96
76561198065383899,96
76561198024563946,95
76561198071430243,94
76561198017569093,94
76561197960561678,94
76561198041281407,93
76561197991723203,92
76561198085167092,92
76561198045344721,92
76561197992681922,91
76561198043202031,91
76561198087503493,91
76561198013000952,90
76561198060829599,89
76561197984592889,89
76561198044783305,89
76561198012046797,89
76561198074347362,89
76561197976793497,89
76561198095226109,88
76561198087786125,87
76561198023351714,87
76561198048435920,86
76561198088908490,86
76561197985164606,86
76561198079559505,85
76561198035136974,85
76561198043766755,84
76561198030779181,83
76561198060787863,82
76561197971399999,82
76561197983066077,81
76561198044383266,81
76561198074119805,80
76561198013434300,80
76561198037487497,79
76561197997315547,79
76561197967174031,78
76561198069549523,78
76561198007488623,76
76561198027793700,76
76561198043094807,75
76561198043179766,71
76561198033128189,70
76561197987065774,70
76561197975317114,70
76561198077353345,69
76561198044652545,69
76561198065603460,69
76561198044955612,68
76561198077658105,68
76561198077110027,68
76561198080288601,68
76561197974522156,68
76561198085232353,67
76561198062163675,67
76561198006798951,67
76561198084974133,67
76561198033713264,66
76561198019295365,66
76561197961633679,66
76561197994271725,66
76561198079128940,65
76561198057921996,65
76561198054483777,64
76561197979524684,63
76561198012279276,63
76561197974644824,63
76561198042378227,63
76561198028365337,62
76561198067977275,60
76561198080506389,60
76561198044508924,59
76561198028109286,59
76561198017448977,59
76561197995294468,58
76561198095751554,58
76561198042947768,58
76561198049279838,58
76561198064272725,58
76561198097456611,57
76561198020901037,56
76561198035811518,56
76561198190794628,56
76561198177140685,55
76561197975846333,55
76561198045792958,54
76561198038678732,54
76561198077460901,53
76561198041108202,53
76561198015164767,53
76561197968531038,52
76561198043735666,52
76561198043148813,51
76561198067463105,51
76561198031245536,50
76561198098811838,50
76561198026960298,50
76561198044039434,50
76561198025342248,50
76561197970524306,50
76561198048149374,49
76561198094968969,49
76561198117845393,48
76561198076829467,48
76561198081192717,48
76561198020937329,48
76561198059536225,47
76561198024377502,47
76561198027443860,47
76561198036542582,46
76561198010284092,46
76561197993336140,46
76561198004535671,45
76561197967534070,45
76561198028960909,45
76561198000875292,44
76561198046036119,44
76561198073471080,44
76561198073032392,44
76561198066918277,44
76561198018986283,44
76561198062510835,43
76561198051450825,43
76561198043027992,43
76561198027988379,42
76561198060181235,42
76561198080432945,41
76561198061196564,41
76561198063808374,41
76561198041730036,40
76561198089768365,40
76561198038943115,40
76561197998943704,39
76561197995125763,39
76561198044454118,39
76561198031751147,39
76561198024276651,39
76561197997534851,39
76561198099328121,38
76561198050042737,38
76561198154995501,38
76561198055408000,38
76561198048371919,38
76561197973053035,38
76561198013018363,38
76561198083347976,38
76561198084481166,38
76561198053916929,37
76561198062499841,37
76561198027081791,37
76561198035565341,37
76561198076039282,37
76561197970535618,35
76561198067088650,35
76561198074626284,35
76561198054132945,34
76561198041499932,34
76561198002408467,34
76561198035551917,34
76561198070282717,33
76561197993676441,33
76561197990097714,32
