steam_id,playtime_forever
76561198023153321,285
76561198048130206,223
76561198089967981,190
76561198062232099,174
76561198003868600,172
76561198025198217,161
76561198009992783,150
76561198026336033,149
76561198060675353,125
76561198053964143,121
76561198039213155,116
76561198070949279,108
76561198044132041,101
76561198042734931,100
76561198056770012,94
76561198114917298,87
76561198040912942,78
76561198077269470,76
76561198139249899,62
76561198066578003,62
76561197973711858,38
76561198043377386,36
76561198041582030,31
76561198048080920,19
76561198004998420,18
76561197960304530,14
76561198025594855,11
76561198053196362,10
76561198084598136,10
76561197979042934,8
76561198030021498,4
76561198033257130,1
76561198032236500,1
76561198021439521,0
76561198118965684,0
76561197971857001,0
76561198018984753,0
76561198045212920,0
76561198067953510,0
76561198067146401,0
76561197966364980,0
76561198032007689,0
76561198052020365,0
76561198041640575,0
76561198042153691,0
