steam_id,playtime_forever
76561198034699157,63616
76561198057685527,13808
76561198062232099,8030
76561198074396411,2141
76561198066992387,2091
76561198067315765,1755
76561198112402475,1663
76561198049620986,1628
76561197968515942,1404
76561198064028557,1380
76561197995207074,1220
76561198072402200,1172
76561197968720117,1085
76561198072411648,1072
76561198082211664,1063
76561198064632090,1058
76561198049425405,1055
76561198055784664,1054
76561197998873955,976
76561198077297982,966
76561197998221610,954
76561198025473745,951
76561198040275855,943
76561198055786387,916
76561198051832174,914
76561198082023848,911
76561198054131489,909
76561198009720869,897
76561198041112514,855
76561198084691068,844
76561198039447303,840
76561198053795491,833
76561198045755333,827
76561198033257130,814
76561198073837577,809
76561198057129371,798
76561198092207965,798
76561197996502234,794
76561198023305655,774
76561198017220350,771
76561198189501926,765
76561198086903820,751
76561198020172660,742
76561198038991299,741
76561198054749194,740
76561198089041882,725
76561198056463061,721
76561198046185320,712
76561198012964339,701
76561198065918324,700
76561198056094672,700
76561198048149374,698
76561197990023750,692
76561198041309380,690
76561198167699778,685
76561198029403578,675
76561198079378923,671
76561198049864014,670
76561198101159563,646
76561198064383295,638
76561198009608512,635
76561198046813126,634
76561198070714475,633
76561198031660418,625
76561198051136353,620
76561198078717300,609
76561198120364067,601
76561198080548524,597
76561198045457129,568
76561198091054851,568
76561198032325085,557
76561198072273990,545
76561198018465863,537
76561198045904730,535
76561197976724854,531
76561198058542893,524
76561198019742120,522
76561198044790253,517
76561198080964913,515
76561198063432096,511
76561198057453677,510
76561198043933970,507
76561197970366439,507
76561198102767019,499
76561198070084247,499
76561197994104666,497
76561198072499322,491
76561198076321518,489
76561198066065234,487
76561198028388756,480
76561198074362577,470
76561198014984466,469
76561198059139371,467
76561198105967393,458
76561198018542159,458
76561197971189946,457
76561198065128444,456
76561198060375856,456
76561198069205048,454
76561197998371104,454
76561197988863895,454
76561198041111764,454
76561198058546808,453
76561198044743294,451
76561198029830056,450
76561198124737998,449
76561198039701203,446
