steam_id,playtime_forever
76561197963293081,743619
76561197995725436,214376
76561198006995190,181820
76561198027477827,140725
76561198045342815,136459
76561198061028312,133078
76561198065500375,122912
76561198066638791,107669
76561198087466439,104136
76561198027455361,103180
76561198071274892,90518
76561198030769891,82621
76561197968720117,79299
76561197995207074,77482
76561198061431028,74891
76561198196344826,74492
76561197965278388,72828
76561198064692010,71724
76561198062450095,71623
76561198045222796,69973
76561197988685514,68978
76561198051844298,68934
76561198045123141,67855
76561197963638240,67728
76561198055262214,67116
76561198123893052,66797
76561198074505576,65999
76561198081786584,65972
76561197983359562,64671
76561197961172915,61928
76561198153243158,61002
76561197990880154,60849
76561198004175258,59621
76561197963519255,59617
76561198042856516,59439
76561198007282725,58874
76561198072115885,58049
76561198081344772,56973
76561198109175424,56003
76561198047975826,55955
76561198066349873,55907
76561198054281670,55670
76561198066187028,55065
76561198048708552,54925
76561198037810633,54769
76561198007584361,54611
76561198017567237,54355
76561198071159917,54286
76561198071352100,53432
76561198070735033,53377
76561198062737330,53304
76561198056277856,53291
76561198071475367,53103
76561198074209912,52862
76561198004311251,52598
76561197965833454,52552
76561197991288051,52538
76561198063598007,52409
76561198044873155,52177
76561198058230663,52087
76561198051336934,50985
76561198060743985,50661
76561198008241908,50044
76561197996891369,49452
76561198044204107,49303
76561198057998681,48999
76561197996010453,48991
76561197964989297,48820
76561198030373834,48810
76561198066968708,48594
76561198045292549,48337
76561198059791029,48268
76561198038045322,48200
76561198002380984,48001
76561198057747700,47471
76561198024765966,47370
76561198107714145,47112
76561198055915124,46840
76561198019388775,46702
76561198006493531,46620
76561198029020309,46521
76561197972797551,46292
76561198028206815,46213
76561198047525161,46115
76561197997997380,46014
76561198045012526,45468
76561198052029872,45188
76561198057982190,44607
76561198018453750,43967
76561198081026741,43877
76561198006149002,43535
76561198095132561,43504
76561198072404996,43308
76561198020709117,43118
76561198038661567,43044
76561198044358283,42993
76561198079207855,42646
76561197972718483,42290
76561198034034727,42222
76561198059546358,42137
76561197963481558,42123
76561198018188350,42058
76561198068431036,41887
76561197992284075,41859
76561198052522972,41755
76561198041784529,41541
76561198073089217,41518
76561198024064617,41348
76561198020059916,41242
76561198081277170,41194
76561198090332398,41144
76561198062232099,40849
76561198023347592,40768
76561198066892282,40732
76561198002008663,40568
76561197999388026,40536
76561198083923587,40431
76561198067045126,40288
76561198081973813,40183
76561198027032118,39936
76561198042209427,39425
76561198072004384,39383
76561198043655077,39355
76561198087017601,39082
76561198048588318,39006
76561198042649425,38634
76561197994097182,38347
76561198079647288,38314
76561198074141366,38096
76561197970758033,38072
76561198092473445,37960
76561197976470005,37913
76561198027520903,37824
76561197999615660,37734
76561198072653652,37566
76561198056087277,37414
76561198068654282,37311
76561198066046412,36717
76561198058612424,36534
76561198081260674,36517
76561198062313883,36511
76561198008026450,36497
76561198048526408,36359
76561198031147214,36276
76561198085510022,36262
76561197967272400,36177
76561198046336502,36149
76561198035202077,36088
76561198019066447,36075
76561198070647134,35906
76561198057220133,35894
76561198063432096,35856
76561198042533946,35822
76561198064472984,35822
76561198084041983,35816
76561198002076587,35637
76561198003548527,35160
76561198048053827,35114
76561198071855876,34950
76561198043731961,34940
76561198062853201,34919
76561197997277886,34816
76561198062652310,34676
76561197988411069,34634
76561198050513496,34633
76561197996502234,34470
76561198026308363,34454
76561198026829961,34418
76561198087460290,34341
76561198039705723,34232
76561198064031799,34227
76561198065336463,34186
76561198067277920,34017
76561197996380618,34004
76561198074406397,33950
76561198025536901,33931
76561197995042266,33758
76561198105634742,33736
76561198027137736,33675
76561198051148055,33651
76561198086232583,33525
76561198072331143,33484
76561197989869899,33462
76561198046864121,33148
76561198001654709,33131
76561198088356738,33072
76561198088687428,32987
76561197993281649,32886
76561198065319726,32871
76561198043569043,32812
76561198067673843,32776
76561198091572892,32738
76561198068809841,32609
76561198273284475,32533
76561197960498789,32516
76561198076067655,32491
76561198021432590,32404
76561197975349280,32235
76561198016614575,32188
76561197975759155,32093
76561198085188727,32004
76561198092452882,31953
76561198146499480,31833
76561198064663981,31814
76561198012683653,31591
76561197973156896,31565
76561197980832325,31473
76561198102022624,31340
76561198060619286,31297
76561198169734886,31051
76561198037963851,30925
76561198003436320,30915
76561198049492995,30840
76561198211691884,30809
76561198073318196,30769
76561197998817370,30766
76561197995850655,30734
