steam_id,playtime_forever
76561198039701203,48037
76561198045797718,32818
76561198004673788,28331
76561198056633646,21149
76561198026810952,19480
76561197996426598,19404
76561198029817505,15420
76561198015680666,14300
76561198048948026,13340
76561198045833405,12703
76561198082227157,12544
76561198024776356,12395
76561198045154816,10998
76561197992427444,10533
76561198018553225,10055
76561197967787808,9682
76561198028583056,9244
76561198047695661,9204
76561198024001992,8512
76561198052190360,7320
76561198012692998,7263
76561198031147214,6867
76561198061663176,6813
76561198058816627,6733
76561198013466123,6696
76561198118697312,6635
76561198061589633,6538
76561198044610496,6456
76561198035999413,6397
76561198012076358,6272
76561198056504388,6006
76561198031480846,5937
76561198059273758,5679
76561198045791276,5647
76561198009433842,5601
76561198071388587,5571
76561198048235993,5480
76561198044042926,5420
76561198042345839,5363
76561198015275299,5362
76561198081192717,5303
76561198044286355,5261
76561198024493161,5227
76561198052929892,5167
76561198053503995,4767
76561198026913148,4753
76561198057262001,4720
76561198019449175,4567
76561198036070181,4503
76561198044499654,4499
76561198011533373,4488
76561198054371024,4378
76561198078302338,4347
76561198065247694,4324
76561198062471632,4322
76561198006266182,4320
76561198013497822,4315
76561197997315547,4168
76561197960506187,4167
76561198026422886,4153
76561197997763525,4068
76561198030636321,3985
76561198028067698,3982
76561198039874575,3973
76561198071562241,3963
76561198058988942,3891
76561198078155697,3773
76561198069917737,3743
76561198060394438,3723
76561198050351855,3720
76561198050180095,3639
76561198073418471,3601
76561198070943489,3573
76561198048071301,3565
76561198001919635,3502
76561198070599947,3449
76561198048240622,3447
76561197987342242,3403
76561198054544727,3398
76561198067070151,3385
76561198060013208,3376
76561198065849983,3323
76561198085158205,3317
76561198046685572,3305
76561198057987262,3275
76561198077729205,3264
76561198056652803,3250
76561198060279348,3242
76561198044815438,3230
76561198070081938,3181
76561198050414588,3163
76561197995744107,3155
76561198043739342,3138
76561198090558642,3095
76561197969792821,3092
76561197996008930,3091
76561197993144047,3088
76561198018542159,3086
76561198045154208,3044
76561198047363411,3013
76561198093804988,3008
76561198065923342,2988
76561198025951697,2985
76561197978008006,2948
76561198045533162,2913
76561198023093635,2909
76561197972482791,2885
76561197984191985,2874
76561198017084645,2857
76561198034390460,2854
76561198045507259,2852
76561198042491778,2851
76561198009318462,2846
76561198055883765,2831
76561198043171648,2824
76561198060068927,2773
76561198068900778,2767
76561198031127961,2748
76561198045733466,2720
76561198040930407,2706
76561198050575580,2677
76561198039631435,2672
76561198004357952,2664
76561198061247255,2657
76561197997118766,2655
76561198025037215,2645
76561198010150166,2634
76561198024832751,2625
76561198055325714,2605
76561198069799740,2601
76561198067657059,2593
76561198028331843,2561
76561198035567225,2559
76561198014171981,2556
76561198047649856,2526
76561198083376561,2522
76561198094065803,2517
76561198069472808,2494
76561198033539928,2494
76561198071629521,2484
76561198059553646,2483
76561198007282725,2481
76561198077686622,2478
76561198018423967,2474
76561198033806720,2464
76561198082027703,2434
76561198073553679,2433
76561198067938749,2426
76561198046756547,2408
76561198063197045,2405
76561198084308864,2388
76561198025212575,2372
76561198069412017,2371
76561198047717614,2368
76561197999260341,2355
76561198080082471,2334
76561197995176045,2325
76561198033779273,2317
76561198051799142,2310
76561198056162118,2270
76561198107979766,2269
76561198095132561,2260
76561198059279530,2256
76561198067812801,2250
76561198054421576,2244
76561198043816164,2236
76561198055307813,2236
76561198018908514,2222
76561198067952066,2195
76561198022701298,2182
76561198045940593,2176
76561198059244996,2173
76561198040768070,2172
76561198070328286,2167
76561198087756673,2166
76561198046829878,2155
76561198041277935,2151
76561198023122390,2147
76561198042492630,2142
76561198061531823,2141
76561198023231112,2140
76561198054746157,2129
76561198085656859,2117
76561198064119677,2105
76561198066018289,2094
76561198036161390,2080
76561198054371658,2048
76561198085556273,2048
76561197990408423,2045
76561198027522403,2037
76561198040363988,2032
76561198001638037,2030
76561198048728509,2015
76561198064959799,2007
76561198057637896,1983
76561198054151692,1964
76561197963870886,1957
76561198017903548,1955
76561198059639562,1947
76561197999962991,1935
76561198074562599,1920
76561198036742516,1918
76561198050315162,1909
76561198039821585,1901
76561198055336474,1899
76561197994390234,1892
76561198035358039,1892
76561197997052702,1877
76561198026231217,1876
76561198004624665,1870
76561198025199025,1870
76561198014608114,1866
76561198081332337,1856
76561198047185525,1855
76561198077816464,1838
76561198086462585,1834
76561198066761205,1833
76561198046813126,1828
76561198062243753,1825
76561198066866281,1819
76561198081402558,1799
76561198085329154,1796
76561198067494712,1794
76561197995568158,1786
76561198065002838,1786
76561198046657821,1779
76561198036284794,1774
76561198068727361,1774
76561198038794506,1774
76561198086299062,1770
76561198047177419,1764
76561198074260666,1756
76561198044965372,1748
76561198094442489,1744
76561198040694818,1740
76561198118965684,1733
76561198015332461,1731
76561198076209538,1724
76561198081631721,1709
76561198031653714,1701
76561198064372862,1699
76561198142338022,1694
76561198070346058,1680
76561198024446508,1664
76561198094799702,1664
76561198058553589,1664
76561198048573099,1656
76561198017609099,1655
76561198071801438,1649
76561198041823841,1638
76561198000698397,1631
76561198057671421,1622
76561198041624506,1617
76561198077662747,1617
76561198053184246,1617
76561197999483873,1616
76561198018109064,1615
76561198046118971,1610
76561198040493808,1601
76561198086316431,1598
76561198037043406,1588
76561198057471883,1585
76561197993541487,1570
76561198072893556,1550
76561198041543188,1549
76561198058542025,1548
76561198026487694,1547
76561198081498963,1544
76561198068500978,1544
76561198066416488,1535
76561198011840809,1533
76561198046505159,1530
76561198056660442,1530
76561198027793491,1527
76561198042598239,1525
76561198063916425,1523
76561198023153321,1521
76561198062285231,1512
76561198026962221,1510
76561198040495746,1507
76561198051511620,1498
76561198038910945,1483
76561198075266395,1479
76561198081443272,1479
76561198072840422,1477
76561198046577732,1475
76561198051702977,1470
76561198070855384,1465
76561198054984969,1464
76561197990849455,1464
76561198036448748,1457
76561198025234500,1456
76561198011705037,1449
76561198047246195,1449
76561198073589985,1448
76561198083176849,1446
76561198059991046,1443
76561198062423758,1441
76561198022744981,1438
76561198041059574,1433
76561198022808464,1428
76561198064442033,1423
76561197989615671,1423
76561197970571857,1419
76561198076358012,1411
76561198063370792,1410
76561198049608539,1408
76561198030821069,1407
76561197960699002,1405
76561198028549775,1399
76561198005818649,1397
76561198051844298,1396
76561198065722585,1395
76561198035362505,1387
76561198020945525,1382
76561198046097024,1380
76561198009457283,1379
76561198018592645,1377
76561198033504953,1375
76561198030330128,1375
76561198050469964,1373
76561198045303038,1367
76561198041303582,1367
76561198039312374,1365
76561198041448239,1364
76561198040132688,1363
76561198028608367,1361
76561198042733573,1359
76561197991294431,1358
76561198053524100,1356
76561198009103710,1356
76561198043005113,1355
76561198035349030,1354
76561198066372317,1351
76561198018426986,1349
76561198046432096,1348
76561198028732561,1346
76561198040890825,1345
76561198038603588,1336
76561198056374448,1335
76561198079319395,1328
76561197993215833,1324
76561198071102818,1320
76561198061308382,1317
76561198035420265,1317
76561197994996550,1316
76561198021814659,1314
76561198056361591,1310
76561198046004574,1307
76561198012040171,1305
76561198081229467,1302
76561198038178954,1298
76561198004748819,1296
76561198078802076,1295
76561198001032595,1292
76561198058365176,1289
76561198121272597,1287
76561198060993682,1284
76561198028415815,1283
76561198093476158,1275
76561198047912892,1274
76561198042335464,1272
76561198063904628,1269
76561198068106044,1268
76561198081952984,1267
76561198063524311,1263
76561198044137883,1263
76561198003868600,1262
76561198050399047,1260
76561198013086059,1255
76561198000190288,1255
76561198045146504,1255
76561197988147686,1253
76561198076271617,1253
76561198049582168,1250
76561198038259400,1244
76561198098675575,1241
76561198010803705,1237
76561198064272229,1237
76561198066314297,1234
76561198006736850,1232
76561198068194476,1230
76561198086625301,1229
76561198068698005,1225
76561198107076030,1225
76561198005778772,1222
76561197997878819,1218
76561198048996327,1216
76561198033774845,1215
76561198085888315,1212
76561198037278513,1205
76561198059969798,1205
76561198067170568,1204
76561198055872472,1201
76561198031532032,1200
76561198075896343,1200
76561198084574754,1196
76561198038303407,1195
76561198045467294,1194
76561198026409973,1189
76561197997997116,1188
76561197983947440,1187
76561198011496164,1183
76561198076598436,1182
76561198014211328,1182
76561198041631592,1181
76561198071550022,1179
76561198067396408,1178
76561198034179031,1176
76561198057244269,1174
76561198044431349,1173
76561198022043030,1173
76561198060901780,1171
76561198012683653,1171
76561198045381704,1163
76561198041344258,1162
76561198026995078,1161
76561198026599584,1161
76561198040196672,1160
76561198045030771,1158
76561198065037494,1150
76561198051148055,1148
76561198002196490,1146
76561198069086956,1142
76561198062986334,1140
76561198056126521,1139
76561198089186899,1138
76561198001486369,1136
76561198063313147,1129
76561198067570770,1129
76561198073889112,1129
76561198028172223,1128
76561198069678796,1125
76561198027348367,1123
76561198084432859,1121
76561198005620005,1121
76561198037750027,1119
76561198040886693,1117
76561198041121528,1114
76561198079274850,1114
76561198045236601,1114
76561198087818012,1113
76561198023172776,1110
76561198086770591,1110
76561198065082053,1106
76561198048588318,1102
76561198056288902,1101
76561198060854630,1099
76561198018109792,1096
76561198119227289,1095
76561197968547573,1092
76561198033591799,1092
76561198029798952,1086
76561197997560838,1086
76561198054135837,1081
76561198032885721,1079
76561198041776212,1075
76561198044738808,1075
76561198046016445,1073
76561198051445428,1070
76561198038487481,1067
76561198035772991,1062
76561198055004182,1062
76561198036973367,1061
76561198020263928,1060
76561198013189071,1060
76561198079356601,1059
76561198013164688,1058
76561198035872917,1057
76561198024662250,1056
76561198075819257,1048
76561198008394683,1048
76561198051374074,1046
76561198043437299,1046
76561198024064617,1045
76561198090878710,1043
76561198065269662,1042
76561198014629046,1040
76561198060093930,1039
76561198056564159,1035
76561198056215595,1033
76561198011616111,1032
76561198001612399,1030
76561197984331196,1027
76561198063482271,1027
76561198069097056,1026
76561198118901056,1023
76561198044508924,1023
76561198052775963,1022
76561198074945020,1019
76561198045125239,1017
76561198068961637,1010
76561198057410179,1010
76561198051644456,1007
76561198069240961,1006
76561197994104666,1004
76561198083679884,1002
76561198028923845,1001
76561198026262657,1001
76561197992055078,1001
76561198074174782,1001
76561198013165109,999
76561198059406713,998
76561198025519435,998
76561198000494679,996
76561198046970604,996
76561198068843268,995
76561198046710527,994
76561197999717907,993
76561198040341119,992
76561198017974619,991
76561198093828185,990
76561198027225504,988
76561198022347840,984
76561198093658048,984
76561198070051343,983
76561198063445756,982
76561198018556361,982
76561198042026006,981
76561198060643019,979
76561198059360370,977
76561198046516793,975
76561198023083411,975
76561198035780563,969
76561198051977372,969
76561198044684818,965
76561198066681449,964
76561198132826162,962
76561198057352205,956
76561198018683194,955
76561198065897626,952
76561198085743341,950
76561198044540050,949
76561198085275027,948
76561198035901114,944
76561198081033101,943
76561198045742878,943
76561198068211196,940
76561198071757033,939
76561198060181391,938
76561198067170839,937
76561198069590381,934
76561198043238523,934
76561198027369830,933
76561198041472663,932
76561198054100996,928
76561198025236485,928
76561198006602165,927
76561198058378163,925
76561198038005170,923
76561198027368512,922
76561197974500703,917
76561198029237649,917
76561198098615159,909
76561198073213338,908
76561198064672197,905
76561198050933179,902
76561198079405465,902
76561197992006300,899
76561198041848484,897
76561198067679439,897
76561198050053436,895
76561198068728007,890
76561198051437805,888
76561198029274175,887
76561198048596914,883
76561198055365037,879
76561198047679159,878
76561198042019784,878
76561198024602273,877
76561197966130791,874
76561198049612544,874
76561198140076303,874
76561198059047264,873
76561198047521129,873
76561198051896247,862
76561198053194148,859
76561197965245177,856
76561198084078177,854
76561198000812593,849
76561198045556319,847
76561197990772718,847
76561198050042737,847
76561198074515463,846
76561198032621712,846
76561198079632286,843
76561198081342822,842
76561198005738944,842
76561198041943167,842
76561198044122040,839
76561198077472987,837
76561198032886769,835
76561197995989819,835
76561198062206278,831
76561198045640612,830
76561197970532578,830
76561198070016671,830
76561198082516370,830
76561197960468196,829
76561198044238932,828
76561198068564533,827
76561198035353612,824
76561198067814550,824
76561198131416827,823
76561198090091681,822
76561198039987254,821
76561198082692111,820
76561198038257534,819
76561198067897213,815
76561198043202031,814
76561198010271990,813
76561198069238749,811
76561198035584394,806
76561198069681136,804
76561198087479385,801
76561198039361058,801
76561198024006038,800
76561198064188504,799
76561197994177723,797
76561198044154394,795
76561198027595535,795
76561197996613472,793
76561198048055849,792
76561198047178897,790
76561198039159831,789
76561198064886363,787
76561198038840599,785
76561198067402913,784
76561198025720387,781
76561198040255872,778
76561198073559978,778
76561198025816046,777
76561198098285983,777
76561198047685107,777
76561198063408373,776
76561198088709404,775
76561197960435530,774
76561197985335942,773
76561198069271631,773
76561197962736283,772
76561198072499387,771
76561198042770842,769
76561198028577157,768
76561198039317390,767
76561198068476613,767
76561198015164767,766
76561198058095161,766
76561198038486363,762
76561198006496471,762
76561198043768709,761
76561198046759141,760
76561198054693932,760
76561198044748504,759
76561198042409394,758
76561198058510420,757
76561198065383899,753
76561198057547573,749
76561198084280687,747
76561198041544402,746
76561198074757343,745
76561198011139135,744
76561198055005050,743
76561198054909754,742
76561198059977575,740
76561198061396466,739
76561198070426767,738
76561198069894550,735
76561197992758397,735
76561198040787904,732
76561197964317648,731
76561198051096646,731
76561198073460119,729
76561198033172194,728
76561198047513395,728
76561198031386080,726
76561198045580670,721
76561198083448574,720
76561197989113830,718
76561198009282693,717
76561198171154634,716
76561198074640268,715
76561198041542294,715
76561197992280193,715
76561198038573915,714
76561198050624246,714
76561198055723928,714
76561198027041119,712
76561198002644780,711
76561198068210781,711
76561198010398344,708
76561198081394779,706
76561198003269878,705
76561198065376528,705
76561198037717335,705
76561198056140385,704
76561198038374904,703
76561198054761819,701
76561198070564190,699
76561198087805279,699
76561198042410388,697
76561198050033941,697
76561198060722776,693
76561198056162447,691
76561198052846013,691
76561198086276156,690
76561198060954794,689
76561198052835715,688
76561198042671032,687
76561198012455565,687
76561198060878934,687
76561198046563007,687
76561198060557951,686
76561198026251418,681
76561198094566398,680
76561198026264851,680
76561198044639547,680
76561198065269093,679
76561198045618285,679
76561198059681410,678
76561197976313504,678
76561198087786125,678
76561198049606859,677
76561198039554306,677
76561198001028505,677
76561198058481154,676
76561198084581486,675
76561198064653923,672
76561198047535022,672
76561198046214131,669
76561198091572892,668
76561198034868596,668
76561198024274205,667
76561198036953814,666
76561198037334070,665
76561198086791205,663
76561198067492765,663
76561198063902518,661
76561198051378726,660
76561198029350670,658
76561198045317404,658
76561198055088329,657
76561198042222589,655
76561198057742655,654
76561198077653613,654
76561198039074763,654
76561198012514677,654
76561198049937609,653
76561198078597889,652
76561197993494697,652
76561198077368826,648
76561198066568274,648
76561198044885350,648
76561198023403380,647
76561198036138459,647
76561197993654066,646
76561198034974534,645
76561198041019706,643
76561198062230377,643
76561198048339806,642
76561198000161553,639
76561198026091900,638
76561198028843194,638
76561198013881036,638
76561198027039978,638
76561198038014067,638
76561198053254142,637
76561198056839750,637
76561198065695402,637
76561198066696305,636
76561198040371949,635
76561198063230015,632
76561198043933970,632
76561198059519080,632
76561198043073478,632
76561198068494833,631
76561198052301388,631
76561198050364144,631
76561197994407302,630
76561198013395705,630
76561198057134853,630
76561198069416417,628
76561198126838278,627
76561198089185989,625
76561198047720854,624
76561198043636856,623
76561198034552772,623
76561198086101087,621
76561198075006861,620
76561198031049278,619
76561198027793700,617
76561198047260630,616
76561198010767299,615
76561198070194565,614
76561198134759827,614
76561198046244846,613
76561198045582914,613
76561198041547521,611
76561198124669704,606
76561198014630283,606
76561198065304760,605
76561198024261626,605
76561198080947173,604
76561198056360695,604
76561198062686627,604
76561198078240286,600
76561198093550604,600
76561198060056173,599
76561198059866467,598
76561198076019258,598
76561198053081936,597
76561198019447731,597
76561198045790068,596
76561198049216950,596
76561198026468073,595
76561198019861500,595
76561197998744199,595
76561198014704497,594
76561198045975933,593
76561198081711671,593
76561198043008761,592
76561198009958803,590
76561198084617961,588
76561198047576395,587
76561198072510241,586
76561198038453287,586
76561198042487168,581
76561198035540515,580
76561198046484264,579
76561198072691234,579
76561197979741260,578
76561197967071710,578
76561198082177323,577
76561198041741586,574
76561198033245094,574
76561198058177382,573
76561198059748528,571
76561198091080817,571
76561197995389992,570
76561198058675642,570
76561198059589725,570
76561198056766072,570
76561198034089533,569
76561198082586731,569
76561198049045918,569
76561198079495123,568
76561198063361762,567
76561198050687848,563
76561198073691578,563
76561197971026111,559
76561198057502931,559
76561198034923542,558
76561198067948444,557
76561198005507136,556
76561198012655587,556
76561197989549832,556
76561198043813407,554
76561198064339602,553
76561198028458466,553
76561197998189696,553
76561198050193272,553
76561198069320423,552
76561198049620986,551
76561198066780458,551
76561198000001559,551
76561198075580315,549
76561198062002959,548
76561198036879487,547
76561198083006888,546
76561197971189946,546
76561198043044699,545
76561198001766236,545
76561198048001555,544
76561198006944554,543
76561198002099482,542
76561198076580116,541
76561198029595343,541
76561198051252095,540
76561198060720550,540
76561198041163797,539
76561198069068453,537
76561198007825785,537
76561198006995218,535
76561197969458740,535
76561198012655905,532
76561197985031488,531
76561198028072716,530
76561198011493552,530
76561197973942698,529
76561198091177127,529
76561198047295349,529
76561198038678732,528
76561198078997950,528
76561198086891907,528
76561198066536791,528
76561198050496844,525
76561198045997988,525
76561198019434222,524
76561198043660131,524
76561198054667267,523
76561198066992387,522
76561198084598136,521
76561198044715921,520
76561198077464032,519
76561198048446548,519
76561198081155725,519
76561198046042632,518
76561198046810393,518
76561198008181611,518
76561198006581358,517
76561198040454306,516
76561198055331993,516
76561198079332468,515
76561198061512169,515
76561198087499166,514
76561198089979114,514
76561198077253824,513
76561198030333866,513
76561198062092163,513
76561198077456256,512
76561198053427813,512
76561198006493531,510
76561198026971509,509
76561198017969389,507
76561198040788741,507
76561198081805077,505
76561198000765354,504
76561198041965668,504
76561198026497019,503
76561198039834830,503
76561198024733140,502
76561198042064814,502
76561198076326271,502
76561198037487497,501
76561198013978206,500
76561198067306840,500
76561198047536050,499
76561197995500812,494
76561198094665607,492
76561198079308657,491
76561198008827809,491
76561198095032122,489
76561198080957774,489
76561198066448136,489
76561198029086834,488
76561197996590082,487
76561198006728972,487
76561198042873995,487
76561198030287113,486
76561197997135462,486
76561198044230704,485
76561198023724976,485
76561198050108723,485
76561198054787103,483
76561198082388430,481
76561198073552301,481
76561198072116350,479
76561198046878306,479
76561198083963688,478
76561198011218089,478
76561198043305211,477
76561197997406171,475
76561198046015922,475
76561198057451575,474
76561198085474146,474
76561198046930152,474
76561198041601893,474
76561198050859255,473
76561198086595056,473
76561198068200102,472
76561198023628050,471
76561198019694846,469
76561198062342589,468
76561198009562232,468
76561198069076906,467
76561198046456055,467
76561198060108106,466
76561198043707981,464
76561198049578952,462
76561198057024031,462
76561198001468659,461
76561198072747193,461
76561198076159518,460
76561198028618920,459
76561198028065572,459
76561198058643849,458
76561198054748824,458
76561198090411637,458
76561198081556560,457
76561198047694111,456
76561198065810697,456
76561198050155363,453
76561198064729265,450
76561198051969853,450
76561198048123785,449
76561198041646867,448
76561197966644766,447
76561198027828967,447
76561198082217300,446
76561198041232848,446
76561198071000902,444
76561198065137415,444
76561197996550123,444
76561197997844118,443
76561198053964143,443
76561198049447942,443
76561198058073911,442
76561198014231189,442
76561198050118144,442
76561198128120590,442
76561198046502129,441
76561198045102938,441
76561198036178369,440
76561198069056363,440
76561198045206472,439
76561198078325901,438
76561198006251483,438
76561198023305655,438
76561198019290226,437
76561198040135674,437
76561198068885817,437
76561198047992109,436
76561198027746366,435
76561198004968304,435
76561198067133181,435
76561198069253120,434
76561198045284839,433
76561198022821474,433
76561198064984988,433
76561198036077253,433
76561198021622091,432
76561198002876921,432
76561197962403792,431
76561198059829512,431
76561198030851714,430
76561198027263304,430
76561198062695303,429
76561198086364332,429
76561198079378923,428
76561198063432096,427
76561198091706211,426
76561198059382306,426
76561198001672973,426
76561198023630372,425
76561198018018489,424
76561197999183802,424
76561197997822707,422
76561198043075106,422
76561198136976761,421
76561197981473571,420
76561198006447627,420
76561198076726655,419
76561198055310434,419
76561198097215277,418
76561198061962556,418
76561198042003815,417
76561197992429540,417
76561198045277234,417
76561198014498369,417
76561198115693546,415
76561198028125915,415
76561198080686572,415
76561198062608312,412
76561198084470332,412
76561198040467357,412
76561198083817739,411
76561198052265975,411
76561198043911751,411
76561197981203305,410
76561198075827113,409
76561198103137933,409
76561198014984096,409
76561198042754142,408
76561198052710344,407
76561198050092449,406
76561197992810775,406
76561198062993482,406
76561198039951082,405
76561198030905210,405
76561198041817861,405
76561198068648436,403
76561198048134122,402
76561198044358965,401
76561198039603047,400
76561198012315676,400
76561198069063361,400
76561197971399999,400
76561198039509150,399
76561198069688312,399
76561198014855015,398
76561198056650132,398
76561198044363267,398
76561198015511950,398
76561198018069178,397
76561198067655251,396
76561197998397535,396
76561198053503671,395
76561198052903951,395
76561198018198781,395
76561198047632791,394
76561198081095667,393
76561198070621937,393
76561198030021498,392
76561197983589335,392
76561198080319899,392
76561198047962982,391
76561198040138006,390
76561198069491539,389
76561198065847981,389
76561198035732320,389
76561198235436424,389
76561198138934896,388
76561198048947345,388
76561198063578348,387
76561198056557091,386
76561198048064049,386
76561198048742509,384
76561198067023516,383
76561198054927960,383
76561198065138903,383
76561198044801614,383
76561198076619265,382
76561198088571383,382
76561198045538376,381
76561198053072809,381
76561198055370293,380
76561198005505540,380
76561198012334357,380
76561198064473621,380
76561198074281507,379
76561197995282417,379
76561198015904026,379
76561197993263354,378
76561198053366833,377
76561198050854475,377
76561198034217511,377
76561198111669258,376
76561198052411042,375
76561198039225440,375
76561198048004291,374
76561198041648417,374
76561198075393320,374
76561198045221839,374
76561198055703686,373
76561198051826929,373
76561198086259989,373
76561198050313882,372
76561198056347746,371
76561198029900119,371
76561198004706815,371
76561198082702715,371
76561198096770247,371
76561198064995319,369
76561198060929389,369
76561198064375394,368
76561198070405795,368
76561198010375099,368
76561198000304478,368
76561198057767543,367
76561198064961551,367
76561198082087026,366
76561198047535784,366
76561198034788059,366
76561198053723130,366
76561198041127725,366
76561198041599441,365
76561198036511349,365
76561198073100243,362
76561198020616882,362
76561198041121765,361
76561198058924563,361
76561198026239418,361
76561198062914222,359
76561198043026264,359
76561198014598953,359
76561198061797422,358
76561198068292811,358
76561198068082393,358
76561198040897947,358
76561198046583586,357
76561198068392967,357
76561198040918962,357
76561198105400363,356
76561198056826578,356
76561198060095580,355
76561198065342657,355
76561198041740640,354
76561198076829467,354
76561198043807911,354
76561197961045385,354
76561198080976016,354
76561198062013189,353
76561198106360981,352
76561198068689333,352
76561198055354122,351
76561198043948800,351
76561198052783085,351
76561198062099315,351
76561197997530856,351
76561198054076313,350
76561198071176877,350
76561198050971739,349
76561198017326686,349
76561198057322597,349
76561198061666309,349
76561198056371127,348
76561198059818580,348
76561198058452151,348
76561198090856844,347
76561198055549818,347
76561198060543822,347
76561198042253256,346
76561198056156998,346
76561198035859601,345
76561198065928066,345
76561198081187170,344
76561198047624325,343
76561198057391954,343
76561198077092391,343
76561198081499095,343
76561198080285780,342
76561198059597304,342
76561198061861251,342
76561198061115484,342
76561198040105555,342
76561198070352517,341
76561198018945458,340
76561198044313138,340
76561198043946150,339
76561198044223034,338
76561198023285645,337
76561198067792336,337
76561198063868127,337
76561198042823843,337
76561198026192083,336
76561198104215028,336
76561197995472865,336
76561198049796627,335
76561198047520506,335
76561198070843702,335
76561198083458630,334
76561198017205526,333
76561198069849697,333
76561198061512537,332
76561198042944630,332
76561198089346291,332
76561198072533733,331
76561198054443718,331
76561198035066628,330
76561198028408815,330
76561198044957702,330
76561198062180531,328
76561198025628522,328
76561198041445527,327
76561197967782448,326
76561198040275855,326
76561198045356839,326
76561198052378807,326
76561198018293914,325
76561198040925114,325
76561198063085949,324
76561198044044625,323
76561198053940398,323
76561198014529901,323
76561198052596472,323
76561198002214725,322
76561198063814015,322
76561198050314158,322
76561198044115017,322
76561198050153729,321
