steam_id,playtime_forever
76561198006995190,180406
76561198061028312,133078
76561198027455361,63277
76561198081786584,60076
76561198030769891,51502
76561198004311251,43390
76561198064692010,39152
76561198035202077,36088
76561198087466439,33271
76561198082325305,29518
76561198066892282,29475
76561198057982190,29221
76561198057998681,28942
76561198062737330,28114
76561198044738808,28054
76561198081026741,23605
76561198057220133,23108
76561198067674227,20604
76561198072653652,19864
76561198043909770,19610
76561198017140286,16510
76561197995146150,15820
76561197990451246,15370
76561198066968708,14977
76561197995850655,14828
76561198047821082,14768
76561198029681660,14588
76561198048708552,14285
76561198048526408,14157
76561198009846599,13979
76561198031840883,13439
76561197963549028,12385
76561198000345791,12314
76561198064395261,12193
76561198046864121,11972
76561198000740110,11805
76561198060601367,11454
76561198046118971,11388
76561197992280471,11180
76561198025536901,11046
76561198043028094,10893
76561198047470321,10559
76561198068156317,10340
76561198032794297,10112
76561198081340023,9845
76561197989691928,9788
76561198072029747,9595
76561198048313808,9449
76561198106878606,9350
76561198040091426,9342
76561197962929275,9204
76561198044652825,9077
76561198006994190,8973
76561198083084460,8971
76561198037521552,8918
76561198047701821,8742
76561198003772075,8613
76561198043530022,8558
76561198059318735,8544
76561198052737632,8477
76561198089123722,8396
76561198066272265,8317
76561197960798335,8115
76561198042649425,8042
76561197960888883,7769
76561198067997800,7616
76561198043909573,7409
76561198040150405,7316
76561198070005881,7302
76561198050613769,7278
76561198039119848,7259
76561198046186008,7129
76561198046664381,7008
76561198042022376,6908
76561198018151820,6907
76561198077370213,6899
76561198081715961,6892
76561198037810633,6745
76561198070335606,6641
76561198325096636,6597
76561197972880792,6320
76561198069840992,6192
76561198003428090,5975
76561198143334950,5851
76561197989113830,5827
76561198054209156,5569
76561197967174031,5551
76561198063421739,5236
76561198041784529,5223
76561198032474845,5104
76561198048427519,5041
76561198058124455,5024
76561197960568744,4954
76561198073069438,4950
76561197996403460,4923
76561198007150650,4897
76561198064117191,4894
76561198005620116,4840
76561198068431036,4826
76561198074505576,4737
76561198070484410,4677
76561198097574493,4642
76561198051718942,4641
76561198052415115,4520
76561198035814564,4434
76561197994608614,4434
76561198067276330,4391
76561198083375450,4366
76561198066797821,4353
76561198026012025,4288
76561198062566313,4273
76561198064979196,4143
76561198038477932,4140
76561198156591174,4125
76561197970564661,4102
76561198062539832,4047
76561198083947153,4019
76561198043001767,3972
76561197990880154,3939
76561198040657197,3937
76561198041229846,3855
76561198033628583,3773
76561198000587831,3743
76561198062225911,3733
76561198006267245,3633
76561197970660574,3578
76561197966878140,3553
76561198080601475,3520
76561198008608656,3477
76561198088679461,3416
76561197981240840,3319
76561198041473324,3315
76561198041669674,3292
76561198037009387,3274
76561198091646383,3244
76561198004791440,3224
76561198031628859,3180
76561198063051079,3163
76561198044143080,3105
76561198009318462,3075
76561198050551794,3065
76561198012683653,3055
76561197962028169,3039
76561198046783368,3033
76561198030768353,3012
76561198057747700,2974
76561198031692988,2962
76561198070062057,2943
76561198066671326,2871
76561198034839917,2818
76561198049531240,2808
76561198065327741,2787
76561198045266254,2769
76561198044634932,2768
76561198038487063,2757
76561198059707959,2752
76561198040530624,2742
76561198041134186,2740
76561198033807790,2716
76561198038995719,2664
76561198065446618,2649
76561198058507679,2643
76561198074912402,2632
76561198056536128,2601
76561198047524368,2600
76561198065278114,2575
76561198093768306,2557
76561198042019784,2550
76561198011920971,2511
76561198075300723,2503
76561198052029872,2485
76561198069351753,2482
76561198007060849,2461
76561198044600700,2447
76561198055372831,2444
76561198044939256,2441
76561198051957930,2435
76561198067452383,2402
76561198077583455,2396
76561198041881075,2348
76561198042151503,2308
76561198066310777,2303
76561198020522716,2301
76561198037745745,2231
76561198036736458,2190
76561197985576649,2158
76561198100668404,2154
76561198047756081,2140
76561198006206678,2139
76561198020233399,2130
76561198042065834,2127
76561197961465709,2119
76561198025720387,2111
76561198027110664,2102
76561198040694818,2097
76561198005778772,2076
76561198095005075,2073
76561198073837578,2070
76561198054206617,2060
76561198027553209,2048
76561198035067790,2045
76561198015460867,2028
76561197963894168,2024
76561197991572011,2020
76561198052031282,2015
76561197970735456,2005
76561198027306821,2003
76561198048007930,1986
76561198061177795,1972
76561198029280817,1970
76561198069552266,1956
76561198021712879,1949
76561198048934899,1908
76561198057970266,1897
76561198088423297,1874
76561198068231737,1871
76561197995409603,1839
76561198020583823,1833
76561198053858460,1830
76561197989725385,1830
76561198089967981,1826
76561198064899111,1783
76561198045591068,1772
76561198013254835,1763
76561198050509386,1748
76561198067972716,1738
76561198068614009,1732
76561198012517047,1731
76561198091912327,1701
76561198089939629,1692
76561197966648936,1688
76561198033143089,1670
76561198078381993,1640
76561198052723604,1636
76561198160316683,1631
76561198106866138,1614
76561198023314106,1606
76561198024633064,1603
76561198034277356,1600
76561198122105426,1597
76561198054543661,1594
76561198073197778,1592
76561198069410187,1585
76561198068442781,1583
76561198094946197,1566
76561198021923374,1557
76561198044594262,1555
76561198062552749,1550
76561198081298968,1541
76561198054281670,1532
76561198026497579,1527
76561198047241493,1519
76561198050191704,1516
76561198029571120,1499
76561198055491845,1494
76561198043415920,1486
76561198069089946,1480
76561198016215456,1461
76561198078751822,1455
76561198041647183,1443
76561198081509282,1435
76561198051093996,1433
76561198041676366,1428
76561198072004384,1421
76561198093076356,1417
76561198027254626,1413
76561198072533733,1407
76561198064339602,1397
76561198021997782,1396
76561197966713982,1386
76561198058217502,1383
76561198041445527,1370
76561198116062531,1364
76561197999240770,1360
76561198085878301,1355
76561198039606950,1321
76561198076219556,1317
76561198056314722,1301
76561198063591717,1298
76561198060082680,1296
76561197999140519,1295
76561198021358289,1283
76561198073147535,1278
76561198042802930,1270
76561197992014675,1259
76561198059685697,1255
76561198081599215,1252
76561198100782616,1251
76561198044345823,1240
76561198081409914,1233
76561197999005757,1225
76561198060804779,1218
76561198040914182,1209
76561198103535483,1203
76561197970758033,1196
76561198091080817,1194
76561198103242453,1188
76561198020847525,1183
76561198020061745,1183
76561198049223407,1164
76561198000149660,1157
76561198027585180,1151
76561198062180678,1139
76561198022879865,1133
76561198008026450,1125
76561198044617836,1120
76561198056211827,1117
76561198069402461,1117
76561198068133128,1109
76561198043176272,1108
76561197992991719,1107
76561198065273523,1102
76561198084703989,1100
76561198037334070,1096
76561198072862795,1084
76561198069181280,1078
76561198027330526,1073
76561198097169936,1069
76561198075012648,1065
76561198050557204,1065
76561198074113907,1058
76561198127849339,1049
76561198064148060,1048
76561198063805008,1028
76561198049502185,1016
76561197992223080,1011
76561198064261294,1009
76561198084429053,1001
76561198059873852,992
76561198027286230,991
76561198061458070,980
76561198081168026,979
76561198075968863,973
76561198035809740,966
76561198084667711,964
76561198074736789,960
76561197974412558,953
76561198064949993,934
76561198025500916,932
76561198098840056,931
76561198018589800,929
76561198042839144,921
76561198049447026,919
76561198088661531,918
76561198018986283,911
76561197995249951,909
76561198063527700,909
76561198070358347,908
76561198075600018,905
76561198068028853,899
76561198050462352,896
76561198064161333,896
76561198041680861,890
76561198048123629,890
76561198077557008,884
76561198038944479,883
76561198264406978,883
76561197993871194,880
76561197982421447,873
76561198021307778,870
76561198072061907,864
76561197966298550,856
76561198067106876,856
76561198010271990,851
76561198044117893,850
76561198055372490,850
76561198066203201,849
76561198099088084,843
76561198084234757,843
76561197975369524,841
76561198105406034,841
76561198128120590,839
76561198032455402,835
76561198048163741,834
76561198030937737,832
76561198042544702,814
76561198064959799,813
76561198043898721,812
76561198016152495,812
76561198095773062,809
76561198080609032,803
76561198074625457,801
76561198029968002,797
76561198055775481,794
76561198059101075,792
76561198027343237,789
76561198034575361,787
76561198011621166,786
76561198042220053,780
76561198042148642,779
76561197963219999,775
76561198064253920,774
76561198062908030,774
76561198035871783,768
76561198042082977,762
76561198078694125,760
76561198062866193,759
76561198025038617,757
76561198086175509,753
76561197997277886,748
76561198072230888,748
76561198037720383,747
76561198056765750,741
76561198045412264,736
76561198015673544,736
76561197963429707,734
76561198025394685,731
76561198062652310,728
76561198017345674,727
76561197970550128,712
76561198078212818,711
76561197969455548,702
76561198044011957,700
76561198039050385,696
76561198086045190,692
76561197999719746,691
76561198028509438,686
76561198066969630,681
76561198079332919,677
76561198058887844,668
76561198079211507,667
76561198039229372,666
76561198034034727,661
76561198085956877,660
76561198087332017,657
76561198063267577,654
76561198066371178,651
76561198041163483,649
76561198010375099,649
76561198073559978,648
76561198059307733,640
76561198066504313,634
76561198050681039,629
76561198050296173,626
76561198034263992,625
76561198071000902,621
76561197974964665,621
76561198049666822,618
76561198026324076,616
76561198059891232,603
76561198024782225,600
76561198040099619,594
76561198028365433,593
76561198033500987,592
76561198025034607,592
76561198059443157,589
76561198034523826,586
76561197991380208,585
76561198063210054,584
76561198065676099,584
76561198163904000,584
76561198060901683,576
76561198052903951,572
76561198071461686,572
76561198102767019,569
76561198085049871,568
76561198067453859,568
76561198068831727,565
76561198008342497,565
76561198027868963,562
76561198041128585,560
76561197979491932,560
76561198055570026,558
76561198074138314,557
76561198065725333,555
76561198062907993,548
76561198030322804,543
76561198016614575,539
76561198050764330,536
76561198047628185,535
76561198076227203,535
76561197988978706,535
76561197989549832,532
76561198064572589,532
76561198031911370,531
76561197998943704,522
76561198112027349,513
76561198051366414,513
76561198085336202,512
76561197974077859,510
76561198009391982,509
76561198040188061,509
76561197965932870,509
76561198006845828,505
76561198026336033,505
76561198069917494,504
76561197971116715,503
76561197996935989,501
76561198053334053,501
76561198203947177,501
76561198076469340,498
76561198079335081,497
76561197971859273,496
76561197972734322,491
76561198044286788,488
76561198084586078,481
76561198080021911,480
76561198000611049,480
76561198044237378,479
76561198071059521,478
76561198080619885,476
76561198031757101,476
76561197972230407,473
76561198006735420,470
76561198075549707,468
76561198014874639,464
76561197992729547,462
76561198084878949,462
76561198026239418,462
76561198027137736,458
76561197970937211,456
76561198060068927,455
