steam_id,playtime_forever
76561197995146150,15942
76561198042170355,10467
76561198018151820,6907
76561198047756081,4693
76561198040188061,4525
76561198080601475,3802
76561197965207724,3571
76561198089967981,3523
76561198046783368,3491
76561198009318462,3404
76561198065327741,2787
76561198040530624,2742
76561198056536128,2657
76561198051957930,2656
76561198058887844,1944
76561198068614009,1932
76561198058217502,1930
76561198045591068,1772
76561198097169936,1709
76561198081437865,1704
76561198037720383,1703
76561198089939629,1692
76561198069410187,1662
76561198078381993,1640
76561198052723604,1636
76561198025500916,1609
76561198122105426,1597
76561198054606902,1584
76561198081298968,1559
76561198116062531,1549
76561198047241493,1519
76561198069603322,1497
76561198055491845,1494
76561198078751822,1465
76561198016215456,1461
76561198081509282,1435
76561198077531443,1424
76561198072533733,1407
76561198064339602,1397
76561198064572589,1368
76561198075012648,1353
76561198091080817,1338
76561198059685697,1337
76561198039606950,1337
76561197999140519,1295
76561198049447026,1283
76561198042376148,1281
76561198050557204,1279
76561198078743346,1262
76561198075968863,1146
76561198066203201,1141
76561198062180678,1139
76561198022879865,1133
76561198044617836,1131
76561198074113907,1131
76561198069402461,1117
76561198084703989,1100
76561198057591023,1070
76561198102767019,1055
76561198049502185,1016
76561198084667711,1012
76561198063527700,1010
76561198064261294,1009
76561198084429053,1001
76561198027286230,991
76561198064161333,990
76561198047711462,981
76561198067106876,975
76561197975369524,958
76561198098840056,940
76561198064959799,935
76561198018589800,929
76561198015673544,926
76561198042839144,921
76561198086045190,916
76561198098157284,903
76561198080619885,896
76561198048123629,890
76561198077557008,884
76561198080609032,879
76561198072061907,864
76561198099088084,843
76561198083518792,837
76561198032455402,835
76561198085049871,831
76561198063267577,827
76561198078212818,822
76561198074625457,811
76561198029968002,797
76561198030937737,791
76561198027343237,789
76561198050764330,751
76561198025394685,739
76561198059307733,720
76561198051336934,713
76561198034711455,705
76561198044011957,700
76561197999719746,691
76561198028509438,687
76561198050296173,662
76561198010375099,649
76561198041163483,649
76561198073559978,648
76561198034263992,625
76561197993009150,606
76561198069036644,591
76561198047584892,577
76561198046135457,574
76561198071951119,573
76561198052903951,572
76561197992729547,571
76561198068831727,565
76561198027868963,565
76561198065725333,558
76561198063986589,551
76561198062907993,548
76561197998943704,537
76561198057553528,534
76561198069905942,532
76561198046227105,520
76561197995176045,518
76561198112027349,513
76561198085336202,512
76561198026336033,505
76561198203947177,501
76561198076469340,498
76561198079335081,497
76561197995169107,495
76561198063629285,485
76561198021019289,484
76561198080021911,480
76561198000611049,480
76561198071059521,478
76561197972230407,473
76561198000079749,468
76561198041281813,464
76561198047115335,464
76561198001518866,456
76561198070805372,445
76561198088311927,442
76561198089719383,440
76561198001486369,439
76561198062182044,431
76561198089629607,430
76561198042987313,425
76561197972473057,422
76561198074156090,422
76561198080886952,418
76561198050658154,412
76561198077961592,411
76561198005517355,405
76561198099111544,398
76561198047188446,397
76561198042070956,396
76561198011433474,393
76561198039047817,390
76561198023625312,390
76561198041243029,390
76561197991677902,389
76561197987065774,389
76561197993030272,387
76561198002560047,372
76561198107602070,372
76561198064199288,369
76561198070268080,366
