steam_id,playtime_forever
76561198054602972,7049
76561198098373776,1698
76561198021611368,1045
76561198002644780,628
76561198069324966,609
76561198046162899,566
76561198044237378,487
76561198029274175,454
76561197972326085,452
76561197994831363,434
76561198029743458,424
76561198062232099,414
76561198038486281,402
76561197971859273,365
76561197972303841,327
76561198075300723,321
76561198050762093,294
76561198022557912,271
76561198061962799,263
76561198054776845,234
76561197976313504,210
76561198042410388,209
76561198019434222,209
76561197977525575,189
76561198078907140,189
76561198030947939,184
76561198000554821,181
76561198042148866,178
76561198030021498,169
76561197977318183,161
76561198042544702,157
76561198059604675,157
76561198019106125,156
76561197970580235,143
76561198000190288,133
76561198044198059,132
76561198039778509,131
76561198035860222,127
76561198003811382,120
76561198038148907,117
76561198001638037,116
76561198029976254,103
76561197970723780,102
76561198024563946,95
76561197960561678,94
76561197971399999,82
76561197970937211,81
76561198014722276,80
76561198037487497,79
76561197967174031,78
76561197961112434,75
76561198044955612,68
76561198033713264,66
76561197983066077,66
76561197974522156,63
76561198020901037,56
76561198038678732,54
76561198117845393,48
76561198051450825,43
76561198041730036,40
76561198031751147,39
76561197995125763,39
76561197970582291,39
76561198055408000,38
76561198073418523,32
76561198013701195,32
76561198019040043,31
76561197995896877,31
76561197970550128,19
76561197960435530,13
76561198026960298,12
76561197964542243,6
76561198065322037,4
76561198043157604,0
76561198018984753,0
76561197993650831,0
76561197985020147,0
76561198099328121,0
76561198162862092,0
