steam_id,playtime_forever
76561198082230686,1319
76561198036063257,1184
76561198078907140,1118
76561197991836307,1090
76561198087470887,927
76561198054602972,896
76561198044508924,895
76561198065725333,894
76561198025041462,860
76561198039778509,761
76561198075055875,758
76561198061962799,756
76561198000190288,725
76561198074927708,696
76561198062232099,686
76561198055408000,677
76561198059604675,641
76561198011218089,625
76561198038486281,616
76561198083492734,575
76561198102767019,554
76561198064534559,536
76561198069536565,529
76561198093166360,516
76561197990408423,516
76561198098373776,495
76561197972303841,493
76561197977525575,484
76561198051450825,483
76561198078365803,461
76561198051715280,453
76561197968788938,445
76561198044237378,444
76561198046450367,443
76561198064768752,441
76561198000554821,440
76561198019434222,437
76561197970723780,433
76561198018556361,425
76561198072109766,415
76561197971859273,413
76561198206303015,411
76561198020901037,410
76561198029976254,387
76561198053675362,378
76561197970937211,376
76561198008181611,376
76561197994831363,363
76561198073471080,360
76561198048354078,343
76561198030021498,335
76561198026960298,332
76561198034468993,330
76561198077712966,323
76561198041823841,321
76561198025816046,310
76561198042148866,307
76561198044198059,304
76561198037487497,304
76561198119803063,301
76561198021611368,294
76561198041417698,286
76561198030299081,286
76561198000537256,280
76561198044551698,279
76561198008871874,278
76561198001518866,277
76561198048151962,275
76561197962028169,274
76561198033713264,270
76561197988455997,268
76561198046162899,267
76561198064621980,265
76561198061254669,261
76561198053963927,255
76561197974522156,251
76561198038678732,249
76561197979020333,239
76561198001638037,239
76561198053852153,238
76561197967174031,238
76561198044383266,234
76561198034567618,233
76561198019106125,227
76561198061289587,227
76561197971399999,219
76561198002644780,217
76561198035860222,205
76561198024276651,203
76561197971857001,199
76561197976313504,199
76561198036409929,188
76561197972326085,182
76561198041730036,180
76561198042410388,179
76561198012778932,175
76561197977318183,168
76561198093624679,166
76561198048416829,163
76561197983066077,162
76561198044955612,161
76561198056251305,157
76561198025198077,157
76561198019040043,156
76561198060176226,154
76561198042544702,146
76561198038148907,143
76561198027110664,140
76561198082712691,134
76561198061375313,131
76561197970545566,130
76561198029274175,128
76561197986218822,121
76561198050762093,117
76561198117845393,108
76561198075300723,108
76561198007539695,108
76561198061531823,107
76561198003811382,107
76561198030947939,99
76561198006493531,96
76561198071430243,94
76561197989869899,88
76561198162862092,88
76561198045616007,86
76561197960561678,86
76561198042237966,85
76561198060787863,82
76561198014722276,72
76561198061807140,72
76561198039330239,71
76561198024889756,68
76561197992845568,68
76561198073418523,65
76561198057921996,65
76561197960281121,64
76561197998873955,64
76561197995125763,60
76561198087786125,58
76561198053014094,58
76561198029940124,57
76561198024563946,57
76561197971076715,56
76561198040099619,56
76561197995896877,47
76561197970582291,47
76561197960534895,46
76561197961112434,45
76561198053872343,45
76561197970580235,43
76561197977389534,38
76561198029743458,37
76561198029864696,31
76561197999638720,31
76561198039312374,31
76561198013701195,27
76561198023093635,25
76561198051759723,19
76561198065322037,17
76561197964542243,16
76561197966878140,13
76561198095226109,9
76561198042966858,8
76561198036657265,5
76561198118965684,0
76561198099328121,0
76561198119472780,0
76561198056194879,0
76561197991699268,0
76561197992227006,0
76561198080495217,0
76561197999587329,0
76561198004448633,0
76561198021135506,0
76561198022557912,0
76561198069494383,0
76561198035142532,0
76561198047524368,0
76561198048123785,0
76561198003980014,0
