steam_id,playtime_forever
76561198025107925,13227
76561198091646080,5400
76561198063629012,4312
76561198017606662,3651
76561198085068145,3635
76561198042738965,3201
76561198103540275,2955
76561198039233605,2894
76561198066452898,2855
76561197961124706,2504
76561198093768306,2444
76561198011445956,2330
76561198034217511,2135
76561198014910012,2090
76561198054612606,2051
76561198092300490,2034
76561198037582443,2010
76561198090628232,1975
76561198042178595,1947
76561198012604792,1915
76561198043524540,1834
76561198089793989,1827
76561198006442367,1822
76561198076362383,1790
76561198059687929,1775
76561198032558761,1707
76561198046888750,1682
76561198082706194,1670
76561198046656291,1656
76561198014726093,1611
76561198019742120,1609
76561198023630372,1592
76561198014969917,1539
76561198077448060,1533
76561198039045887,1502
76561198021710409,1490
76561198045006942,1451
76561198075965698,1427
76561198118965684,1418
76561198041562431,1376
76561198000001559,1368
76561198065449703,1361
76561198044617836,1315
76561198001398677,1309
76561198058390863,1290
76561198004820900,1228
76561197995207074,1213
76561198059943181,1211
76561198007906584,1193
76561198064484479,1172
76561198013828918,1160
76561198029595343,1156
76561198076811458,1144
76561198022744981,1142
76561198043946150,1125
76561198121272597,1106
76561197960889906,1098
76561198091461532,1096
76561197991836307,1090
76561198053868175,1064
76561197963549028,1056
76561197969360270,1052
76561197993705230,1052
76561198071314710,1045
76561198075754096,1035
76561198020172660,1031
76561198091571570,1027
76561198096451147,1012
76561198047985731,1000
76561198067243010,995
76561198087829868,984
76561198044128695,977
76561198060878934,966
76561198041874601,958
76561198000698397,943
76561198074278130,938
76561197994367028,933
76561198138691719,933
76561198025234500,921
76561197970571857,920
76561198041045741,920
76561198101093277,914
76561198063186191,912
76561198044605552,904
76561198048354078,894
76561197977859433,868
76561198045444761,866
76561198055882002,858
76561198061607635,849
76561198005778772,844
76561198054155652,840
76561198006602165,838
76561198067269712,818
76561198022915154,800
76561198074567458,798
76561197998219184,798
76561197989299389,797
76561198046878520,791
76561198046173663,789
76561198065725333,781
76561198070355509,779
76561197988004162,777
76561198085656859,776
76561198006251483,771
76561198050455850,769
76561197963590175,768
76561198044920971,764
76561198064020523,761
76561198012040171,752
76561198061698143,734
76561198049796627,729
76561197999483873,708
76561198032325085,704
76561197988173026,685
76561197967514845,683
76561197997423130,674
76561198073584755,671
76561198024728550,670
76561197998873955,666
76561198030851552,658
76561198074479756,658
76561198129961434,658
76561198081834742,652
76561198061308382,650
