steam_id,playtime_forever
76561198005620005,112591
76561198022226815,67434
76561198094455101,58548
76561197993631180,54516
76561198052504403,49798
76561198013368753,49343
76561198039701203,48037
76561197993591260,41333
76561198039631435,39280
76561197966979423,39243
76561197972303841,36874
76561198042770842,34480
76561197994490118,33760
76561198045506845,33627
76561198022666487,33518
76561198045797718,32818
76561198073120349,32728
76561197992785026,32130
76561198045124565,31903
76561198016458849,31311
76561198061505714,31098
76561197971857001,30170
76561197990340465,29961
76561197966298550,29630
76561198040710605,28688
76561198004673788,28331
76561198001743414,27245
76561198000554821,26957
76561198088807138,25974
76561198054131489,24669
76561198047821070,24379
76561197977251065,23511
76561197995495679,22714
76561198082939654,22393
76561198056633646,21149
76561198011533373,20705
76561198060969570,19896
76561198025313381,19833
76561197996426598,19801
76561198058826879,19621
76561198026810952,19480
76561198054752011,19369
76561198033387354,19317
76561198051092954,19122
76561197994380497,18700
76561198077210007,18451
76561198046358783,18348
76561198068494125,18004
76561198061567619,17942
76561198039694296,17867
76561198100129112,17734
76561198050051190,17441
76561197997530856,16882
76561198054613028,16536
76561198051511620,16360
76561198025266324,16070
76561197998061835,16029
76561197970775891,15969
76561198032558761,15821
76561198018553225,15587
76561198067686885,15566
76561198029817505,15420
76561198056735088,15211
76561198076219556,14901
76561198060146226,14881
76561198023745309,14771
76561197962736283,14689
76561197998219184,14662
76561198015680666,14585
76561197967664049,14167
76561198040363988,14118
76561198041581278,14013
76561198073725443,13837
76561198043637538,13779
76561197985990065,13733
76561198084679366,13638
76561197970535832,13549
76561198046802717,13541
76561197976984468,13533
76561198062328993,13526
76561198037750323,13429
76561198018586074,13402
76561198011431696,13347
76561198030245280,13341
76561198048948026,13340
76561198024776356,13316
76561197992427444,13057
76561197996033933,12965
76561198060656659,12942
76561198065247809,12862
76561198050363268,12843
76561197991092850,12715
76561198045833405,12703
76561198189501926,12660
76561198056774386,12605
76561198082227157,12544
76561198084015139,12541
76561198015164767,12501
76561198029595343,12498
76561198065231196,12453
76561198074333465,12400
76561197972296753,12361
76561198054149292,12335
76561198075993539,12240
76561198047646794,12198
76561197960468196,12179
76561197986916169,12145
76561198023287837,12101
76561198053619286,12040
76561198034699157,12029
76561198028592267,12017
76561198044027541,12007
76561198058887844,11975
76561198093768306,11929
76561198089041882,11842
76561197969311825,11799
76561198035594384,11796
76561197976032007,11733
76561198024890098,11722
76561197995483380,11682
76561198093792908,11554
76561198026336033,11516
76561198056102052,11480
76561198057049076,11416
76561198025743515,11392
76561198036745107,11388
76561198065491382,11282
76561198078138335,11204
76561198045133986,11075
76561198042410388,11068
76561198012135937,11035
76561197976313504,11032
76561198045154816,10998
76561198015339516,10815
76561198019437162,10811
76561197992344717,10776
76561198027455361,10760
76561198053000587,10666
76561198059969805,10635
76561198072976420,10544
76561198038951129,10534
76561198075827113,10434
76561198044138438,10354
76561197970525544,10176
76561198034215738,10154
76561197963469414,10131
76561198010620108,10020
76561198033429149,10016
76561198035999413,9967
76561198077437930,9949
76561198071057875,9935
76561198055926956,9880
76561197993705230,9788
76561198025392861,9734
76561198057471883,9689
76561197967787808,9682
76561198080506389,9589
76561198001808821,9561
76561198032651953,9533
76561198075420829,9491
76561197990895276,9477
76561198040060741,9471
76561198030943511,9463
76561198127521504,9413
76561198053471515,9411
76561197972143548,9397
76561197972797551,9368
76561198026461734,9342
76561198028583056,9314
76561198036161390,9274
76561198047695661,9204
76561198012189478,9117
76561198095345433,9116
76561197986715883,9075
76561198067171086,9040
76561198063861019,9033
76561198043003447,8984
76561197989039660,8975
76561197997131727,8966
76561197995164445,8936
76561198001917486,8930
76561198044890488,8913
76561198077811980,8907
76561198075396291,8852
76561198012076358,8837
76561197993128335,8829
76561198072751883,8809
76561198051715280,8713
76561198035809740,8599
76561197979745311,8567
76561198033134963,8549
76561198024001992,8512
76561198043897246,8501
76561198045640612,8479
76561198088971013,8402
76561198131002806,8356
76561197963395264,8341
76561198045792460,8341
76561198006442367,8310
76561197996890146,8267
76561198225431384,8217
76561198071635721,8184
76561198055775816,8168
76561197969731516,8162
76561198007306685,8137
76561198026344945,8109
76561198029976254,8090
76561198072388210,8058
76561198022506876,8036
76561198056504388,8009
76561198062967154,8008
76561197993871194,7988
76561198068500978,7986
76561198073754800,7985
76561198029274175,7866
76561198060824524,7862
76561198065322400,7846
76561198027330526,7840
76561198021622222,7812
76561198092015254,7768
76561198045420316,7765
76561198087770592,7752
76561198056277856,7749
76561198069683837,7549
76561198041998817,7535
76561198054026701,7491
76561197995022755,7488
76561198035607937,7376
76561198071474939,7372
76561198064375394,7365
76561198052190360,7320
76561198012692998,7263
76561198045030771,7262
76561198071159522,7250
76561198014171981,7232
76561198071332808,7219
76561198046134938,7159
76561198060502304,7157
76561198011645494,7156
76561198051342267,7142
76561197984249981,7127
76561198038080284,7126
76561198057023291,7092
76561198043356370,7091
76561198017797921,7079
76561198044113153,7074
76561198069995506,7006
76561198010679125,6997
76561198066566016,6929
76561198046062663,6925
76561197999532036,6896
76561198035203313,6890
76561198049795042,6885
76561198031147214,6867
76561198095506994,6849
76561197990097714,6841
76561198044617836,6834
76561198028172459,6821
76561198068420640,6820
76561198061663176,6813
76561198089025339,6810
76561197987342242,6780
76561198014231757,6777
76561198058385836,6755
76561198058816627,6733
76561198013466123,6696
76561198083636157,6684
76561198038374904,6648
76561198118697312,6624
76561198027254626,6623
76561198101648152,6606
76561198053379278,6601
76561198045983131,6572
76561198076835892,6557
76561198061589633,6538
76561198073908917,6533
76561198057453677,6507
76561198047613547,6503
76561197985164606,6475
76561197988397124,6473
76561198046726002,6469
76561198071028681,6461
76561198044610496,6456
76561198047569011,6443
76561198090590971,6440
76561198025816046,6439
76561198075177267,6385
76561198032713655,6376
76561198043803847,6322
76561198025911906,6314
76561198013091048,6314
76561198056371127,6274
76561198085905908,6271
76561198027225504,6266
76561198043112708,6265
76561198089300025,6218
76561198091646080,6161
76561198121874542,6114
76561198045797366,6068
76561198064736339,6050
76561198072423643,6048
76561198013341259,6028
76561197995163667,6025
76561198063489825,6024
76561198059180746,6009
76561197970937211,5989
76561198041031889,5960
76561197968531038,5959
76561198027595535,5958
76561198128295561,5943
76561198031480846,5937
76561198034567618,5926
76561198029178874,5923
76561198092231379,5922
76561197973942939,5919
76561198007521657,5915
76561198045218406,5913
76561198065847981,5893
76561198092374007,5856
76561198009001563,5850
76561198063105146,5836
76561198126594586,5826
76561198019568583,5815
76561198059963566,5805
76561198031911370,5803
76561198048432515,5802
76561198078302338,5769
76561198022616011,5757
76561198003548527,5719
76561198031414399,5715
76561198045401927,5714
76561198059273758,5685
76561198036292266,5681
76561198066312344,5674
76561198048071301,5670
76561198011714432,5658
76561198045791276,5647
76561198048235993,5647
76561197999549682,5646
76561198090426708,5628
76561198027457835,5627
76561198063157495,5625
76561198049132458,5613
76561198071671515,5612
76561198054544727,5601
76561198009433842,5601
76561198071388587,5571
76561198080976016,5563
76561198039229372,5546
76561198078493105,5543
76561198080804547,5541
76561198024493161,5509
76561198066964172,5492
76561198020281564,5484
76561198049222314,5477
76561198004744620,5476
76561198013008684,5451
76561198024984271,5437
76561198021710409,5432
76561198044042926,5420
76561198072135441,5419
76561198039288817,5418
76561198011926716,5365
76561198042345839,5363
76561198015275299,5362
76561198079990063,5357
76561198031245536,5345
76561198018426986,5328
76561198027110664,5320
76561198081192717,5303
76561198060494794,5297
76561198057027227,5291
76561198042753248,5275
76561198056194879,5270
76561198080609032,5264
76561198052929892,5263
76561198044286355,5261
76561198044732781,5234
76561198045361210,5234
76561198082886006,5198
76561197997378650,5189
76561198007539695,5178
76561198060394438,5172
76561198047912892,5131
76561198070647134,5113
76561198048557313,5113
76561198085457258,5113
