steam_id,playtime_forever
76561198138390863,478
76561198062232099,377
76561198075427390,330
76561198087066156,321
76561198003167470,306
76561198102767019,292
76561198005738944,292
76561198000537256,280
76561198067219635,280
76561198001518866,275
76561197988411069,249
76561198048151962,182
76561197991677902,157
76561198055555174,157
76561198044920564,151
76561198119472780,124
76561197992236665,122
76561198028583056,64
76561198010803705,46
76561198045316032,14
76561198038762356,8
76561197983589335,2
76561198067911521,0
76561198081715961,0
76561198091853107,0
76561198156776848,0
76561198070585472,0
76561198052912739,0
76561198050092449,0
76561198086791425,0
76561197960304530,0
76561198044387084,0
76561198033060740,0
76561197962929275,0
76561198011372474,0
76561198003595118,0
76561198000776667,0
76561197998612669,0
76561197998047221,0
76561197993263354,0
76561197992166703,0
76561197991699268,0
76561197980065584,0
76561197976039320,0
76561197969324150,0
76561197967469174,0
76561198226523644,0
