steam_id,playtime_forever
76561198084623564,4854
76561198045133986,4405
76561198046134938,3671
76561198067030650,3633
76561198073120349,3188
76561198071431107,3097
76561197993679376,2992
76561198031891410,2805
76561197971919098,2655
76561198160559380,2646
76561198101648152,2500
76561197970525544,2419
76561198064015098,2261
76561198018560501,2153
76561198038179236,2153
76561198013395705,2034
76561198056504388,2003
76561198074431816,1938
76561198038592548,1837
76561198049851547,1754
76561198045972083,1668
76561198078685690,1651
76561198066515292,1585
76561198063598007,1584
76561198093083895,1552
76561198241723758,1520
76561198018586074,1515
76561198044032335,1378
76561198167207237,1376
76561198073102260,1369
76561198063811877,1368
76561198081686896,1361
76561198071101813,1315
76561198055649986,1301
76561198057475308,1260
76561198007825673,1161
76561198060095580,1156
76561198090345356,1147
76561198090561761,1140
76561198079896944,1124
76561198079990063,1077
76561198059854102,1058
76561197973395845,1048
76561198170217862,1031
76561198067088650,1023
76561198090426708,988
76561198061086852,986
76561198030023806,964
76561198083458002,955
76561198012009628,941
76561198064936176,920
76561198056360695,909
76561198085329154,907
76561198027122657,893
76561198072194263,884
76561198086045190,883
76561198039978256,879
76561198076271547,879
76561198036127792,795
76561198087989545,781
76561198091405304,771
76561198071834416,769
76561198076829467,737
76561198042855580,734
76561198068215851,732
76561198056010368,726
76561198087003507,711
76561198073040446,694
76561198077257757,690
76561198025816046,682
76561198088538797,677
76561198023903233,675
76561198075534155,671
76561198039504784,657
76561198055775816,648
76561198076398170,644
76561198062469136,640
76561198021482710,639
76561198098290665,629
76561198062682327,620
76561198047567643,620
76561198053443436,616
76561198071438184,615
76561198070635693,602
76561198173313319,601
76561198056199427,598
76561198118277388,596
76561198089540481,596
76561198039817744,581
76561198128552705,570
76561198099395042,562
76561198029305404,539
76561198076580116,535
76561198028078449,535
76561198066893700,533
76561198033016359,529
76561198107960817,522
76561198054131489,521
76561198064534559,517
76561198072053388,513
76561198013922033,512
76561198042019784,510
76561198095345433,509
76561198043509581,505
76561198056265766,492
76561198051082631,488
76561198053686868,488
76561198054538030,477
76561197993498267,469
76561198095224811,465
76561198051799142,460
76561198075375032,449
76561198204697128,445
76561198044256437,438
76561198065013217,435
76561197961748180,435
76561198059576967,435
76561198077333165,434
76561198072437649,434
76561197993929985,433
76561198071377843,431
76561198081092715,431
76561198070072786,429
76561198096805696,425
76561198096158792,422
76561198021745490,421
76561198050324850,412
76561198045406316,401
76561198081422627,396
76561198085055377,393
76561198036463977,393
76561198067309917,389
76561198047486142,388
76561198078403169,386
76561198010391123,385
76561198087829868,382
76561198057899564,382
76561198069503317,381
76561198001743414,379
76561198044027872,376
76561198044086839,372
76561198053572129,372
76561198050039841,366
76561198073455408,365
76561197995222315,363
76561197997380596,362
76561198062617626,361
76561198007951719,358
76561198071000501,358
76561197966419136,352
76561197976668781,346
76561198079373395,345
76561198033591799,345
76561198074359988,345
