steam_id,playtime_forever
76561198040188061,4016
76561198047756081,2553
76561198089967981,1697
76561198054606902,1584
76561198069603322,1497
76561198058887844,1276
76561198077531443,1270
76561198078743346,1261
76561198047711462,981
76561198037720383,956
76561198057591023,921
76561198083518792,837
76561198064572589,836
76561198042376148,836
76561198098157284,685
76561198025500916,677
76561198097169936,640
76561198051336934,613
76561198047584892,577
76561198046135457,570
76561198058217502,547
76561198069905942,532
76561197995176045,518
76561198071951119,508
76561197995169107,495
76561197993009150,488
76561198021019289,484
76561198047115335,464
76561198046783368,458
76561198074156090,422
76561198080619885,420
76561198005517355,405
76561198069036644,399
76561198047188446,397
76561197991677902,389
76561198062182044,374
76561198002560047,372
76561197972473057,371
76561198034711455,370
76561198049447026,364
76561198074482800,342
76561198059752724,337
76561198009318462,329
76561198003693532,321
76561198018743551,320
76561198078381948,316
76561198011433474,300
76561198062039624,299
76561198066203201,292
76561198041203356,292
76561198063629285,290
76561198075012648,288
76561198051748820,286
76561198080601475,282
76561198085049871,263
76561198025614826,247
76561198027828967,240
76561198072020622,239
76561198048936292,238
76561197973055702,235
76561198045161688,232
76561198086045190,224
76561198051957930,221
76561198042987313,220
76561198045884541,219
76561198055750463,215
76561198050764330,215
76561198050557204,214
76561198043008761,208
76561198034699157,208
76561197996524718,206
76561198076698338,203
76561198068614009,200
76561197986325120,192
76561198063468866,192
76561198036245133,192
76561198015673544,190
76561197968287469,188
76561198069561067,187
76561198116062531,185
76561198075968863,173
76561198053949702,173
76561198068472094,173
76561198063267577,173
76561198057553528,169
76561198102767019,168
76561198044721977,164
76561198044880177,162
76561198041019706,152
76561198104404617,152
76561198075458182,148
76561197972904421,146
76561198069237515,146
76561198091080817,144
76561198046357713,144
76561198046227105,142
76561198069835803,140
76561198031308903,136
76561198098219771,136
76561198011831269,134
76561198068133128,133
76561198041281813,130
76561198097808235,129
76561198045389453,124
76561197995146150,122
76561198064959799,122
76561198076228553,122
76561198069746520,120
76561198094666642,120
76561198052517002,120
76561198067106876,119
76561198025198217,118
76561198090768760,118
76561197975369524,117
76561198083612270,117
76561198023172776,117
76561198025075751,115
76561198057735047,113
76561198070805372,112
76561198078212818,111
