steam_id,playtime_forever
76561198029682828,874
76561198065656256,330
76561198073320826,180
76561198068210157,156
76561198000444089,111
76561198023281939,88
76561198073145551,85
76561198068982966,74
76561197998369570,69
76561197985576649,50
76561198056420811,23
76561198204540496,20
76561198003178821,18
76561198089065693,2
76561198051901060,2
76561197983066077,2
76561198011954916,2
76561198068368825,1
76561198051027753,1
76561198004155177,1
76561198070015725,0
76561198046428306,0
76561198068715272,0
76561198081892454,0
76561198085356495,0
76561198102767019,0
76561198056801459,0
76561198103293494,0
76561198118965684,0
76561198154606002,0
76561198077297982,0
76561197964907006,0
76561198043191810,0
76561198011649170,0
76561197988024326,0
76561197988631415,0
76561197992810775,0
76561197994874679,0
76561197998960814,0
76561198001269474,0
76561198002933766,0
76561198007060849,0
76561198012164560,0
76561198041008266,0
76561198014704426,0
76561198014990381,0
76561198018910563,0
76561198020933633,0
76561198024637554,0
76561198025911915,0
76561197980197506,0
76561198037295530,0
76561198028213679,0
