steam_id,playtime_forever
76561198068614009,109916
76561198005620005,103651
76561198106396657,65019
76561198115350277,17854
76561198082816640,16662
76561198085241786,16031
76561198000537256,15024
76561198096741403,12857
76561198078933557,12228
76561198075233562,12205
76561198062908030,11483
76561198022404680,10827
76561198077862249,8381
76561198076028964,7817
76561198104635526,7379
76561198012139879,7276
76561198047903849,7265
76561198027443860,6862
76561198018109064,6590
76561198072801294,6434
76561198132903596,5664
76561198045832825,5343
76561198059789255,5326
76561198085601351,5102
76561197999613236,4923
76561198046442917,4809
76561198066331075,4778
76561198029726922,4719
76561197987065774,4673
76561198001113969,4548
76561198063685999,4349
76561198036180096,4192
76561198078782259,4179
76561198106890962,3948
76561198039330239,3757
76561197992771118,3719
76561198072429924,3711
76561198051264384,3566
76561197972904421,3383
76561198162406531,3376
76561198068153798,3324
76561198024539037,3316
76561198079297665,3247
76561198057707533,3243
76561198059966696,3209
76561198040774092,3107
76561198027455361,3082
76561198013018363,3046
76561198053443713,3005
76561198081839762,2873
76561198113534022,2830
76561198081938549,2612
76561198103156953,2609
76561198044571371,2596
76561198035025987,2489
76561198063843510,2461
76561198070282717,2453
76561198005778772,2327
76561198084448411,2307
76561198073675617,2295
76561198074346083,2211
76561198071592261,2170
76561198287733801,2170
76561198067257274,2151
76561198093013080,1931
76561198045638432,1877
76561198026303861,1876
76561198022267805,1843
76561197998204039,1807
76561198065273523,1774
76561198064536870,1709
76561198039224622,1635
76561198253126471,1609
76561198116243728,1607
76561198043895991,1449
76561198063644848,1439
76561198088437654,1437
76561198082591936,1426
76561198026308363,1360
76561198082602087,1346
76561198043784371,1304
76561198066018289,1298
76561198050729427,1279
76561198083053319,1276
76561198006735420,1266
76561197982587661,1236
76561198053882210,1223
76561198000627924,1197
76561198083142038,1184
76561198038793188,1161
76561197960301961,1152
76561198073493489,1123
76561198064790215,1100
76561198071197576,1081
76561198046097024,1071
76561198069614338,1049
76561198073518018,1035
76561197965557728,1028
76561198035535269,1013
76561198052846013,996
76561198032046112,993
76561198067470116,962
76561198070424600,954
76561198065053375,950
76561198122117056,949
76561198075451549,939
76561198033824559,932
76561198047907528,931
76561198004175258,920
76561198068809841,886
76561198049323129,862
76561198027827983,861
76561198069920369,838
76561198070187887,821
76561198076581986,817
76561198022148624,817
76561197977489544,796
76561198092470446,792
76561198051759723,779
76561198060559815,771
76561197988411069,764
76561198078572878,761
76561198049612544,758
76561198056008252,746
76561198038573915,702
76561198095751554,693
76561198055009078,670
76561198043890898,653
76561198053373103,635
76561198066905703,634
76561198104580262,632
76561198067182014,628
76561198014378834,624
76561198038178954,615
76561197969339666,603
76561198002557471,563
76561198032484270,557
76561198067855849,549
76561198075850899,545
76561198039778509,541
76561198104198790,519
76561198064476584,508
76561198022347840,507
76561198007437086,503
76561198095033293,498
76561198064468415,497
76561198149193507,493
76561198058073911,487
76561198040571967,484
76561197993982080,483
76561198055307813,475
76561198068140161,472
76561198056011214,471
76561198035142532,464
76561198068494125,463
76561198073046687,456
76561198072532181,455
76561198054162412,455
76561198046381342,449
76561198088748682,431
76561198080977355,431
76561198032713655,427
76561198076240240,426
76561198041640575,425
76561198025198077,411
76561198060108179,378
76561198132708024,364
76561198032545813,363
76561198070167443,345
76561198051252095,343
76561198063083210,330
