steam_id,playtime_forever
76561198022226815,67434
76561198094455101,58548
76561197993631180,54516
76561198052504403,49798
76561198013368753,49343
76561197993591260,41333
76561197966979423,39243
76561198039631435,36608
76561197972303841,35249
76561197994490118,33760
76561198042770842,33711
76561198045506845,33626
76561198022666487,33518
76561197992785026,32130
76561198045124565,31903
76561198016458849,31160
76561197990340465,29961
76561197971857001,29695
76561197966298550,29630
76561198073120349,29540
76561198040710605,28688
76561198061505714,28567
76561198001743414,26709
76561198000554821,25866
76561198088807138,25810
76561198047821070,24379
76561197977251065,23511
76561197995495679,22714
76561198054131489,22131
76561198082939654,21820
76561198060969570,19896
76561198025313381,19833
76561198054752011,19369
76561198051092954,19122
76561197994380497,18700
76561198058826879,18561
76561198077210007,18451
76561198068494125,18004
76561198100129112,17734
76561198061567619,17700
76561198033387354,17691
76561198039694296,17567
76561198050051190,17441
76561198054613028,16536
76561197997530856,16531
76561198011533373,16217
76561198025266324,16070
76561197970775891,15969
76561198067686885,15566
76561197998219184,15460
76561198056735088,15211
76561198060146226,14881
76561198051511620,14862
76561198076219556,14837
76561198023745309,14771
76561198032558761,14439
76561197967664049,14167
76561198041581278,14013
76561197962736283,13917
76561198073725443,13837
76561198043637538,13779
76561197985990065,13733
76561197970535832,13549
76561198046802717,13541
76561198062328993,13524
76561198037750323,13429
76561198084679366,13412
76561198011431696,13347
76561198030245280,13341
76561198025107925,13227
76561197996033933,12965
76561197991092850,12715
76561198060656659,12635
76561198056774386,12507
76561198065231196,12453
76561198074333465,12400
76561197972296753,12361
76561198054149292,12335
76561198075993539,12240
76561198047646794,12198
76561197976984468,12166
76561197986916169,12145
76561198023287837,12101
76561198040363988,12074
76561198034699157,12029
76561198028592267,12017
76561198044027541,12007
76561198058887844,11975
76561198093768306,11929
76561198018586074,11887
76561197969311825,11799
76561198035594384,11796
76561198015164767,11735
76561198089041882,11632
76561198026336033,11516
76561198024890098,11490
76561198056102052,11480
76561197960468196,11350
76561198065491382,11282
76561198029595343,11074
76561198025743515,11019
76561198012135937,10999
76561198057049076,10927
76561198015339516,10815
76561198019437162,10811
76561198036745107,10783
76561197992344717,10776
76561198059969805,10635
76561198072976420,10544
76561198038951129,10534
76561198053000587,10481
76561198034215738,10372
76561198044138438,10354
76561197998061835,10315
76561197995483380,10285
76561197976313504,10151
76561197963469414,10131
76561198042410388,10056
76561198075827113,10025
76561198010620108,10020
76561198033429149,10016
76561198077437930,9949
76561198055926956,9846
76561197993705230,9788
76561198071057875,9743
76561198025392861,9734
76561198027455361,9571
76561198001808821,9561
76561198032651953,9533
76561198075420829,9491
76561197990895276,9477
76561198030943511,9463
76561198053471515,9411
76561197972797551,9368
76561198026461734,9342
76561198040060741,9245
76561197986715883,9074
76561198063861019,9033
76561197997131727,8966
76561197995164445,8935
76561198001917486,8876
76561198075396291,8851
76561197993128335,8829
76561198072751883,8809
76561198043003447,8730
76561197989039660,8649
76561198035809740,8599
76561198080506389,8548
76561198043897246,8501
76561198088971013,8402
76561198045792460,8341
76561197963395264,8341
76561197996890146,8267
76561198093792908,8249
76561197969731516,8162
76561198007306685,8137
76561198050363268,8114
76561198057471883,8104
76561198072388210,8058
76561197993871194,7988
76561198073754800,7985
76561198005620005,7900
76561198060824524,7862
76561198027330526,7837
76561198092015254,7768
76561198045420316,7764
76561197970525544,7757
76561198056277856,7749
76561198022506876,7722
76561197972143548,7697
76561198045640612,7642
76561197979745311,7640
76561198055775816,7519
76561197995022755,7488
76561198041998817,7455
76561198071474939,7372
76561198035607937,7318
76561198021622222,7270
76561198036161390,7194
76561198011645494,7156
76561198071159522,7150
76561198038080284,7126
76561198078138335,7108
76561198069683837,7106
76561198017797921,7079
76561198071635721,7078
76561198044113153,7074
76561198069995506,7006
76561198010679125,6997
76561198064375394,6997
76561198006442367,6953
76561198066566016,6929
76561198035203313,6890
76561198051342267,6851
76561198044617836,6834
76561198028172459,6821
76561198068420640,6820
76561198089025339,6810
76561198060502304,6789
76561198014231757,6777
76561198057023291,6776
76561197990097714,6766
76561198058385836,6755
76561198029274175,6753
76561198053379278,6601
76561198095345433,6578
76561198045983131,6572
76561198049795042,6556
76561198057453677,6507
76561197985164606,6475
76561197988397124,6473
76561198071028681,6461
76561198047569011,6443
76561198068500978,6442
76561198090590971,6440
76561198075177267,6385
76561198032713655,6376
76561197999532036,6343
76561198043803847,6322
76561198013091048,6314
76561198043112708,6265
76561198085905908,6253
76561198047613547,6204
76561198045030771,6104
76561198045797366,6068
76561198063489825,6024
76561198029976254,6017
76561198059180746,6009
76561198041031889,5960
76561197968531038,5959
76561198029178874,5923
76561198092231379,5922
76561197973942939,5919
76561198007521657,5904
76561198019568583,5815
76561198031911370,5803
76561198048432515,5801
76561198064736339,5795
76561198059963566,5793
76561198003548527,5719
76561198045401927,5714
76561198025911906,5708
76561198056371127,5701
76561198036292266,5681
76561197999549682,5646
76561198027457835,5627
76561198063157495,5625
76561198071671515,5597
76561198018553225,5532
76561197970937211,5515
