steam_id,playtime_forever
76561197995725436,214376
76561198006995190,181234
76561198061028312,133755
76561198065902279,126572
76561198065500375,122199
76561198045342815,119446
76561198021432590,112163
76561198055593416,112034
76561198071238400,108745
76561198066638791,107743
76561198096506760,104556
76561198087466439,101459
76561198049610977,98863
76561198062232099,92894
76561198019112245,91494
76561198071274892,90725
76561198045710737,83511
76561198081344772,82479
76561198061431028,76341
76561197979956729,75425
76561198196344826,74492
76561198051844298,73270
76561197965278388,72930
76561198062450095,71705
76561198045222796,69896
76561198083924779,69515
76561198034291909,68745
76561198034699157,68520
76561198027455361,68235
76561198045123141,67859
76561197988685514,67797
76561198049229739,67135
76561198055262214,67116
76561198123893052,66995
76561198055915124,66791
76561198030769891,66669
76561197968720117,65146
76561197983359562,64663
76561198082986194,63281
76561198075742344,63222
76561198074505576,62606
76561197995207074,62491
76561198043589567,62391
76561198053623669,62207
76561198081786584,62113
76561198153243158,61002
76561198052029872,59660
76561198146499480,59481
76561197963519255,58802
76561198064692010,58601
76561198007282725,58552
76561198065830955,58250
76561198006251483,57979
76561198074844735,57737
76561198030373834,57406
76561198066349873,56899
76561198047975826,56460
76561198071159917,56447
76561198109175424,56003
76561198026584251,55384
76561197990880154,54918
76561198017567237,54565
76561198071352100,53741
76561198062737330,53303
76561198051336934,53157
76561198074209912,53034
76561198004175258,52644
76561197991288051,52518
76561198007584361,52030
76561198044204107,51670
76561197965833454,51592
76561198037810633,51183
76561198004311251,50768
76561198060743985,50561
76561198040750679,50334
76561198088356738,50322
76561198066332386,50165
76561198044873155,50086
76561198008241908,50044
76561197996891369,49862
76561198059791029,49817
76561197996010453,49290
76561198042856516,49224
76561198019388775,48981
76561198038045322,48863
76561198066968708,48594
76561198045292549,48337
76561198048708552,48132
76561198086176890,48090
76561198077923530,48019
76561198002380984,48001
76561198006149002,47114
76561198006493531,46954
76561198057747700,46882
76561198107714145,46615
76561197997997380,46347
76561197972797551,46165
76561198045012526,45507
76561198061222572,45305
76561198089700523,45286
76561198081026741,44918
76561198024765966,44823
76561198029020309,44703
76561197964989297,44613
76561198095170369,44002
76561198011684252,43926
76561198018453750,43883
76561198041784529,43746
76561198060215100,43377
76561198066187028,43220
76561198095132561,43130
76561198044358283,42993
76561198038661567,42754
76561198020709117,42281
76561197963481558,42217
76561198057982190,41776
76561198073089217,41497
76561198052522972,41480
76561198020059916,41441
76561198059546358,41352
76561198066892282,41264
76561198081277170,41194
76561197999388026,41143
76561197972718483,41066
76561198047295171,40981
76561198081973813,40918
76561198018188350,40852
76561198023347592,40818
76561198026829961,40762
76561198024064617,40705
76561198085788881,40527
76561197992284075,40434
76561198083923587,40431
76561198002008663,40419
76561198067045126,40134
76561198056211827,40109
76561198027032118,40077
76561198068431036,39553
76561198042209427,39425
76561198043655077,39355
76561198087017601,39306
76561198088687428,38942
76561198079647288,38368
76561198053458396,38278
76561198051202631,38181
76561197970758033,38072
76561198027520903,37821
76561198066396303,37724
76561198075020222,37462
76561198048588318,37357
76561198046336502,37343
76561198068654282,37287
76561198066046412,37110
76561197999615660,37059
76561198074141366,36849
76561198031147214,36770
76561198072404996,36494
76561198074316367,36323
76561197976470005,36301
76561198048526408,36210
76561197961172915,36142
76561198058612424,36102
76561198085510022,36101
76561198035202077,36088
76561198051375476,35717
76561198026739996,35685
76561198056087277,35490
76561198054082098,35481
76561198062313883,35377
76561198050513496,35296
76561198084041983,35271
76561198023059703,35223
76561198062853201,35091
76561198045011358,35081
76561198071855876,35075
76561198043731961,34940
76561198051027753,34805
76561198087299380,34636
76561198085329147,34571
76561198091572892,34513
76561198087460290,34367
76561198042533946,34200
76561198065336463,34186
76561198039705723,34111
76561198051148055,33898
76561198074406397,33870
76561198064472984,33868
76561197989869899,33837
76561197995042266,33758
76561198105634742,33736
76561198072331143,33484
76561198048053827,33450
76561198042505054,33394
76561197967272400,33384
76561198042021200,33339
76561198026308363,33267
76561198001654709,33162
76561198070430325,33156
76561198086232583,33060
76561197996502234,32814
76561198060619286,32617
76561197960498789,32523
76561198273284475,32519
76561198076067655,32491
76561198021761493,32472
76561198090863774,32434
76561198063432096,32278
76561197999004967,32223
76561198017268118,32170
76561197993281649,32128
76561198016614575,32120
76561198064663981,32098
76561197975759155,32093
76561198085188727,32004
76561198068809841,31826
76561197975349280,31818
76561198056361591,31769
76561198043569043,31518
76561198049492995,31446
76561197970708459,31429
76561198102022624,31389
76561198040972188,31359
76561198042649425,31138
76561198077183545,31103
76561198045797718,31094
76561198211691884,31002
76561198019066447,30995
76561198073318196,30980
76561197998817370,30941
76561198003436320,30915
76561198081000995,30814
76561197980832325,30786
76561197995850655,30734
76561198003706790,30730
76561198042423063,30671
76561198039199593,30642
76561198006225175,30633
76561198092677050,30617
76561198196240067,30564
76561198025536901,30526
76561198043460055,30475
76561198015511443,30407
76561198010171289,30380
76561197973156896,30317
76561198057220133,30312
76561198066789278,30231
76561198068494833,30197
76561198045537192,30166
76561198078670475,30040
76561198038487481,30012
76561198013858002,30006
76561198044363267,29988
76561198065316849,29928
76561198047273546,29895
76561198027043431,29842
76561197982474515,29797
76561198092046332,29717
76561198066524682,29699
76561198072505697,29677
76561198062454216,29654
76561198057998681,29651
76561198082325305,29566
76561198067673843,29534
76561198147605939,29424
76561198058230663,29405
76561198055700479,29376
76561198091638558,29296
76561198052186991,29181
76561198009032713,29159
76561198045087864,29097
76561198018495407,29035
76561197993302844,28859
76561198083950864,28781
76561198069089960,28758
76561198038704243,28647
76561198078381993,28536
76561198072114206,28488
76561198146468235,28442
76561197997277886,28419
76561198025352966,28364
76561198008123047,28348
76561198054530389,28320
76561198068362484,28286
76561198069694423,28278
76561197981780630,28248
76561198068035593,28230
76561198044738808,28158
76561198059059476,28081
76561198072022854,28043
76561198031628859,27998
76561198072829079,27957
76561197998470425,27939
76561198067829337,27923
76561198018820248,27920
76561198018920889,27916
76561198016023586,27786
76561198014956375,27723
76561198072653652,27663
76561198058185076,27649
76561198081219123,27641
76561198042332404,27582
76561198071919859,27425
76561198095165146,27322
76561198125093785,27312
76561198062908030,27178
76561198105458600,27114
76561198061285426,27026
76561197994297896,27013
76561198095284022,26955
76561198051686686,26931
76561197964075791,26910
76561197976408928,26885
76561198040233085,26812
76561198041168425,26784
76561198025772808,26769
76561198020007256,26506
76561198033257130,26397
76561198055004182,26314
76561198053614355,26295
76561198065949365,26292
76561198053289851,26230
76561198042512566,26230
76561197976840173,26218
76561198014749257,26155
76561198070913483,26131
76561198058546808,26090
76561198084562186,26018
76561198065100496,26003
76561198042084543,25939
76561198094630127,25926
76561198086784892,25909
76561198093768306,25865
76561198062971818,25859
76561198079229549,25802
76561198008797963,25776
76561198046118971,25617
