steam_id,playtime_forever
76561198057685527,13808
76561198035644871,3951
76561197970528472,2856
76561198049514509,2732
76561197999306529,1941
76561197983457049,1796
76561198010651506,1622
76561197969599867,1523
76561198064635236,1453
76561198016475503,1360
76561198002697689,1265
76561197963554381,1133
76561198032056523,1129
76561197995582723,1086
76561198030129600,947
76561198043824579,931
76561198076019258,905
76561197962929275,878
76561197969938407,770
76561197962532359,760
76561197972468339,751
76561198082199887,712
76561197965355573,696
76561198019294407,652
76561198006944554,619
76561198055974384,584
76561198055570026,558
76561198025594855,535
76561198025198217,502
76561197997860947,496
76561198071263038,488
76561197993381595,487
76561198069591712,482
76561197991836307,480
76561198041111114,476
76561198044920564,472
76561198000537256,425
76561198008783917,407
76561198033772469,389
76561197999719746,381
76561198000304478,370
76561197967272400,370
76561198118965684,362
76561198085470909,355
76561198120364067,353
76561198058230663,344
76561198024894178,343
76561198034311233,338
76561198067439927,336
76561198028729306,326
76561198047925260,321
76561197989615671,316
76561198029968002,315
76561198010776633,305
76561198008871874,304
76561198066174858,304
76561198102767019,303
76561198060927199,301
76561197973439193,295
76561198048151962,293
76561197968788420,293
76561198030014023,292
76561198042182944,290
76561198044277845,289
76561197992267436,289
76561198055555174,287
76561198020974455,283
76561197965966319,279
76561198035901114,278
76561198051336934,275
76561198070585472,273
76561197993988187,272
76561198040791634,272
76561198005738944,272
76561197997792190,270
76561197994830976,269
76561198119650707,266
76561197990340465,266
76561197983367658,266
76561198120863188,266
76561198041669718,265
76561198062841345,264
76561198119803063,264
76561198067219635,264
76561198062232099,262
76561198001518866,262
76561197987245915,261
76561198032007689,260
76561198054073078,257
76561198148074610,254
76561198053516585,254
76561197964334210,253
76561198040255872,251
76561198060270149,250
76561198038179236,249
76561197993676441,249
76561198095204217,245
76561197997315547,244
76561197982685987,240
76561198072757340,239
76561198023172776,239
76561198044882472,231
76561198037197339,225
76561198078075495,225
76561198080702728,225
76561198066893700,222
76561198004998420,222
76561197998052647,213
76561198024553516,208
76561198099111544,204
76561197973942698,200
76561198027246196,197
76561198042776645,188
76561198048168493,185
76561198041631592,183
76561198048019596,181
76561197974802902,177
76561198023724976,172
76561198037437275,171
76561198040340682,171
76561198050762093,164
76561198054506708,160
76561197991677902,155
76561198070177879,150
76561198064621980,150
76561198068472094,150
76561197990222633,150
76561198145408927,149
76561197996400788,148
76561197989281551,147
76561197996590082,146
76561198073763344,142
76561198052903951,139
76561198067309917,136
76561197997588056,136
76561197989380469,133
76561197973436231,133
76561198009521620,132
76561197999570687,132
76561198020709117,131
76561198066017499,131
76561198053130672,129
76561198008181611,128
76561198007352599,125
76561198046097024,125
76561198046109277,120
76561198007082354,117
76561198055707524,114
76561197978837955,109
76561198036745107,108
76561198019968924,106
76561198042569827,106
76561197966604253,105
76561198002249497,104
76561198012050762,100
76561198006995218,99
76561197963443099,97
76561198030091459,95
76561197976321379,92
76561198044334485,92
76561198012686765,92
76561197983772456,89
76561198061460664,87
76561198060486675,85
76561197980918255,85
76561198045790068,85
76561197992204503,84
76561198071041704,82
76561198031636591,80
76561198007906584,80
76561197992166703,79
76561198078497738,76
76561198036311033,75
76561198020285861,75
76561198013018363,75
76561198079535107,74
76561198046096030,73
76561198046162899,72
76561198043813684,69
76561197985168439,69
76561198088802511,69
76561198055180455,69
76561198000568847,68
76561197994057270,65
76561197999638590,64
76561198069271631,61
76561198007800522,60
76561197984592889,58
76561198034392042,57
76561198035476953,57
76561198054678415,57
76561197998943704,57
76561197969407671,55
76561198031414399,54
76561198042148642,52
76561198025072353,52
76561198089598638,52
76561198048354078,52
76561198091009802,51
76561198023153321,50
76561198039123142,50
76561198038225943,50
76561198105967393,49
76561198008827809,48
76561198016610271,47
76561198076271617,46
76561197969351991,46
76561197981208045,44
76561198071256458,43
76561198052441383,43
76561198059180662,43
76561197968436663,42
76561198072541900,41
76561198044595092,41
76561198018885388,40
76561198084457389,40
76561198009555951,39
76561198064484753,38
76561198079342167,38
76561198058957495,37
76561198042261917,36
76561198030968992,35
76561198084591920,35
76561198027267197,34
76561197983589335,34
76561198040199371,33
76561197984331196,33
76561197993654066,33
76561198007539695,32
76561198003868600,32
76561197992006300,32
76561198037334538,31
76561198026372404,31
76561197998369570,31
76561198100626562,30
76561198006942674,30
76561198045638484,29
76561198041599441,29
76561198064374976,28
76561198041637400,28
76561197970642656,26
76561198027986197,25
76561198048494523,25
76561198039900276,25
76561197982911077,24
76561198036657265,23
76561198061531823,23
76561198065725333,22
76561198045123168,22
76561198079215141,22
76561197972303841,22
76561198035705663,20
76561198046450367,20
76561198040462294,20
76561198000776667,19
76561198031005076,19
76561198067610447,18
76561198041121765,18
76561198045506721,18
76561198016827811,18
76561198058303184,17
76561198013000952,17
76561198025041462,16
76561198047631469,16
76561198030424566,16
76561198000190288,16
76561198057374225,15
76561198062303328,15
76561197994407302,14
76561197998501640,14
76561197992474051,14
76561197998052793,13
76561198035142532,13
76561197967174031,13
76561197989549832,12
76561198080392280,12
76561198078907140,12
76561198019392535,12
76561198029940124,12
76561198004448633,11
76561198006541747,11
76561197970723780,11
76561198079128940,11
76561197971725163,10
76561198053797376,10
76561198082712691,10
76561198024531364,10
76561198042410388,9
76561197995125763,9
76561198025198077,8
76561197964602986,8
76561197969049193,8
76561198045797344,8
76561198046812793,8
76561197990529147,8
76561198065322400,7
76561198096923288,7
76561197977525575,7
76561198060085315,7
76561198038486281,7
76561198059101200,7
76561198052668944,6
76561197974522156,6
76561197979020333,6
76561198150683787,6
76561198030021498,6
76561198063371694,5
76561198072109766,5
76561198069324966,5
76561198051092069,5
76561198052845873,5
76561198020901037,5
76561198053994537,5
76561198049608295,4
76561197961112434,4
76561197963446231,4
76561198091125007,4
76561198053852153,4
76561197977001876,4
76561198037487497,4
76561198156591174,3
76561198039778509,3
76561198003980014,3
76561198013701195,3
76561198075300723,3
76561198014423917,3
76561198000734300,2
76561198068431036,2
76561198066666059,2
76561198139579706,2
76561198051831438,2
76561197970535618,2
76561198079233576,2
76561198024413818,2
76561197993929985,1
76561198044998451,1
76561198154934483,1
76561198133521373,1
76561198062476345,1
76561198091829840,1
76561198034182659,1
76561198010375099,1
76561198093258803,1
76561198077268796,1
76561198040150405,1
76561197992160513,1
76561198142784247,1
76561198060035281,1
76561198054849810,1
76561198080164247,1
76561198074018233,1
76561198089177746,1
76561198087539604,1
76561198117845393,1
76561198014231757,1
76561197995368752,1
76561197977859433,1
76561198034074771,1
76561198042544702,1
76561198038837191,1
76561198123319774,0
76561198122883605,0
76561198061397127,0
76561198079927632,0
76561198079748582,0
76561198124904264,0
76561198069672028,0
76561198130905342,0
76561198069207428,0
76561198061392698,0
76561198059440920,0
76561198283431927,0
76561198071170428,0
76561198078207681,0
76561198072753966,0
76561198283316082,0
76561198239611018,0
76561198208273364,0
76561198158450025,0
76561198059517232,0
76561198061254669,0
76561198157726267,0
76561198070968488,0
76561198070670113,0
76561198078724217,0
76561198062238249,0
76561198058414927,0
76561198076150669,0
76561198144642537,0
76561198078844628,0
76561198116062531,0
76561198072772351,0
76561198066501468,0
76561198091137958,0
76561198081898685,0
76561198072716283,0
76561198090856844,0
76561198090481268,0
76561198067276188,0
76561198089561967,0
76561198067570770,0
76561198074912525,0
76561198067941334,0
76561198087126470,0
76561198068788349,0
76561198069199333,0
76561198082166693,0
76561198087066156,0
76561198085463363,0
76561198084034147,0
76561198082543743,0
76561198083947153,0
76561198066568274,0
76561198091853107,0
76561198069487110,0
76561198093264479,0
76561198063157934,0
76561198119472780,0
76561198063970918,0
76561198080617796,0
76561198083158152,0
76561198064472984,0
76561198073335204,0
76561198106490799,0
76561198075682945,0
76561198098584474,0
76561198073854714,0
76561198098334333,0
76561198081618008,0
76561198096187727,0
76561198095049646,0
76561198065056625,0
76561198065662489,0
76561198065668519,0
76561198081622518,0
76561198078072475,0
76561197960304530,0
76561198058127508,0
76561197998387228,0
76561198005341614,0
76561198004018280,0
76561198003132759,0
76561198002991140,0
76561198002469107,0
76561198001638037,0
76561198000742198,0
76561197999707542,0
76561197998374531,0
76561198057802660,0
76561197998202367,0
76561197996768219,0
76561197996300824,0
76561197996092338,0
76561197995207074,0
76561197993591260,0
76561197993357763,0
76561197993009150,0
76561198006649466,0
76561198007745188,0
76561198008646445,0
76561198009985088,0
76561198020248449,0
76561198019137995,0
76561198018986283,0
76561198018217670,0
76561198018159803,0
76561198017188398,0
76561198016405790,0
76561198014722276,0
76561198013952404,0
76561198013828918,0
76561198013517165,0
76561198013027012,0
76561198012246084,0
76561198011953572,0
76561198011740444,0
76561198011496164,0
76561198010271990,0
76561197992813447,0
76561197992148038,0
76561197991787618,0
76561197973612806,0
76561197971666535,0
76561197971119511,0
76561197970956991,0
76561197970884763,0
76561197970580235,0
76561197970564661,0
76561197970550128,0
76561197967818680,0
76561197967514845,0
76561197967469174,0
76561197967307819,0
76561197967105188,0
76561197967081122,0
76561197966364980,0
76561197965109264,0
76561197963590175,0
76561197961633679,0
76561197972005355,0
76561197974290157,0
76561197991699268,0
76561197975369524,0
76561197991294431,0
76561197990849455,0
76561197990718796,0
76561197990408423,0
76561197989616184,0
76561197988455997,0
76561197988397124,0
76561197987342242,0
76561197986660733,0
76561197985797191,0
76561197984075141,0
76561197982503303,0
76561197981672499,0
76561197980277461,0
76561197978726025,0
76561197976313504,0
76561197975569246,0
76561198022376803,0
76561198022552926,0
76561198023122390,0
76561198048189048,0
76561198047992109,0
76561198047748167,0
76561198047095349,0
76561198046456055,0
76561198046360907,0
76561198046036119,0
76561198045950134,0
76561198045884541,0
76561198045814607,0
76561198045663973,0
76561198045562241,0
76561198045373048,0
76561198045365016,0
76561198045212920,0
76561198044972635,0
76561198044653745,0
76561198044295182,0
76561198048070885,0
76561198048304842,0
76561198043805157,0
76561198048491617,0
76561198056877438,0
76561198055326386,0
76561198055252076,0
76561198054602972,0
76561198054395923,0
76561198053963927,0
76561198053381003,0
76561198053355240,0
76561198053325728,0
76561198052912739,0
76561198052900545,0
76561198051523996,0
76561198051001315,0
76561198049438209,0
76561198049028269,0
76561198048817648,0
76561198048757906,0
76561198043908115,0
76561198043780602,0
76561198023381231,0
76561198032003610,0
76561198030500228,0
76561198028855833,0
76561198028773588,0
76561198028686111,0
76561198028582148,0
76561198028115830,0
76561198028008677,0
76561198027961830,0
76561198027835939,0
76561198027455053,0
76561198026996483,0
76561198025515356,0
76561198025335712,0
76561198025068102,0
76561198024918862,0
76561198024889756,0
76561198024555488,0
76561198030569010,0
76561198034169751,0
76561198043532286,0
76561198034985821,0
76561198043468906,0
76561198043343407,0
76561198043148813,0
76561198043042941,0
76561198042932555,0
76561198042738965,0
76561198041234648,0
76561198039034164,0
76561198037517824,0
76561197960324641,0
76561198037477574,0
76561198037214476,0
76561198036178369,0
76561198035420265,0
76561198035349030,0
76561198035313379,0
76561198035099927,0
76561198320136420,0
