steam_id,playtime_forever
76561198034699157,63616
76561198066992387,2091
76561198112402475,1663
76561198018684159,1630
76561197968515942,1404
76561197995207074,1220
76561197995214384,1207
76561198076811458,1161
76561198084332433,1137
76561198091571570,1133
76561198063197045,1121
76561198035362505,1114
76561198064632090,1058
76561197998873955,1023
76561198027455053,994
76561198020293591,991
76561198040840183,879
76561197970833805,860
76561198053795491,833
76561198012083219,808
76561198036463977,798
76561198016684317,734
76561198041276866,727
76561198060772954,723
76561198017065630,705
76561198092572735,704
76561198032325085,704
76561197966492391,649
76561198046813126,634
76561198061834064,633
76561198005400196,623
76561198000611049,618
76561198020172660,613
76561198096003148,607
76561198089349493,606
76561197995163667,594
76561198057146794,566
76561198058191566,563
76561198064723833,561
76561198037702238,548
76561198058423993,521
76561198042988310,519
76561198050547019,509
76561198004305441,503
76561198035708866,494
76561198031955420,478
76561197990023750,475
76561198046783368,470
76561198004821435,441
76561198006893092,437
76561198078510442,435
76561197994390234,423
76561198009713159,419
76561198075493248,417
76561198036127792,417
76561198037666329,412
76561198012715042,411
76561198023903387,398
76561197966587792,392
76561198011218089,392
76561198060840926,375
76561198038659583,370
76561198018504243,359
76561198010776633,354
76561198024281595,349
76561198044783305,346
76561197967723333,345
76561198034283435,341
76561198025116552,338
76561198124547695,335
76561198071798958,334
76561198043785241,334
76561198052864248,333
76561198004438825,322
76561197978837955,315
76561197974961641,312
76561198040258534,308
76561198044015247,308
76561197988698095,305
76561197987713658,304
76561197999638590,301
76561198057552510,297
76561198021710409,293
76561198035005990,290
76561197989728414,287
76561198021307778,265
76561198040199371,264
76561198036617399,253
76561198093983570,247
76561198002991140,242
76561198014903931,239
76561198031622365,234
76561198007082354,231
76561198041019706,231
76561198041266182,227
76561198013018363,223
76561198061350086,222
76561197968436663,218
76561197994361919,215
76561197970532578,213
76561198040183690,213
76561198093166360,212
76561198044037118,211
76561198063327016,210
76561198080399577,210
76561198045663973,208
76561197998534560,207
76561198007106092,207
76561198046976160,207
76561198079136072,200
76561198064433302,200
76561197984271449,198
76561198063757455,196
76561198005477736,189
76561198063354149,188
76561198049116471,186
76561198038148907,185
76561197975369524,182
76561197976668781,179
76561198082418196,178
76561198079469223,177
76561198073528092,177
76561197970545566,176
76561198024262242,174
76561198085441225,174
76561198041582030,173
76561198012778932,172
76561197995689879,172
76561198043710489,169
76561198048023918,168
76561198094235068,166
76561198013342495,162
76561198124293283,161
76561197970688619,161
76561197970537259,159
76561197963293081,155
76561198042068202,153
76561198055650433,151
76561197969599867,148
76561197971857001,146
76561197993438628,144
76561198081359532,142
76561198043226468,141
76561198029771387,139
76561198053287939,137
76561198035137062,134
76561197992346511,133
76561198042170355,132
76561198072532181,131
76561197964092053,129
76561198067809752,129
76561198015519192,129
76561198089376541,129
76561197997588056,127
76561198093379651,125
76561197991787618,123
76561198042606287,121
76561198069453784,121
76561198035575592,120
76561198042564906,119
76561198024764182,118
76561198064247698,115
76561198058546299,115
76561198078503419,114
76561197967427519,113
76561198007806496,112
76561198009720869,111
76561198010576179,110
76561198061169672,107
76561198137551215,106
76561198044508924,106
76561198065832034,102
76561198260810810,101
76561197977069916,101
76561198070621937,101
76561198123393608,98
76561198036786937,97
76561198032761517,97
76561198064484753,96
76561197988832553,95
76561198075300723,95
76561198024865017,90
76561198041730036,90
76561197970524306,90
76561198057086148,85
76561198012139879,84
76561198068028853,82
76561198078670475,80
76561198048589434,78
76561198168446182,76
76561198058111484,76
76561198052118118,75
76561198036077253,73
76561198058571233,73
76561198071970196,72
76561198028984146,72
76561198009814269,71
76561198021611368,71
76561197987065774,70
76561197967174031,70
76561197998610301,69
76561198071450340,69
76561198077353345,69
76561198077110027,68
76561198089286644,68
76561198028106420,67
76561197978426585,67
76561198074644990,67
76561198189854528,65
76561198033394656,65
76561197993595398,64
76561198074812011,63
76561198000554821,63
76561198061412364,62
76561198060035281,62
76561197998071276,62
76561197970937211,62
76561197972482791,61
76561198043460055,61
76561198003811382,61
76561198032003610,61
76561198045712111,60
76561198028109286,59
76561197971077817,59
76561198002557471,59
76561198046124475,59
76561197974522156,58
76561198076317307,58
76561198063100139,57
76561198093209097,56
76561197975846333,55
76561198045797344,55
76561198115929312,54
76561198073169757,53
76561197964317648,52
76561198071418758,52
76561198079378923,51
76561198017487896,51
76561198058291343,51
76561198098811838,50
76561198014707153,50
76561198137833872,49
76561198110587369,49
76561197970642656,48
76561198010100238,48
76561197993847898,48
76561198067677991,48
76561198028686158,47
76561197977525575,47
76561198055993346,47
76561197994995559,47
76561198105929425,46
76561198063916425,46
76561197977767389,46
76561197972904421,46
76561198030947939,46
76561197995495679,46
76561198067786754,44
76561197998960814,44
76561198019040043,43
76561198050863556,43
76561198089964188,43
76561198091563407,42
76561197970956991,42
76561198042026422,42
76561198089965977,41
76561198097470405,41
76561197970538362,41
76561198042569827,40
76561198062152956,40
76561197967272400,39
76561198041740640,39
76561197978138789,38
76561198083347976,38
76561197996202890,38
76561197992872827,37
76561198036409929,37
76561198023937341,37
76561198056300439,36
76561197970551076,36
76561197983589335,35
76561198066387804,35
76561198035713320,34
76561198007437086,34
76561197992584979,34
76561198098447960,34
76561198025067937,34
76561197967609413,34
76561198000508567,34
76561198040569763,33
76561198089815482,33
76561198044383266,33
76561198042727579,33
76561198038398765,32
76561198045972083,32
76561198012664430,31
76561198079547383,31
76561198126913771,31
76561198068785086,31
76561198047296721,30
76561198063489755,30
76561198060177221,29
76561198086885214,29
76561198069605990,29
76561197996724125,28
76561198004670188,28
76561198067508529,27
76561198065077654,27
76561198017664218,27
76561198077893965,27
76561198082446159,27
76561198067004710,27
76561198064536870,27
76561198041637400,26
76561198062163675,26
76561197974044239,26
76561198026262657,26
76561198037645864,26
76561198060894488,26
76561198068441529,26
76561198044863318,26
76561198019618761,26
76561198026683315,25
76561198070643382,25
76561198018065970,25
76561198044198059,25
76561198026487694,25
76561197996884569,25
76561198055235265,25
76561198070350698,25
76561198157030358,25
76561198014231189,25
76561198027827983,25
