steam_id,playtime_forever
76561198034699157,63616
76561198024616768,34982
76561198042997251,14865
76561198025107925,13227
76561198065247809,12815
76561198189501926,12660
76561198084015139,12541
76561198077811980,8907
76561198044890488,8668
76561198033134963,8549
76561198225431384,8217
76561198026344945,8109
76561198062967154,8008
76561198065322400,7839
76561198087770592,7752
76561198054026701,7241
76561197984249981,7127
76561198043356370,7090
76561198071332808,6969
76561198046062663,6925
76561198083636157,6684
76561198045133986,6670
76561198076835892,6557
76561198073908917,6532
76561198046726002,6463
76561198121874542,6114
76561198072423643,6048
76561198045218406,5913
76561198091646080,5883
76561198092374007,5856
76561198126594586,5826
76561198034247949,5744
76561198021710409,5725
76561198031414399,5715
76561197998061835,5714
76561198011714432,5658
76561198080804547,5541
76561197997534851,5514
76561198013341259,5470
76561198024984271,5437
76561198080609032,5264
76561198128295561,5143
76561198060977372,4953
76561198046730356,4935
76561197995897533,4921
76561198048638445,4914
76561197976561718,4816
76561198054835798,4730
76561198037750043,4721
76561198067412704,4693
76561198088105280,4652
76561198090426708,4640
76561197973436231,4583
76561198010776633,4559
76561198050363268,4540
76561198028731533,4513
76561198091810182,4384
76561198008793871,4367
76561198078381993,4362
76561198026913148,4346
76561198063629012,4312
76561197993958579,4303
76561198079990063,4280
76561198054131489,4272
76561198014910012,4257
76561198259747598,4255
76561198035232640,4254
76561198065755282,4223
76561198014278943,4190
76561197975867686,4173
76561198075199712,4171
76561197970528472,4141
76561198016099805,4140
76561197983254661,4139
76561198107237059,4133
76561198042170355,4102
76561198078138335,4096
76561198061365507,4091
76561198078406041,4081
76561198054772649,4061
76561198006893092,4052
76561198067386183,4045
76561197967272400,4013
76561198051987402,3958
76561198035644871,3951
76561198100210530,3946
76561197995207074,3937
76561198030091459,3908
76561198073647322,3890
76561197977615598,3881
76561198110146481,3869
76561198024557182,3863
76561198049043902,3856
76561198035366007,3854
76561198062718030,3838
76561198042778485,3822
76561198006735420,3821
76561197995163667,3805
76561198078390984,3798
76561198181921139,3795
76561198030129600,3794
76561198103357676,3764
76561198063584783,3744
76561198088599132,3739
76561198066988024,3685
76561197999570687,3683
76561198069542841,3667
76561198080690597,3655
76561198072873426,3637
76561198085068145,3635
76561198083123539,3601
76561198011218089,3570
76561198092300490,3563
76561198034630921,3538
76561198074623042,3512
76561198026059219,3505
76561198027455053,3499
76561198040893371,3495
76561198102767019,3458
76561198061981193,3436
76561198138691719,3425
76561198095439219,3418
76561198004673294,3414
76561198064979520,3391
76561198052928427,3349
76561198042082977,3340
76561198007484347,3337
76561198046423526,3334
76561198057743516,3322
76561198093792908,3305
76561198073576538,3291
76561198049132458,3280
76561198054935821,3274
76561198056352983,3268
76561198022221822,3183
76561198006442367,3179
76561198064619260,3170
76561198060654968,3139
76561198004819239,3131
76561198069758889,3113
76561198085092904,3077
76561198052858682,3073
76561198047567643,3071
76561198033536322,3061
76561198067777635,3056
76561198054932978,3050
76561197973942698,3034
76561198030322804,3028
76561198078493105,3011
76561198131002806,3007
76561198063620984,3000
76561198035963350,2987
76561197969534642,2984
76561198049320489,2956
76561198074117066,2956
76561197993725260,2932
76561198057950387,2925
76561198032558761,2923
76561198060772954,2900
76561198045852928,2900
76561198039233605,2894
76561198061784934,2888
76561198009989591,2877
76561198027488037,2876
76561198066452898,2855
76561198089300025,2847
76561198070930126,2840
76561198051237921,2821
76561198066992387,2806
76561197962929275,2803
76561197997588056,2783
76561198011533373,2781
76561198048259980,2773
