steam_id,playtime_forever
76561198042170355,10467
76561198040188061,4016
76561198047756081,2553
76561198081437865,1704
76561198089967981,1697
76561198054606902,1584
76561198069603322,1497
76561198058887844,1276
76561198077531443,1270
76561198078743346,1261
76561198047711462,981
76561198037720383,956
76561198057591023,921
76561198083518792,837
76561198064572589,836
76561198042376148,836
76561198098157284,685
76561198025500916,677
76561198097169936,640
76561198051336934,613
76561198047584892,577
76561198046135457,570
76561198058217502,547
76561198069905942,532
76561197995176045,518
76561198071951119,508
76561197995169107,495
76561197993009150,488
76561198021019289,484
76561198047115335,464
76561198046783368,458
76561198074156090,422
76561198080619885,420
76561198005517355,405
76561198069036644,399
76561198047188446,397
76561197991677902,389
76561198062182044,374
76561198002560047,372
76561197972473057,371
76561198034711455,370
76561198049447026,364
76561198074482800,342
76561198059752724,337
76561198009318462,329
76561198003693532,321
76561198059788719,320
76561198018743551,320
76561197998873955,320
76561198078381948,316
76561198011433474,300
76561198062039624,299
76561198041203356,293
76561198066203201,292
76561198063629285,290
76561198075012648,288
76561198051748820,286
76561198080601475,282
76561198085049871,263
76561198158720137,261
76561198044223211,259
76561198025614826,247
76561198027828967,240
76561198072020622,239
76561198048936292,238
76561197973055702,235
76561198045161688,232
76561198086045190,224
76561198051957930,221
76561198042987313,220
76561198045884541,219
76561198012392805,218
76561198080467103,218
76561198055750463,215
76561198050764330,215
76561198050557204,214
76561198001518866,209
76561198034699157,208
76561198095982491,208
76561198043008761,208
76561197996524718,206
76561198076698338,203
76561198068614009,200
76561198072392878,198
76561197986325120,192
76561198063468866,192
76561198036245133,192
76561198039123142,191
76561198015673544,190
76561198066564122,188
76561197968287469,188
76561198069561067,187
76561198116062531,185
76561197972303841,180
76561198071387133,174
76561198068472094,173
76561198075968863,173
76561198063267577,173
76561198053949702,173
76561197966956978,169
76561198057553528,169
76561198102767019,168
76561198044721977,164
76561198044880177,162
76561198041019706,152
76561198104404617,152
76561198058098978,148
76561198075458182,148
76561197972904421,146
76561198069237515,146
76561198048813790,145
76561198091080817,144
76561198046357713,144
76561198046227105,142
76561198069835803,140
76561198068272150,139
76561198031308903,136
76561198098219771,136
76561197976452914,135
76561198011831269,134
76561198059680033,134
76561198068133128,133
76561198055677907,132
76561198041281813,130
76561198097808235,129
76561198011133576,129
76561198045389453,124
76561198076228553,122
76561197995146150,122
76561198064959799,122
76561198094666642,120
76561198052517002,120
76561198047179623,120
76561198069746520,120
76561198067106876,119
76561198025198217,118
76561198090768760,118
76561198083612270,117
76561198023172776,117
76561197975369524,117
76561198025075751,115
76561198057735047,113
76561198066582197,113
76561198069470826,112
76561198070805372,112
76561198078212818,111
76561197992729547,109
76561198049136740,108
76561198090047074,108
76561198063986589,108
76561198052928427,106
76561198010095846,106
76561198026584251,106
76561197961533298,103
76561198042872735,103
76561198046511631,101
76561198053812972,101
76561198063527700,101
76561198059101200,98
76561198066448136,97
76561198055559566,97
76561198076829467,96
76561198058230663,94
76561198064161333,94
76561198028549775,94
76561198095226109,92
76561198056269279,92
76561198062544523,91
76561197991699268,91
76561198039047817,90
76561198066178108,90
76561198025647301,90
76561198081172646,89
76561198061803718,89
76561198005959944,89
76561198061533143,89
76561198089378846,88
76561198060263985,87
76561198072810945,85
76561198063466267,85
76561198004819239,83
76561198059685697,82
76561198189854528,81
76561198060026270,81
76561198049338296,80
76561198043457895,80
76561198059307733,80
76561198044767296,80
76561198090668943,79
76561198053685392,77
76561198069410187,77
76561198035893080,77
76561198080609032,76
76561198048412445,75
76561198100783188,74
76561198074113907,73
76561198064199288,72
76561198032713655,71
76561198045883575,71
76561198010443610,70
76561198017487896,69
76561198041572513,69
76561198045875719,69
76561198050006497,68
76561198047022087,68
76561198026389006,67
76561198045712111,67
76561198042856516,66
76561198073039037,65
76561198020059916,65
76561198057257346,65
76561198044454118,65
76561197970347433,65
76561198069530830,64
76561198085640669,64
76561198023403380,63
76561198024897859,63
76561198039573677,61
76561198062676115,61
76561198018195772,61
76561198047269494,61
76561198061245815,60
76561198065321014,59
76561198060616480,59
76561198085080390,59
76561198049268659,58
76561197972143548,58
76561198061858918,57
76561198062231807,57
76561197971399999,56
76561198071858763,56
76561197993988187,56
76561198029207370,56
76561198056536128,56
76561198068691029,56
76561198104388002,55
76561198059148648,55
76561198081926985,54
76561198054457614,54
76561198047268909,54
76561197985576649,54
76561198021307778,53
76561198056972741,52
76561198077269470,52
76561198058160828,51
76561198067123853,51
76561198063285279,50
76561197989728414,50
76561198082633859,49
76561198065449025,49
76561198067596615,48
76561198092500743,48
76561198101632964,48
76561198084667711,48
76561197983589335,48
76561198060660201,48
76561198052805342,48
76561198097012821,47
76561198077898598,47
76561198068907374,47
76561198043070022,47
76561198056246061,46
76561198061973032,46
76561198066185088,46
76561198059366714,46
76561197987065774,46
76561198044436113,45
76561198093550604,45
76561198082096463,44
76561198079870460,44
76561198080624228,44
76561197983367658,44
76561198025544153,43
76561198098608810,43
76561198082861907,43
76561198132594999,43
76561198047925260,43
76561198057947546,43
76561198065972251,42
76561198089542404,42
76561198032012843,42
76561198142022007,42
76561198053985682,42
76561198049623970,41
76561198004434645,41
76561197970652384,40
76561197966936422,40
76561198070751282,40
76561197962736283,40
76561198073787527,40
76561197970323756,40
76561197970535832,39
76561198051799142,39
76561198063091321,38
76561197997118766,38
76561197992872827,38
76561198063240656,38
76561198077728175,38
76561198052892679,37
76561198046977788,37
76561198072460966,37
76561198076649813,37
76561198081578142,36
76561198051716372,36
76561198065322400,36
76561198048699247,36
76561198009562232,36
76561198073160592,36
76561198043559223,36
76561198062227619,36
76561198096915543,36
76561198050296173,36
76561198054219214,36
76561198054776845,36
76561197972145947,35
76561198019662432,35
76561198131276487,35
76561198078649427,35
76561198064223823,35
76561198078974837,35
76561198087861173,34
76561198015872851,34
76561198054628777,34
76561197995142448,34
76561198062908030,34
76561198004638606,34
76561198044571371,34
76561198096922815,34
76561198066892282,33
76561198027394559,33
76561198089561967,33
76561198025281122,33
76561198075982246,33
76561198047632079,33
76561198046024363,33
76561198097109504,33
76561198061419665,33
76561198103713177,33
76561198058483331,33
76561198060662730,33
76561198079342167,32
76561198061897574,32
76561198062441635,32
76561197992284075,32
76561198069465892,32
76561198079672778,32
76561198065244912,32
76561197966465521,32
76561198016190004,32
76561198060727481,32
76561198054856794,32
76561198070938718,32
76561198077629133,32
76561198078156208,31
76561198058264475,31
76561198065918572,31
76561198056770012,31
76561198054813467,31
76561198010211852,31
76561197985019267,31
76561198067053329,31
76561198037509696,31
76561198070943489,31
76561198072732111,31
76561198060164478,31
76561198091758520,31
76561198043926084,31
76561198075122493,31
76561198076701454,31
76561198070500267,30
76561198071219403,30
76561198086530323,30
76561198024527983,30
76561198044344399,30
76561197994920291,30
76561198093460977,30
76561198096616118,30
76561197993982080,30
76561198083993063,30
76561198024260858,30
76561198065138903,30
76561198060438024,30
76561198024549500,30
76561197979480713,30
76561198043401005,30
76561198066306064,30
76561198043210415,30
76561198127551211,30
76561198051451224,30
76561198062380529,30
76561197988685514,30
76561198080605699,30
76561197988484690,30
76561197987245915,30
76561198056339600,30
76561198050762093,30
76561198009391737,30
76561198002196490,30
76561198060947194,30
76561198089376541,29
76561198068164387,29
76561198039329024,29
76561198076711798,29
76561198068109393,29
76561198043959620,29
76561198037481626,29
76561198034167696,29
76561198080303501,29
76561198046863519,29
76561198081192717,29
76561198087539604,29
76561198045900106,29
76561198151645088,28
76561198053267434,28
76561198024744929,28
76561198057005890,28
76561198057684308,28
76561198045580670,28
76561198070645635,28
76561198077118760,28
76561198123094769,27
76561198068046941,27
76561198068696167,27
76561198064959709,27
76561198094044284,27
76561197978985706,27
76561198000529676,27
76561198064827371,26
76561198040104199,26
76561198052906858,26
76561197985198230,26
76561198042070956,25
76561198043878121,25
76561198045061169,25
76561198000079749,25
76561198060419696,24
76561198051759723,24
76561198025235145,24
76561197974348384,24
76561198069753628,24
76561198036833277,24
76561198050020525,23
76561198047258681,23
76561198083904826,23
76561198065725333,23
76561198042409394,23
76561198042606287,23
76561198078097855,23
76561198068953074,23
76561198068924560,23
76561198098332598,23
76561197996934410,22
76561198093180280,22
76561198056548367,22
76561198061991363,22
76561198027450035,21
76561197975113408,21
76561198041120051,21
76561198065547132,21
76561198047430396,21
76561198064376423,21
76561198064953241,20
76561198031049278,20
76561198075434777,20
76561198072453867,20
76561198071755562,20
76561198000537256,20
76561198038572397,19
76561198059904339,19
76561198067651530,19
76561198093075544,19
76561198058303184,19
76561198043194046,19
76561198070435501,19
76561198018217670,19
76561198034465295,18
76561198013395705,18
76561197968474193,18
76561198081833478,18
76561198081298968,18
76561198137356550,18
76561198082547731,17
76561197970366439,17
76561198077803106,17
76561198065417126,17
76561198042120945,17
76561198085079431,17
76561198062185026,17
76561198047812869,17
76561198026959699,17
76561198092231379,16
76561198045157154,16
76561198041737624,16
76561197967756999,16
76561198039606950,16
76561198012338493,16
76561197998887921,16
76561198025073872,16
76561198045268866,16
76561198080717002,16
76561198033807790,16
76561197984493764,15
76561197998943704,15
76561198078854723,15
76561198066010375,15
76561198013117218,15
76561197998878423,15
76561198071705626,15
76561198038047379,15
76561198047167487,15
76561198011218089,15
76561198042677952,15
76561198061790693,15
76561198043027774,15
76561198072676817,15
76561198066151913,15
76561198005159923,14
76561198089185989,14
76561198036006769,14
76561198008565816,14
76561198062695303,14
76561198085004526,14
76561198042919641,13
76561198040892943,13
76561198077911827,13
76561198001160457,13
76561198039281929,13
76561198059382306,13
76561198034713617,13
76561198070265163,12
76561198067190861,12
76561198048025672,12
76561198098278552,12
76561198026466655,12
76561198037600312,12
76561198076054435,12
76561198077862249,12
76561198052879475,12
76561198150670180,12
76561198081675251,12
76561198062538026,12
76561197962465191,11
76561198006848931,11
76561198002408467,11
76561197993185475,11
76561198095345430,11
76561198059360370,11
76561198044617836,11
76561198088092046,11
76561198040526326,11
76561198001696747,11
76561197967469174,10
76561198069160320,10
76561198068644028,10
76561198084051373,10
76561198074625457,10
76561198084008606,10
76561197976795738,10
76561198009214194,10
76561198046456055,10
76561198035546541,10
76561198078751822,10
76561198062387277,10
76561198019536464,10
76561198070932015,9
76561197983176869,9
76561198123393608,9
76561198098840056,9
76561198034952648,9
76561198063044778,9
76561198096805950,9
76561198087347504,9
76561198087729571,9
76561198032052459,8
76561197993082825,8
76561198045451451,8
76561197972482791,8
76561198018109792,8
